Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
1	NEW ENGLAND JOURNAL OF MEDICINE	"332831"	79.2600.701880
2	LANCET	"233269"	53.2540.435530
3	JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION	"148775"	47.6610.300050
4	NATURE REVIEWS GENETICS	"35680"	41.4650.094240
5	NATURE MEDICINE	"75461"	32.6210.171940
6	NATURE REVIEWS MICROBIOLOGY	"26627"	31.8510.055470
7	NATURE GENETICS	"93641"	27.1250.233960
8	BMJ-British Medical Journal	"109321"	23.5620.150400
9	EUROPEAN HEART JOURNAL	"56054"	23.4250.146820
10	Journal of Statistical Software	"14900"	22.7370.038710
11	CLINICAL MICROBIOLOGY REVIEWS	"18070"	20.6420.020210
12	JAMA Internal Medicine	"11840"	19.9890.076310
13	ANNALS OF INTERNAL MEDICINE	"53689"	19.3840.099150
14	CIRCULATION	"167720"	18.8810.223600
15	Lancet Global Health	"4455"	18.7050.024310
15	Lancet Global Health	"4455"	18.7050.024310
17	Cell Host & Microbe	"15851"	17.8720.064760
18	JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY	"99084"	16.8340.213530
19	Science Translational Medicine	"26692"	16.7100.126390
20	Nature Reviews Disease Primers	"1559"	16.0710.007250
21	TRENDS IN ECOLOGY & EVOLUTION	"35124"	15.9380.038810
22	CIRCULATION RESEARCH	"52753"	15.2110.082780
23	Nature Reviews Cardiology	"5228"	15.1620.018210
24	Annual Review of Medicine	"6111"	14.9700.010320
25	Nature Microbiology	"2510"	14.1740.013660
26	Physics of Life Reviews	"1381"	13.7830.002960
27	MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS	"11301"	13.4390.012060
28	JOURNAL OF CLINICAL INVESTIGATION	"107818"	13.2510.165240
29	GENOME BIOLOGY	"34697"	13.2140.118400
30	MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT	"24208"	12.8880.091810
31	Journal of Cachexia Sarcopenia and Muscle	"2207"	12.5110.005200
32	TRENDS IN MICROBIOLOGY	"11344"	11.7760.020970
33	BIOLOGICAL REVIEWS	"11139"	11.7000.017260
34	PLOS MEDICINE	"24232"	11.6750.058660
35	FEMS MICROBIOLOGY REVIEWS	"11237"	11.3920.016410
36	TRENDS IN MOLECULAR MEDICINE	"9213"	11.0210.019700
37	JOURNAL OF EXPERIMENTAL MEDICINE	"62537"	10.7900.078260
38	EUROPEAN JOURNAL OF HEART FAILURE	"11113"	10.6830.027590
39	TRENDS IN GENETICS	"11805"	10.5560.023010
40	EMBO Molecular Medicine	"6402"	10.2930.026150
41	JACC-Cardiovascular Imaging	"8104"	10.2470.026350
42	MOLECULAR BIOLOGY AND EVOLUTION	"44664"	10.2170.101480
43	JAMA Cardiology	"1650"	10.1330.008630
44	GENOME RESEARCH	"38842"	10.1010.104970
45	GENETICS IN MEDICINE	"8825"	9.9370.028640
