Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
1	NATURE REVIEWS GENETICS	"35680"	41.4650.094240
2	NATURE GENETICS	"93641"	27.1250.233960
3	TRENDS IN ECOLOGY & EVOLUTION	"35124"	15.9380.038810
4	GENOME BIOLOGY	"34697"	13.2140.118400
5	TRENDS IN GENETICS	"11805"	10.5560.023010
6	MOLECULAR BIOLOGY AND EVOLUTION	"44664"	10.2170.101480
7	GENOME RESEARCH	"38842"	10.1010.104970
8	GENETICS IN MEDICINE	"8825"	9.9370.028640
9	Annual Review of Genetics	"7707"	9.5890.013490
10	GENES & DEVELOPMENT	"57469"	9.4620.092680
11	Genome Medicine	"4265"	8.8980.020590
12	AMERICAN JOURNAL OF HUMAN GENETICS	"36546"	8.8550.070510
13	Annual Review of Genomics and Human Genetics	"2729"	8.6760.007160
14	MOLECULAR THERAPY	"16013"	7.0080.029160
15	ONCOGENE	"66411"	6.8540.075940
16	GENOMICS PROTEOMICS & BIOINFORMATICS	"1225"	6.6150.003480
17	Mobile DNA	6225.8910.003000
18	Molecular Autism	"1679"	5.8720.006320
19	JOURNAL OF MEDICAL GENETICS	"12239"	5.7510.019280
20	Circulation-Cardiovascular Genetics	"3394"	5.6640.011410
21	Forensic Science International-Genetics	"4168"	5.6370.007550
22	PLoS Genetics	"42989"	5.5400.171100
23	DNA RESEARCH	"2952"	5.4150.005620
24	HUMAN MUTATION	"12927"	5.3590.028280
25	Epigenetics & Chromatin	"1410"	5.3510.007620
26	MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH	"3440"	5.2050.003220
27	CURRENT OPINION IN GENETICS & DEVELOPMENT	"7791"	4.9950.018540
28	Epigenomics	"2055"	4.9790.006170
29	JOURNAL OF MOLECULAR MEDICINE-JMM	"7120"	4.9380.011390
30	Epigenetics	"5167"	4.9180.014110
31	HUMAN MOLECULAR GENETICS	"40142"	4.9020.081170
32	Advances in Genetics	"1529"	4.6890.002430
33	DNA REPAIR	"6089"	4.4610.014940
34	MOLECULAR PHYLOGENETICS AND EVOLUTION	"18604"	4.4120.029450
35	HUMAN GENE THERAPY	"5559"	4.2410.007690
36	Frontiers in Genetics	"6378"	4.1510.028830
37	JOURNAL OF INHERITED METABOLIC DISEASE	"5683"	4.0920.009470
38	GENETICS	"42809"	4.0750.053650
39	Journal of Genetics and Genomics	"1811"	4.0660.004120
40	CANCER GENE THERAPY	"2928"	4.0440.003610
41	CHROMOSOMA	"3527"	4.0210.005850
42	Genome Biology and Evolution	"5746"	3.9400.024680
43	HUMAN GENETICS	"8757"	3.9300.015560
43	THEORETICAL AND APPLIED GENETICS	"19565"	3.9300.015860
45	FUNCTIONAL & INTEGRATIVE GENOMICS	"1857"	3.8890.002680
46	HEREDITY	"9830"	3.8720.012060
47	AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL GENETICS	"1917"	3.8220.004190
48	EVOLUTION	"32227"	3.8180.032210
49	PHARMACOGENOMICS JOURNAL	"2600"	3.8120.004890
50	Briefings in Functional Genomics	"1557"	3.7830.004130
51	MOLECULAR GENETICS AND METABOLISM	"7103"	3.7740.012370
52	GENETICS SELECTION EVOLUTION	"2701"	3.7430.004870
53	BMC GENOMICS	"37516"	3.7300.099650
54	EUROPEAN JOURNAL OF HUMAN GENETICS	"9453"	3.6360.024040
55	Orphanet Journal of Rare Diseases	"5680"	3.6070.015800
56	CURRENT GENETICS	"3106"	3.5740.003080
57	Biology of Sex Differences	8553.5430.003530
58	CLINICAL GENETICS	"6816"	3.5120.014730
59	Human Genomics	"1056"	3.5000.001940
60	FUNGAL GENETICS AND BIOLOGY	"5327"	3.4760.007200
61	npj Genomic Medicine	1283.4670.000670
62	GENES CHROMOSOMES & CANCER	"5116"	3.3620.006970
63	BMC Medical Genomics	"2528"	3.3170.006780
64	ENVIRONMENTAL AND MOLECULAR MUTAGENESIS	"3516"	3.2540.003980
65	MITOCHONDRION	"3337"	3.2260.006770
66	Genes and Nutrition	"1533"	3.2110.002770
67	GENE THERAPY	"7733"	3.2030.007690
68	Genes	"1577"	3.1910.004990
69	NEUROGENETICS	"1199"	3.0900.002770
70	BMC EVOLUTIONARY BIOLOGY	"12388"	3.0270.023830
71	AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS	"4061"	3.0160.006140
72	DISEASE MARKERS	"3183"	2.9490.007020
73	JOURNAL OF HUMAN GENETICS	"3864"	2.9420.007670
74	Plant Genome	"1238"	2.9230.003030
75	Comparative Biochemistry and Physiology D-Genomics & Proteomics	8912.9130.001530
76	GENOMICS	"8930"	2.9100.008140
77	CHROMOSOME RESEARCH	"2629"	2.9090.003350
78	MUTAGENESIS	"3554"	2.8400.003130
79	JOURNAL OF ASSISTED REPRODUCTION AND GENETICS	"4406"	2.7880.010180
80	PHYSIOLOGICAL GENOMICS	"4519"	2.7820.005360
81	PRENATAL DIAGNOSIS	"6071"	2.7790.011160
82	G3-Genes Genomes Genetics	"4497"	2.7420.021190
83	MOLECULAR GENETICS AND GENOMICS	"3999"	2.7340.005830
84	Molecular Diagnosis & Therapy	9262.7160.002010
85	Molecular Genetics & Genomic Medicine	5242.6950.002500
86	MAMMALIAN GENOME	"2665"	2.6870.004400
87	GENESIS	"4077"	2.6670.005420
88	DNA AND CELL BIOLOGY	"2909"	2.6340.003740
89	JOURNAL OF HEREDITY	"6083"	2.5740.005020
90	GENETIC EPIDEMIOLOGY	"2721"	2.5440.007370
91	JOURNAL OF EVOLUTIONARY BIOLOGY	"10778"	2.5380.017850
92	GENE	"24347"	2.4980.035080
93	BMC GENETICS	"3795"	2.4690.008180
94	Cancer Genomics & Proteomics	8692.4320.001440
95	MUTATION RESEARCH-FUNDAMENTAL AND MOLECULAR MECHANISMS OF MUTAGENESIS	"7799"	2.3980.004990
96	OMICS-A JOURNAL OF INTEGRATIVE BIOLOGY	"1625"	2.3700.003570
97	Cancer Genetics	"1108"	2.3510.003500
98	GENES AND IMMUNITY	"2957"	2.3390.004420
99	Human Gene Therapy Methods	3892.3000.001580
100	AMERICAN JOURNAL OF MEDICAL GENETICS PART A	"11069"	2.2640.021670
101	Pharmacogenetics and Genomics	"3163"	2.2500.003870
102	PLASMID	"1645"	2.2280.002190
103	CURRENT GENOMICS	"1872"	2.1720.002710
104	EVOLUTIONARY ECOLOGY	"3729"	2.1330.004270
105	IMMUNOGENETICS	"3015"	2.0940.003280
106	MOLECULAR BREEDING	"5028"	2.0770.008860
107	GENES TO CELLS	"4038"	2.0480.005480
108	BEHAVIOR GENETICS	"3236"	2.0360.004620
109	Journal of Nutrigenetics and Nutrigenomics	3502.0270.000630
110	CONSERVATION GENETICS	"4091"	2.0250.005380
111	European Journal of Medical Genetics	"1793"	2.0040.005630
112	EVOLUTION & DEVELOPMENT	"1896"	2.0000.002100
113	MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS	"6672"	1.9960.004660
114	JOURNAL OF MOLECULAR EVOLUTION	"8069"	1.9570.002130
115	CURRENT GENE THERAPY	"1155"	1.9430.001900
115	Familial Cancer	"1593"	1.9430.003850
117	Marine Genomics	8471.9370.002750
118	BIOCHEMICAL GENETICS	"1146"	1.9270.001180
119	BMC Medical Genetics	"2915"	1.9130.005740
120	International Journal of Genomics	5161.9040.001620
121	GENOME	"4243"	1.8920.002620
122	Public Health Genomics	6741.8670.001920
123	ANIMAL GENETICS	"3226"	1.8410.004680
124	Tree Genetics & Genomes	"2306"	1.8290.004840
125	JOURNAL OF APPLIED GENETICS	"1211"	1.7560.002050
126	CRITICAL REVIEWS IN EUKARYOTIC GENE EXPRESSION	9081.7340.000890
127	Biotechnology & Genetic Engineering Reviews	4841.7000.000310
128	Journal of Genetic Counseling	"1750"	1.6980.003880
129	Twin Research and Human Genetics	"1843"	1.6690.005000
130	JOURNAL OF GENE MEDICINE	"2169"	1.6470.001370
131	HEREDITAS	"1555"	1.6320.000430
132	Standards in Genomic Sciences	"1130"	1.6000.003190
133	CYTOGENETIC AND GENOME RESEARCH	"2894"	1.5870.002970
134	PSYCHIATRIC GENETICS	9661.5860.001760
