Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
1	NATURE REVIEWS MOLECULAR CELL BIOLOGY	"45869"	43.351	0.09136
2	CELL	"242829"	36.216	0.57185
3	NATURE MEDICINE	"79243"	30.641	0.16284
4	Annual Review of Biochemistry	"20344"	26.922	0.02545
5	CANCER CELL	"36056"	23.916	0.09105
6	Cell Metabolism	"34829"	22.415	0.09955
7	Cell Stem Cell	"24628"	21.464	0.08703
8	CELL RESEARCH	"15131"	17.848	0.03868
9	NATURE CELL BIOLOGY	"40615"	17.728	0.08243
10	Science Translational Medicine	"30485"	17.161	0.12198
11	TRENDS IN BIOCHEMICAL SCIENCES	"17448"	16.889	0.03138
12	TRENDS IN CELL BIOLOGY	"14380"	16.588	0.03412
13	MOLECULAR BIOLOGY AND EVOLUTION	"46915"	14.797	0.0922
14	MOLECULAR CELL	"62812"	14.548	0.17068
15	PROGRESS IN LIPID RESEARCH	"5839"	12.54	0.00716
16	Nature Chemical Biology	"21428"	12.154	0.06118
17	NATURE STRUCTURAL & MOLECULAR BIOLOGY	"27166"	12.109	0.06944
18	TRENDS IN MICROBIOLOGY	"12514"	11.974	0.0207
19	MOLECULAR PSYCHIATRY	"20353"	11.973	0.04929
20	NATURAL PRODUCT REPORTS	"11039"	11.876	0.01487
21	EMBO JOURNAL	"65212"	11.227	0.06793
22	NUCLEIC ACIDS RESEARCH	"181592"	11.147	0.40262
23	Autophagy	"16161"	11.059	0.03263
24	Physics of Life Reviews	"1514"	11.045	0.00265
25	TRENDS IN MOLECULAR MEDICINE	"9946"	11.028	0.0189
26	Journal of Extracellular Vesicles	"3675"	11	0.01211
27	Annual Review of Cell and Developmental Biology	"9734"	10.833	0.01675
28	Molecular Plant	"9274"	10.812	0.02715
29	Molecular Cancer	"11626"	10.679	0.02135
30	AGEING RESEARCH REVIEWS	"6539"	10.39	0.01589
31	BIOLOGICAL REVIEWS	"12482"	10.288	0.01928
32	GENOME RESEARCH	"39240"	9.944	0.07958
33	Molecular Systems Biology	"8936"	9.8	0.01968
34	CURRENT BIOLOGY	"60772"	9.193	0.13582
35	DEVELOPMENTAL CELL	"28572"	9.19	0.06855
36	Cold Spring Harbor Perspectives in Biology	"15375"	9.11	0.04183
37	GENES & DEVELOPMENT	"54563"	8.99	0.07234
38	JOURNAL OF CELL BIOLOGY	"67347"	8.891	0.07566
39	Cell Systems	"2275"	8.64	0.01628
40	PLANT CELL	"52034"	8.631	0.0578
41	CURRENT OPINION IN CHEMICAL BIOLOGY	"10499"	8.544	0.01899
42	PLOS BIOLOGY	"29974"	8.386	0.05795
43	EMBO REPORTS	"13786"	8.383	0.02985
44	MOLECULAR ASPECTS OF MEDICINE	"5568"	8.313	0.00902
