Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
1	NATURE REVIEWS GENETICS	"36697"	43.704	0.079260
2	NATURE REVIEWS MOLECULAR CELL BIOLOGY	"45869"	43.351	0.091360
3	NATURE	"745692"	43.070	1.285010
4	SCIENCE	"680994"	41.037	1.070190
5	CELL	"242829"	36.216	0.571850
6	NATURE MEDICINE	"79243"	30.641	0.162840
7	Annual Review of Biochemistry	"20344"	26.922	0.025450
8	NATURE GENETICS	"93920"	25.455	0.221380
9	CANCER CELL	"36056"	23.916	0.091050
10	Cell Metabolism	"34829"	22.415	0.099550
11	Cell Stem Cell	"24628"	21.464	0.087030
12	CELL RESEARCH	"15131"	17.848	0.038680
13	NATURE CELL BIOLOGY	"40615"	17.728	0.082430
14	Science Translational Medicine	"30485"	17.161	0.121980
15	TRENDS IN BIOCHEMICAL SCIENCES	"17448"	16.889	0.031380
16	TRENDS IN CELL BIOLOGY	"14380"	16.588	0.034120
17	TRENDS IN ECOLOGY & EVOLUTION	"36697"	15.236	0.035920
18	MOLECULAR BIOLOGY AND EVOLUTION	"46915"	14.797	0.092200
19	MOLECULAR CELL	"62812"	14.548	0.170680
20	GENOME BIOLOGY	"38920"	14.028	0.133310
21	National Science Review	"1842"	13.222	0.006500
22	Science Advances	"21901"	12.804	0.110010
23	PROGRESS IN LIPID RESEARCH	"5839"	12.540	0.007160
24	Nature Chemical Biology	"21428"	12.154	0.061180
25	NATURE STRUCTURAL & MOLECULAR BIOLOGY	"27166"	12.109	0.069440
26	TRENDS IN MICROBIOLOGY	"12514"	11.974	0.020700
27	MOLECULAR PSYCHIATRY	"20353"	11.973	0.049290
28	Nature Communications	"243793"	11.878	1.103290
29	NATURAL PRODUCT REPORTS	"11039"	11.876	0.014870
30	EMBO JOURNAL	"65212"	11.227	0.067930
31	NUCLEIC ACIDS RESEARCH	"181592"	11.147	0.402620
32	Autophagy	"16161"	11.059	0.032630
33	Physics of Life Reviews	"1514"	11.045	0.002650
34	TRENDS IN MOLECULAR MEDICINE	"9946"	11.028	0.018900
35	Journal of Extracellular Vesicles	"3675"	11.000	0.012110
36	Genome Medicine	"5264"	10.886	0.023220
37	Annual Review of Cell and Developmental Biology	"9734"	10.833	0.016750
38	Molecular Plant	"9274"	10.812	0.027150
39	Molecular Cancer	"11626"	10.679	0.021350
40	TRENDS IN GENETICS	"11959"	10.627	0.021110
41	Nature Human Behaviour	"1230"	10.575	0.006550
42	AGEING RESEARCH REVIEWS	"6539"	10.390	0.015890
43	BIOLOGICAL REVIEWS	"12482"	10.288	0.019280
44	GENOME RESEARCH	"39240"	9.944	0.079580
45	AMERICAN JOURNAL OF HUMAN GENETICS	"36007"	9.924	0.063650
46	Molecular Systems Biology	"8936"	9.800	0.019680
47	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	"661118"	9.580	1.022190
48	CURRENT BIOLOGY	"60772"	9.193	0.135820
49	DEVELOPMENTAL CELL	"28572"	9.190	0.068550
50	Annual Review of Genetics	"7478"	9.184	0.011380
51	Cold Spring Harbor Perspectives in Biology	"15375"	9.110	0.041830
52	BRIEFINGS IN BIOINFORMATICS	"5750"	9.101	0.018020
53	GENES & DEVELOPMENT	"54563"	8.990	0.072340
54	JOURNAL OF CELL BIOLOGY	"67347"	8.891	0.075660
55	GENETICS IN MEDICINE	"10855"	8.683	0.035800
56	Cell Systems	"2275"	8.640	0.016280
57	PLANT CELL	"52034"	8.631	0.057800
58	CURRENT OPINION IN CHEMICAL BIOLOGY	"10499"	8.544	0.018990
59	MOLECULAR THERAPY	"16991"	8.402	0.030050
60	PLOS BIOLOGY	"29974"	8.386	0.057950
61	EMBO REPORTS	"13786"	8.383	0.029850
62	MOLECULAR ASPECTS OF MEDICINE	"5568"	8.313	0.009020
63	CURRENT OPINION IN CELL BIOLOGY	"13417"	8.233	0.025790
64	Wiley Interdisciplinary Reviews-Computational Molecular Science	"5057"	8.127	0.008990
65	CELL DEATH AND DIFFERENTIATION	"19729"	8.086	0.030290
66	Annual Review of Genomics and Human Genetics	"2537"	7.914	0.006020
67	Cell Reports	"39510"	7.815	0.235540
