Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
1	EUROPEAN HEART JOURNAL	"57358"	23.2390.12592
2	CIRCULATION	"166484"	23.0540.21129
3	JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY	"100986"	18.6390.19329
4	Nature Reviews Cardiology	"6301"	17.420.01882
5	CIRCULATION RESEARCH	"52988"	15.8620.07229
6	EUROPEAN JOURNAL OF HEART FAILURE	"13107"	13.9650.02762
7	JAMA Cardiology	"3280"	11.8660.01932
8	JACC-Cardiovascular Imaging	"8801"	10.9750.02616
9	JACC-Cardiovascular Interventions	"11555"	9.5440.03364
10	JACC-Heart Failure	"3537"	8.910.01683
11	JOURNAL OF HEART AND LUNG TRANSPLANTATION	"12436"	8.5780.02731
12	HYPERTENSION	"36482"	7.0170.04653
13	CARDIOVASCULAR RESEARCH	"21828"	7.0140.0215
14	European Heart Journal-Cardiovascular Pharmacotherapy	4426.7230.00143
15	ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY	"33223"	6.6180.036
16	Circulation-Heart Failure	"6900"	6.5260.02283
17	BASIC RESEARCH IN CARDIOLOGY	"4137"	6.470.00559
18	PROGRESS IN CARDIOVASCULAR DISEASES	"4055"	6.1620.00886
19	JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY	"10478"	6.1110.01606
20	EUROPACE	"10908"	6.10.02532
21	Circulation-Cardiovascular Interventions	"5289"	6.060.01664
22	STROKE	"64814"	6.0460.08263
23	Cardiovascular Diabetology	"5392"	5.9480.01155
24	Circulation-Cardiovascular Imaging	"5456"	5.8130.01848
25	ANGIOGENESIS	"2956"	5.7590.00441
26	European Journal of Preventive Cardiology	"4782"	5.640.01337
27	CANADIAN JOURNAL OF CARDIOLOGY	"6710"	5.5920.0185
28	Journal of Stroke	9255.5710.00358
29	JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY	"29599"	5.2610.03695
30	European Heart Journal-Cardiovascular Imaging	"5498"	5.260.02165
31	HEART RHYTHM	"12344"	5.2250.02903
32	REVISTA ESPANOLA DE CARDIOLOGIA	"3566"	5.1260.00464
33	HEART	"18063"	5.0820.03062
34	JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE	"5113"	5.070.01402
35	JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY	"14143"	5.0550.02045
36	Circulation-Arrhythmia and Electrophysiology	"6432"	4.9680.01784
37	Clinical Research in Cardiology	"3022"	4.9070.00676
38	Circulation-Cardiovascular Genetics	"3441"	4.8640.0105
39	CURRENT OPINION IN LIPIDOLOGY	"4140"	4.8440.00632
40	THROMBOSIS AND HAEMOSTASIS	"16590"	4.7330.02281
41	JOURNAL OF THROMBOSIS AND HAEMOSTASIS	"18886"	4.6620.02823
42	Journal of the American Heart Association	"13230"	4.660.06034
43	International Journal of Stroke	"4172"	4.4660.01521
44	TRENDS IN CARDIOVASCULAR MEDICINE	"2667"	4.4620.00393
45	Circulation-Cardiovascular Quality and Outcomes	"4531"	4.3780.01435
46	ATHEROSCLEROSIS	"23442"	4.2550.0335
47	JOURNAL OF HYPERTENSION	"17501"	4.2090.02638
48	CARDIOVASCULAR DRUGS AND THERAPY	"2109"	4.1810.00314
49	JOURNAL OF NUCLEAR CARDIOLOGY	"3711"	4.1120.00448
50	AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY	"27828"	4.0480.02282
51	AMERICAN HEART JOURNAL	"20811"	4.0230.02678
52	EuroIntervention	"6097"	4.0180.01684
53	HEART FAILURE REVIEWS	"2598"	4.0150.0053
54	ANNALS OF THORACIC SURGERY	"36145"	3.9190.04063
55	JOURNAL OF CARDIAC FAILURE	"5339"	3.8570.00935
56	EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY	"17156"	3.8470.02641
57	Current Atherosclerosis Reports	"2392"	3.7690.00477
58	European Heart Journal-Acute Cardiovascular Care	"1466"	3.7340.00533
59	EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY	"9293"	3.6420.01276
60	CURRENT HYPERTENSION REPORTS	"2900"	3.6060.00643
61	Journal of Atherosclerosis and Thrombosis	"3249"	3.4780.0048
62	INTERNATIONAL JOURNAL OF CARDIOLOGY	"30479"	3.4710.08057
63	ESC Heart Failure	6803.4070.00202
64	SEMINARS IN THROMBOSIS AND HEMOSTASIS	"4138"	3.4010.00628
65	NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES	"5821"	3.340.01018
66	CURRENT PROBLEMS IN CARDIOLOGY	5743.3330.0007
67	Journal of Cardiovascular Computed Tomography	"1711"	3.3160.00443
68	THROMBOSIS RESEARCH	"10982"	3.2660.01815
69	JOURNAL OF VASCULAR SURGERY	"26542"	3.2430.02719
70	Global Heart	8813.2380.0038
71	RESPIRATORY MEDICINE	"11846"	3.2370.01584
72	HYPERTENSION RESEARCH	"4872"	3.2170.00585
73	SHOCK	"7638"	3.0830.01207
74	CIRCULATION JOURNAL	"9904"	3.0250.01651
75	CURRENT OPINION IN NEPHROLOGY AND HYPERTENSION	"3228"	3.0130.00551
76	JOURNAL OF ENDOVASCULAR THERAPY	"3499"	2.9860.0053
77	JOURNAL OF THROMBOSIS AND THROMBOLYSIS	"2789"	2.9410.00586
78	JOURNAL OF CARDIOVASCULAR ELECTROPHYSIOLOGY	"7508"	2.910.0107
79	Annals of Cardiothoracic Surgery	"1528"	2.8950.00495
80	AMERICAN JOURNAL OF CARDIOLOGY	"37275"	2.8430.04453
81	JOURNAL OF VASCULAR AND INTERVENTIONAL RADIOLOGY	"8813"	2.8280.01127
82	Journal of Cardiovascular Translational Research	"1458"	2.7560.00322
83	Journal of Vascular Surgery-Venous and Lymphatic Disorders	7912.6960.00249
84	CEREBROVASCULAR DISEASES	"5517"	2.6810.0074
85	MICROCIRCULATION	"2553"	2.6790.00353
86	Cardiovascular Toxicology	"1209"	2.630.00172
87	MICROVASCULAR RESEARCH	"4036"	2.6040.0039
88	Current Vascular Pharmacology	"1777"	2.5830.00255
89	American Journal of Cardiovascular Drugs	"1005"	2.5780.00183
90	JOURNAL OF CARDIOVASCULAR PHARMACOLOGY AND THERAPEUTICS	"1239"	2.570.00254
91	CATHETERIZATION AND CARDIOVASCULAR INTERVENTIONS	"9366"	2.5510.01655
92	AMERICAN JOURNAL OF HYPERTENSION	"8697"	2.530.01091
93	Journal of Cardiovascular Nursing	"1997"	2.510.00308
94	European Journal of Cardiovascular Nursing	"1648"	2.4970.00248
95	CLINICAL CARDIOLOGY	"4234"	2.4550.00662
96	Journal of Clinical Hypertension	"3554"	2.4440.00657
97	Current Cardiology Reports	"1859"	2.3950.00547
98	ANGIOLOGY	"3056"	2.3760.00324
99	JOURNAL OF CARDIOVASCULAR PHARMACOLOGY	"5522"	2.3710.00468
100	Diabetes & Vascular Disease Research	"1384"	2.3570.00315
101	Archives of Cardiovascular Diseases	"1496"	2.3550.00359
102	ATHEROSCLEROSIS SUPPLEMENTS	6792.350.00109
103	Cardiovascular Therapeutics	"1353"	2.3150.00219
104	BLOOD PRESSURE	"1248"	2.2920.00231
105	Journal of Cardiology	"2991"	2.2890.00636
106	Hellenic Journal of Cardiology	8502.2690.00084
107	Journal of the American Society of Hypertension	"1747"	2.2680.00525
108	International Heart Journal	"1791"	2.2260.00253
109	CardioRenal Medicine	5172.2140.00123
110	VASCULAR MEDICINE	"1769"	2.1580.00264
111	Cardiology Research and Practice	8472.140.00136
112	KIDNEY & BLOOD PRESSURE RESEARCH	"1664"	2.1230.00253
