Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
1	Nature Reviews Endocrinology	"8908"	24.646	0.026300
2	Lancet Diabetes & Endocrinology	"7961"	24.540	0.038680
3	Cell Metabolism	"34829"	22.415	0.099550
4	DIABETES CARE	"71305"	15.270	0.096210
5	JOURNAL OF PINEAL RESEARCH	"10695"	15.221	0.010560
6	ENDOCRINE REVIEWS	"13381"	15.167	0.008900
7	TRENDS IN ENDOCRINOLOGY AND METABOLISM	"8968"	9.777	0.016630
8	Obesity Reviews	"11567"	8.192	0.023730
9	FRONTIERS IN NEUROENDOCRINOLOGY	"4196"	7.852	0.005490
10	THYROID	"11972"	7.786	0.022810
11	DIABETES	"53532"	7.199	0.064540
12	DIABETOLOGIA	"30692"	7.113	0.041920
13	NEUROENDOCRINOLOGY	"5046"	6.804	0.005690
14	METABOLISM-CLINICAL AND EXPERIMENTAL	"14379"	6.513	0.016360
15	Molecular Metabolism	"3415"	6.181	0.015290
16	DIABETES OBESITY & METABOLISM	"9982"	6.133	0.021570
17	JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM	"19766"	6.040	0.028050
18	Cardiovascular Diabetology	"5392"	5.948	0.011550
19	ANTIOXIDANTS & REDOX SIGNALING	"20275"	5.828	0.029700
20	JOURNAL OF BONE AND MINERAL RESEARCH	"26818"	5.711	0.032070
21	FREE RADICAL BIOLOGY AND MEDICINE	"40820"	5.657	0.040300
22	JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM	"77893"	5.605	0.089910
23	REVIEWS IN ENDOCRINE & METABOLIC DISORDERS	"2330"	5.516	0.004250
24	EUROPEAN JOURNAL OF ENDOCRINOLOGY	"13622"	5.107	0.020920
25	BMJ Open Diabetes Research & Care	866	5.067	0.003630
26	CURRENT OPINION IN LIPIDOLOGY	"4140"	4.844	0.006320
27	ENDOCRINE-RELATED CANCER	"6958"	4.774	0.012150
28	DIABETES-METABOLISM RESEARCH AND REVIEWS	"5120"	4.758	0.007900
29	INTERNATIONAL JOURNAL OF OBESITY	"22929"	4.514	0.030070
30	Diabetes Technology & Therapeutics	"4449"	4.488	0.008670
31	JOURNAL OF ENDOCRINOLOGY	"11816"	4.381	0.012110
32	BONE	"21658"	4.360	0.025550
33	JOURNAL OF INHERITED METABOLIC DISEASE	"5868"	4.287	0.008410
34	Endocrine Practice	"4355"	4.149	0.010280
35	AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM	"19036"	4.125	0.017240
36	PSYCHONEUROENDOCRINOLOGY	"16809"	4.013	0.028150
37	DIABETES & METABOLISM	"3483"	4.008	0.004010
