Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
1	NATURE	"745	692"	43.070	1.285010
2	SCIENCE	"680	994"	41.037	1.070190
3	National Science Review	"1	842"	13.222	0.006500
4	Science Advances	"21	901"	12.804	0.110010
5	Nature Communications	"243	793"	11.878	1.103290
6	Nature Human Behaviour	"1	230"	10.575	0.006550
7	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	"661	118"	9.580	1.022190
8	Science Bulletin	"3	569"	6.277	0.009840
9	Scientific Data	"3	240"	5.929	0.015610
10	Frontiers in Bioengineering and Biotechnology	"1	994"	5.122	0.006540
11	Journal of Advanced Research	"2	691"	5.045	0.004780
12	Research Synthesis Methods	"1	932"	5.043	0.005420
13	GigaScience	"2	674"	4.688	0.012510
14	Annals of the New York Academy of Sciences	"46	385"	4.295	0.025840
15	Scientific Reports	"302	086"	4.011	1.061540
16	Journal of the Royal Society Interface	"12	933"	3.224	0.029190
17	NPJ Microgravity	203	3.111	0.000670
18	PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES	"19	227"	3.093	0.028200
19	FRACTALS-COMPLEX GEOMETRY PATTERNS AND SCALING IN NATURE AND SOCIETY	"1	429"	2.971	0.001120
20	Journal of Radiation Research and Applied Sciences	860	2.963	0.001860
21	MIT Technology Review	929	2.893	0.001910
22	JOURNAL OF KING SAUD UNIVERSITY SCIENCE	"1	120"	2.835	0.001670
23	PROCEEDINGS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES	"18	683"	2.818	0.018940
24	PLoS One	"650	727"	2.776	1.706770
25	COMPLEXITY	"2	753"	2.591	0.003890
26	Royal Society Open Science	"4	118"	2.515	0.017150
27	PeerJ	"11	911"	2.353	0.045900
28	SCIENCE AND ENGINEERING ETHICS	"1	719"	2.275	0.003450
29	INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS	"7	008"	2.145	0.007390
30	Symmetry-Basel	"2	097"	2.143	0.002590
31	SCIENTIFIC AMERICAN	"6	609"	1.946	0.003540
32	Science of Nature	508	1.839	0.002000
33	PROCEEDINGS OF THE JAPAN ACADEMY SERIES B-PHYSICAL AND BIOLOGICAL SCIENCES	"1	532"	1.833	0.001960
34	Journal of Taibah University for Science	779	1.640	0.001240
35	Frontiers in Life Science	241	1.622	0.000500
36	ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING	"3	838"	1.518	0.005840
37	SCIENCE PROGRESS	521	1.500	0.000400
38	Proceedings of the Romanian Academy Series A-Mathematics Physics Technical Sciences Information Science	497	1.402	0.000900
39	SOUTH AFRICAN JOURNAL OF SCIENCE	"2	604"	1.351	0.002010
40	ISSUES IN SCIENCE AND TECHNOLOGY	428	1.214	0.000990
41	Jove-Journal of Visualized Experiments	"13	650"	1.108	0.035180
42	RENDICONTI LINCEI-SCIENZE FISICHE E NATURALI	750	1.087	0.001080
43	ENDEAVOUR	540	1.068	0.000440
44	DISCRETE DYNAMICS IN NATURE AND SOCIETY	"1	962"	0.973	0.003690
45	Mathematical Modelling of Natural Phenomena	679	0.949	0.001930
46	ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS	"2	841"	0.938	0.003410
47	Kuwait Journal of Science	225	0.891	0.000340
48	ADVANCES IN COMPLEX SYSTEMS	618	0.867	0.000340
49	JOURNAL OF THE ROYAL SOCIETY OF NEW ZEALAND	648	0.774	0.000400
50	CURRENT SCIENCE	"10	540"	0.756	0.006420
51	JOURNAL OF THE INDIAN INSTITUTE OF SCIENCE	391	0.742	0.000530
52	Iranian Journal of Science and Technology Transaction A-Science	499	0.692	0.000460
53	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES INDIA SECTION A-PHYSICAL SCIENCES	309	0.681	0.000400
54	TRANSACTIONS OF THE ROYAL SOCIETY OF SOUTH AUSTRALIA	444	0.667	0.000200
55	DEFENCE SCIENCE JOURNAL	928	0.589	0.000560
56	Sains Malaysiana	"1	337"	0.540	0.001320
57	Proceedings of the Estonian Academy of Sciences	523	0.510	0.000490
58	AMERICAN SCIENTIST	"2	425"	0.507	0.001110
59	SCIENTIST	268	0.493	0.000380
60	HERALD OF THE RUSSIAN ACADEMY OF SCIENCES	331	0.492	0.000380
61	Maejo International Journal of Science and Technology	218	0.481	0.000230
62	SCIENCEASIA	618	0.452	0.000540
63	JOURNAL OF THE NATIONAL SCIENCE FOUNDATION OF SRI LANKA	285	0.419	0.000280
64	ACTA SCIENTIARUM-TECHNOLOGY	344	0.356	0.000470
65	Chiang Mai Journal of Science	502	0.342	0.000650
66	NEW SCIENTIST	918	0.332	0.001340
67	NATIONAL ACADEMY SCIENCE LETTERS-INDIA	433	0.331	0.000700
68	COMPTES RENDUS DE L ACADEMIE BULGARE DES SCIENCES	578	0.321	0.000550
69	INTERDISCIPLINARY SCIENCE REVIEWS	306	0.140	0.000150
Copyright © 2019 Clarivate Analytics				
"By exporting the selected data	 you agree to the data usage policy set forth in the Terms of Use"				
