Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
1	Journal of Cachexia Sarcopenia and Muscle	"2799"	10.7540.005870
2	AGEING RESEARCH REVIEWS	"6539"	10.3900.015890
3	AGING CELL	"8993"	7.3460.018810
4	GeroScience	3226.4440.000750
5	Aging-US	"5185"	5.5150.012440
6	Journal of the American Medical Directors Association	"8273"	4.8990.020110
7	JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES	"19408"	4.7110.026350
7	JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES	"19408"	4.7110.026350
9	AGE	"3875"	4.6480.009070
10	AGE AND AGEING	"12077"	4.5110.015880
11	NEUROBIOLOGY OF AGING	"22409"	4.3980.037090
12	Immunity & Ageing	8384.2500.001420
13	Aging and Disease	"1602"	4.2320.003230
14	JOURNAL OF THE AMERICAN GERIATRICS SOCIETY	"32454"	4.1130.035290
14	JOURNAL OF THE AMERICAN GERIATRICS SOCIETY	"32454"	4.1130.035290
16	REJUVENATION RESEARCH	"1927"	3.8110.002250
17	BIOGERONTOLOGY	"2208"	3.8050.003740
18	MATURITAS	"6920"	3.6540.011270
19	Frontiers in Aging Neuroscience	"6791"	3.6330.020910
20	GERONTOLOGIST	"10364"	3.6280.010690
21	MECHANISMS OF AGEING AND DEVELOPMENT	"5666"	3.6030.005020
22	AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY	"6965"	3.4880.010970
22	AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY	"6965"	3.4880.010970
24	JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES	"8712"	3.4180.009950
24	JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES	"8712"	3.4180.009950
26	GERONTOLOGY	"3950"	3.3530.005150
27	Journal of Geriatric Oncology	"1068"	3.1640.004200
28	INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY	"9327"	3.1410.010130
28	INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY	"9327"	3.1410.010130
30	EXPERIMENTAL GERONTOLOGY	"9399"	3.0800.012800
31	AGING & MENTAL HEALTH	"5420"	2.9560.008280
31	AGING & MENTAL HEALTH	"5420"	2.9560.008280
33	DRUGS & AGING	"3681"	2.8460.005210
34	BMC Geriatrics	"4994"	2.8180.013370
34	BMC Geriatrics	"4994"	2.8180.013370
36	JOURNAL OF GERIATRIC PSYCHIATRY AND NEUROLOGY	"1632"	2.7470.001840
37	Journal of Nutrition Health & Aging	"5203"	2.6600.007400
38	ARCHIVES OF GERONTOLOGY AND GERIATRICS	"5368"	2.6110.008250
39	PSYCHOLOGY AND AGING	"9612"	2.6080.007800
40	Clinical Interventions in Aging	"4624"	2.5850.011100
41	European Review of Aging and Physical Activity	3722.5170.000710
42	INTERNATIONAL PSYCHOGERIATRICS	"6574"	2.4780.010140
42	INTERNATIONAL PSYCHOGERIATRICS	"6574"	2.4780.010140
44	AGING CLINICAL AND EXPERIMENTAL RESEARCH	"3314"	2.3310.004580
45	Journal of Geriatric Physical Therapy	8462.2830.001110
46	DEMENTIA AND GERIATRIC COGNITIVE DISORDERS	"4583"	2.2600.003830
47	JOURNAL OF APPLIED GERONTOLOGY	"1401"	2.2480.002280
48	Dementia-International Journal of Social Research and Practice	"1506"	2.2380.002920
49	European Journal of Ageing	"1045"	2.1820.001610
50	CLINICS IN GERIATRIC MEDICINE	"2175"	2.1630.002920
51	Geriatrics & Gerontology International	"3209"	2.1180.008010
51	Geriatrics & Gerontology International	"3209"	2.1180.008010
53	JOURNAL OF AGING AND HEALTH	"2878"	2.0070.004100
54	AGEING & SOCIETY	"3338"	1.8950.003450
55	JOURNAL OF AGING AND PHYSICAL ACTIVITY	"1752"	1.7950.002720
