Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
1	NATURE REVIEWS IMMUNOLOGY	"41499"	44.0190.080220
2	NATURE IMMUNOLOGY	"44298"	23.5300.094250
3	IMMUNITY	"51051"	21.5220.126090
4	Annual Review of Immunology	"17013"	21.4290.022210
5	Lancet HIV	"2417"	14.7530.014270
6	JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY	"51978"	14.1100.076250
7	TRENDS IN IMMUNOLOGY	"12153"	13.0000.025470
8	IMMUNOLOGICAL REVIEWS	"15517"	11.2920.027050
9	JOURNAL OF EXPERIMENTAL MEDICINE	"63983"	10.8920.071790
10	Science Immunology	"1292"	10.5510.007580
11	CLINICAL INFECTIOUS DISEASES	"64031"	9.0550.119010
12	Journal for ImmunoTherapy of Cancer	"2716"	8.6760.011350
13	Cancer Immunology Research	"5420"	8.6190.025380
14	Cellular & Molecular Immunology	"4058"	8.2130.009160
15	AUTOIMMUNITY REVIEWS	"9127"	7.7160.018220
16	CURRENT OPINION IN IMMUNOLOGY	"9164"	7.6670.017440
17	Journal of Allergy and Clinical Immunology-In Practice	"4196"	7.5500.013090
18	JOURNAL OF AUTOIMMUNITY	"6900"	7.5430.015050
19	SEMINARS IN IMMUNOLOGY	"5016"	7.3580.010290
20	Mucosal Immunology	"6990"	7.3520.020730
21	CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY	"3149"	7.3280.006390
22	Clinical & Translational Immunology	9987.2710.003770
23	EMERGING INFECTIOUS DISEASES	"30311"	7.1850.059420
24	Seminars in Immunopathology	"3337"	6.8040.007890
25	ALLERGY	"17873"	6.7710.024250
26	EXERCISE IMMUNOLOGY REVIEW	7546.4550.000890
27	Emerging Microbes & Infections	"1941"	6.2120.006720
28	BRAIN BEHAVIOR AND IMMUNITY	"14533"	6.1700.025700
29	Advances in Immunology	"2544"	5.7710.004220
30	Journal of Neuroinflammation	"11767"	5.7000.023240
31	OncoImmunology	"7790"	5.3330.025470
32	Journal of the International AIDS Society	"4530"	5.1920.018770
33	JOURNAL OF INFECTIOUS DISEASES	"45452"	5.0450.076010
34	Allergy Asthma & Immunology Research	"1599"	5.0260.003240
35	npj Vaccines	2825.0200.001120
36	BIODRUGS	"1685"	4.9030.003370
37	CANCER IMMUNOLOGY IMMUNOTHERAPY	"7779"	4.9000.012870
38	Virulence	"3557"	4.7750.009120
39	Vaccines	"1077"	4.7600.003910
40	INFECTIOUS DISEASE CLINICS OF NORTH AMERICA	"2765"	4.7570.005160
41	CLINICAL AND EXPERIMENTAL ALLERGY	"11312"	4.7410.012900
42	JOURNAL OF IMMUNOLOGY	"127940"	4.7180.124400
43	Frontiers in Immunology	"27827"	4.7160.085880
44	EUROPEAN JOURNAL OF IMMUNOLOGY	"22037"	4.6950.024730
45	BONE MARROW TRANSPLANTATION	"12031"	4.6740.020710
46	PEDIATRIC ALLERGY AND IMMUNOLOGY	"4360"	4.6540.006520
47	TRANSPLANTATION	"24971"	4.5930.032780
48	Expert Review of Vaccines	"4147"	4.5310.009510
49	AIDS	"19276"	4.4990.038330
50	Current Opinion in HIV and AIDS	"2426"	4.2680.008530
51	Immunity & Ageing	8384.2500.001420
52	INTERNATIONAL IMMUNOLOGY	"6031"	4.1680.005160
53	IMMUNOLOGY	"11257"	4.1470.012190
54	JOURNAL OF CLINICAL IMMUNOLOGY	"4792"	4.1280.007570
55	Journal of Innate Immunity	"2003"	4.0850.004370
56	JOURNAL OF LEUKOCYTE BIOLOGY	"16921"	4.0120.019570
57	CURRENT ALLERGY AND ASTHMA REPORTS	"2600"	3.9820.005460
58	ALLERGOLOGY INTERNATIONAL	"2061"	3.9650.003820
59	IMMUNOLOGY AND CELL BIOLOGY	"5452"	3.9470.008820
60	Expert Review of Clinical Immunology	"2562"	3.9070.006630
61	JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES	"14479"	3.8630.037150
62	INFLAMMOPHARMACOLOGY	"1522"	3.8380.001770
63	JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY	"2192"	3.8020.002210
64	CLINICAL AND EXPERIMENTAL IMMUNOLOGY	"13463"	3.7110.013870
65	World Allergy Organization Journal	"1733"	3.6840.003160
66	BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION	"10501"	3.5990.023950
67	ANNALS OF ALLERGY ASTHMA & IMMUNOLOGY	"7962"	3.5600.009610
68	CLINICAL IMMUNOLOGY	"8204"	3.5480.010490
69	MEDIATORS OF INFLAMMATION	"11203"	3.5450.026330
