Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
1	JOURNAL OF MEDICAL INTERNET RESEARCH	"13602"	4.9450.030580
2	JMIR mHealth and uHealth	"2576"	4.3010.007920
3	JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION	"9319"	4.2920.019480
4	IEEE Journal of Biomedical and Health Informatics	"4082"	4.2170.010320
5	ARTIFICIAL INTELLIGENCE IN MEDICINE	"2462"	3.5740.002960
6	COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE	"7147"	3.4240.009350
7	JMIR Serious Games	2693.3510.000660
8	JMIR Medical Informatics	3843.1880.001480
9	JOURNAL OF BIOMEDICAL INFORMATICS	"7431"	2.9500.010300
10	MEDICAL DECISION MAKING	"5281"	2.7930.009000
11	INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS	"4765"	2.7310.006720
12	JOURNAL OF MEDICAL SYSTEMS	"4680"	2.4150.006220
13	STATISTICAL METHODS IN MEDICAL RESEARCH	"4156"	2.3880.012230
14	Health Informatics Journal	6912.2970.001450
15	BMC Medical Informatics and Decision Making	"3578"	2.0670.008490
16	MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING	"5904"	2.0390.004380
17	STATISTICS IN MEDICINE	"24925"	1.8470.034040
18	Health Information Management Journal	3201.7420.000390
19	JOURNAL OF EVALUATION IN CLINICAL PRACTICE	"4039"	1.5360.005120
20	INTERNATIONAL JOURNAL OF TECHNOLOGY ASSESSMENT IN HEALTH CARE	"2143"	1.4180.002140
21	Applied Clinical Informatics	6641.3060.002050
22	Informatics for Health & Social Care	2851.2180.000470
23	CIN-COMPUTERS INFORMATICS NURSING	8361.0290.001120
24	METHODS OF INFORMATION IN MEDICINE	"1330"	1.0240.001760
25	Biomedical Engineering-Biomedizinische Technik	"1007"	1.0070.001320
26	Therapeutic Innovation & Regulatory Science	3710.9010.001600
