Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
1	NEW ENGLAND JOURNAL OF MEDICINE	"344581"	70.6700.686700
2	LANCET	"247292"	59.1020.427870
3	JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION	"156350"	51.2730.300810
4	Nature Reviews Disease Primers	"4339"	32.2740.019740
5	NATURE MEDICINE	"79243"	30.6410.162840
6	BMJ-British Medical Journal	"112901"	27.6040.152760
7	JAMA Internal Medicine	"15215"	20.7680.095580
8	ANNALS OF INTERNAL MEDICINE	"57057"	19.3150.096020
9	Science Translational Medicine	"30485"	17.1610.121980
10	JOURNAL OF CLINICAL INVESTIGATION	"108879"	12.2820.139970
11	PLOS MEDICINE	"30689"	11.0480.071200
12	TRENDS IN MOLECULAR MEDICINE	"9946"	11.0280.018900
13	JOURNAL OF EXPERIMENTAL MEDICINE	"63983"	10.8920.071790
14	Journal of Cachexia Sarcopenia and Muscle	"2799"	10.7540.005870
15	EMBO Molecular Medicine	"7507"	10.6240.025980
16	Annual Review of Medicine	"6068"	10.0910.009030
17	MOLECULAR THERAPY	"16991"	8.4020.030050
18	MOLECULAR ASPECTS OF MEDICINE	"5568"	8.3130.009020
19	BMC Medicine	"13630"	8.2850.045220
20	Theranostics	"8769"	8.0630.020270
21	Cochrane Database of Systematic Reviews	"67607"	7.7550.158690
22	MAYO CLINIC PROCEEDINGS	"14695"	7.0910.025750
23	CANADIAN MEDICAL ASSOCIATION JOURNAL	"15351"	6.9380.016500
24	EBioMedicine	"5401"	6.6800.022310
25	ALTEX-Alternatives to Animal Experimentation	"1361"	6.1830.001920
26	Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology	"2345"	6.1400.004130
27	JOURNAL OF INTERNAL MEDICINE	"10547"	6.0510.015700
28	JCI Insight	"4351"	6.0140.020440
29	Molecular Therapy-Nucleic Acids	"3189"	5.9190.010410
30	Molecular Therapy-Oncolytics	4865.7100.001990
31	Journal of Clinical Medicine	"2315"	5.6880.007210
32	Nanomedicine-Nanotechnology Biology and Medicine	"10131"	5.5700.014480
33	Cold Spring Harbor Perspectives in Medicine	"6223"	5.5640.016730
34	MEDICAL JOURNAL OF AUSTRALIA	"11134"	5.3320.012600
35	CLINICAL SCIENCE	"10951"	5.2370.014190
36	JOURNAL OF BIOMEDICAL SCIENCE	"4083"	5.2030.006300
37	npj Vaccines	2825.0200.001120
38	PALLIATIVE MEDICINE	"5682"	4.9560.009860
39	AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS	"1335"	4.9190.003270
40	Translational Research	"3669"	4.9150.008530
41	Molecular Therapy-Methods & Clinical Development	"1078"	4.8750.004020
42	AMERICAN JOURNAL OF MEDICINE	"25051"	4.7600.026650
42	Vaccines	"1077"	4.7600.003910
44	JOURNAL OF MOLECULAR MEDICINE-JMM	"7195"	4.7460.010880
45	EXPERIMENTAL AND MOLECULAR MEDICINE	"4046"	4.7430.007380
46	Stem Cell Reviews and Reports	"2436"	4.6970.004690
47	CANCER GENE THERAPY	"2842"	4.6810.003200
48	EPMA Journal	8154.6610.001320
49	JOURNAL OF CELLULAR AND MOLECULAR MEDICINE	"12391"	4.6580.015760
50	Stem Cell Research & Therapy	"6132"	4.6270.015810
51	JOURNAL OF GENERAL INTERNAL MEDICINE	"19431"	4.6060.028130
52	Deutsches Arzteblatt International	"4331"	4.4690.007630
53	Cancer Biology & Medicine	"1043"	4.4670.003040
54	AMERICAN JOURNAL OF PREVENTIVE MEDICINE	"22339"	4.4350.041750
55	BRITISH JOURNAL OF GENERAL PRACTICE	"6489"	4.4340.009370
56	EXPERT REVIEWS IN MOLECULAR MEDICINE	"1758"	4.4070.001450
57	mAbs	"4415"	4.4050.011150
58	MOLECULAR PHARMACEUTICS	"16792"	4.3960.028020
59	CYTOTHERAPY	"5969"	4.2970.009690
60	JOURNAL OF INHERITED METABOLIC DISEASE	"5868"	4.2870.008410
61	PPAR Research	"1434"	4.1860.001600
62	ANNALS OF FAMILY MEDICINE	"5314"	4.1850.010880
63	JOURNAL OF TRAVEL MEDICINE	"2229"	4.1550.003410
64	ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE	"10039"	4.1510.012620
65	Journal of Translational Medicine	"10831"	4.0980.022910
66	CTS-Clinical and Translational Science	"1351"	3.9890.003190
67	HUMAN GENE THERAPY	"5639"	3.8550.007540
68	Nucleic Acid Therapeutics	8543.7800.003000
69	GENE THERAPY	"7223"	3.7490.007040
70	BIOMEDICINE & PHARMACOTHERAPY	"14983"	3.7430.023480
71	Annals of Translational Medicine	"3430"	3.6890.010900
72	Orphanet Journal of Rare Diseases	"6654"	3.6870.015860
73	LABORATORY INVESTIGATION	"10025"	3.6840.009110
74	European Journal of Internal Medicine	"4559"	3.6600.009420
75	MOLECULAR GENETICS AND METABOLISM	"7018"	3.6100.009900
76	EXPERT OPINION ON BIOLOGICAL THERAPY	"4481"	3.5850.007720
