Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
1	NEW ENGLAND JOURNAL OF MEDICINE	"344581"	70.6700.686700
2	LANCET	"247292"	59.1020.427870
3	JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION	"156350"	51.2730.300810
4	Nature Reviews Disease Primers	"4339"	32.2740.019740
5	NATURE MEDICINE	"79243"	30.6410.162840
6	BMJ-British Medical Journal	"112901"	27.6040.152760
7	EUROPEAN HEART JOURNAL	"57358"	23.2390.125920
8	CIRCULATION	"166484"	23.0540.211290
9	JAMA Internal Medicine	"15215"	20.7680.095580
10	ANNALS OF INTERNAL MEDICINE	"57057"	19.3150.096020
11	JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY	"100986"	18.6390.193290
12	Nature Reviews Cardiology	"6301"	17.4200.018820
13	Science Translational Medicine	"30485"	17.1610.121980
14	CIRCULATION RESEARCH	"52988"	15.8620.072290
15	EUROPEAN JOURNAL OF HEART FAILURE	"13107"	13.9650.027620
16	JOURNAL OF CLINICAL INVESTIGATION	"108879"	12.2820.139970
17	JAMA Cardiology	"3280"	11.8660.019320
18	PLOS MEDICINE	"30689"	11.0480.071200
19	TRENDS IN MOLECULAR MEDICINE	"9946"	11.0280.018900
20	JACC-Cardiovascular Imaging	"8801"	10.9750.026160
21	JOURNAL OF EXPERIMENTAL MEDICINE	"63983"	10.8920.071790
22	Journal of Cachexia Sarcopenia and Muscle	"2799"	10.7540.005870
23	EMBO Molecular Medicine	"7507"	10.6240.025980
24	Annual Review of Medicine	"6068"	10.0910.009030
25	JACC-Cardiovascular Interventions	"11555"	9.5440.033640
26	JACC-Heart Failure	"3537"	8.9100.016830
27	JOURNAL OF HEART AND LUNG TRANSPLANTATION	"12436"	8.5780.027310
28	MOLECULAR THERAPY	"16991"	8.4020.030050
29	MOLECULAR ASPECTS OF MEDICINE	"5568"	8.3130.009020
30	BMC Medicine	"13630"	8.2850.045220
31	Theranostics	"8769"	8.0630.020270
32	Cochrane Database of Systematic Reviews	"67607"	7.7550.158690
33	MAYO CLINIC PROCEEDINGS	"14695"	7.0910.025750
34	HYPERTENSION	"36482"	7.0170.046530
35	CARDIOVASCULAR RESEARCH	"21828"	7.0140.021500
36	CANADIAN MEDICAL ASSOCIATION JOURNAL	"15351"	6.9380.016500
37	European Heart Journal-Cardiovascular Pharmacotherapy	4426.7230.001430
38	EBioMedicine	"5401"	6.6800.022310
39	ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY	"33223"	6.6180.036000
40	Circulation-Heart Failure	"6900"	6.5260.022830
41	BASIC RESEARCH IN CARDIOLOGY	"4137"	6.4700.005590
42	ALTEX-Alternatives to Animal Experimentation	"1361"	6.1830.001920
43	PROGRESS IN CARDIOVASCULAR DISEASES	"4055"	6.1620.008860
44	Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology	"2345"	6.1400.004130
45	JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY	"10478"	6.1110.016060
46	EUROPACE	"10908"	6.1000.025320
47	Circulation-Cardiovascular Interventions	"5289"	6.0600.016640
48	JOURNAL OF INTERNAL MEDICINE	"10547"	6.0510.015700
49	STROKE	"64814"	6.0460.082630
50	JCI Insight	"4351"	6.0140.020440
51	Cardiovascular Diabetology	"5392"	5.9480.011550
52	Molecular Therapy-Nucleic Acids	"3189"	5.9190.010410
53	Circulation-Cardiovascular Imaging	"5456"	5.8130.018480
54	ANGIOGENESIS	"2956"	5.7590.004410
55	Molecular Therapy-Oncolytics	4865.7100.001990
56	Journal of Clinical Medicine	"2315"	5.6880.007210
57	European Journal of Preventive Cardiology	"4782"	5.6400.013370
58	CANADIAN JOURNAL OF CARDIOLOGY	"6710"	5.5920.018500
59	Journal of Stroke	9255.5710.003580
60	Nanomedicine-Nanotechnology Biology and Medicine	"10131"	5.5700.014480
61	Cold Spring Harbor Perspectives in Medicine	"6223"	5.5640.016730
62	MEDICAL JOURNAL OF AUSTRALIA	"11134"	5.3320.012600
63	JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY	"29599"	5.2610.036950
64	European Heart Journal-Cardiovascular Imaging	"5498"	5.2600.021650
65	CLINICAL SCIENCE	"10951"	5.2370.014190
66	HEART RHYTHM	"12344"	5.2250.029030
67	JOURNAL OF BIOMEDICAL SCIENCE	"4083"	5.2030.006300
68	REVISTA ESPANOLA DE CARDIOLOGIA	"3566"	5.1260.004640
69	HEART	"18063"	5.0820.030620
70	JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE	"5113"	5.0700.014020
71	JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY	"14143"	5.0550.020450
72	npj Vaccines	2825.0200.001120
73	Circulation-Arrhythmia and Electrophysiology	"6432"	4.9680.017840
74	PALLIATIVE MEDICINE	"5682"	4.9560.009860
75	AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS	"1335"	4.9190.003270
76	Translational Research	"3669"	4.9150.008530
