Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
1	LANCET NEUROLOGY	"30748"	28.7550.06946
2	Nature Reviews Neurology	"9548"	21.1550.03106
3	ACTA NEUROPATHOLOGICA	"20206"	18.1740.04166
4	Alzheimers & Dementia	"13341"	14.4230.03634
5	JAMA Neurology	"8683"	12.3210.04204
6	BRAIN	"52970"	11.8140.07403
7	SLEEP MEDICINE REVIEWS	"6920"	10.5170.01092
8	NEURO-ONCOLOGY	"11858"	10.0910.02915
9	ANNALS OF NEUROLOGY	"37336"	9.4960.04863
10	NEUROLOGY	"89258"	8.6890.1152
11	JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY	"29660"	8.2720.03073
12	MOVEMENT DISORDERS	"26964"	8.0610.03765
13	Neurology-Neuroimmunology & Neuroinflammation	"1996"	7.3530.00822
14	Brain Stimulation	"5457"	6.9190.01447
15	Epilepsy Currents	7996.9090.00156
16	NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY	"3876"	6.8780.00642
17	NEUROSCIENTIST	"4986"	6.7910.00852
18	BRAIN PATHOLOGY	"5263"	6.1550.00788
19	Alzheimers Research & Therapy	"3160"	6.1420.0107
20	STROKE	"64814"	6.0460.08263
21	PAIN	"38312"	6.0290.03907
22	Translational Stroke Research	"1955"	5.8470.00433
23	Multiple Sclerosis Journal	"11501"	5.6490.02275
24	Journal of Stroke	9255.5710.00358
25	EPILEPSIA	"26492"	5.5620.0334
26	Neurotherapeutics	"4475"	5.5520.00906
27	JOURNAL OF PAIN	"10405"	5.4240.01828
28	BIPOLAR DISORDERS	"5143"	4.9360.00676
29	Annals of Clinical and Translational Neurology	"1858"	4.6560.00875
30	CURRENT OPINION IN NEUROLOGY	"5290"	4.6470.00965
31	NEUROSURGERY	"29096"	4.6050.02073
32	SLEEP	"21434"	4.5710.02424
33	EUROPEAN NEUROPSYCHOPHARMACOLOGY	"7488"	4.4680.0155
34	International Journal of Stroke	"4172"	4.4660.01521
35	CEPHALALGIA	"9983"	4.4380.01448
36	EUROPEAN JOURNAL OF NEUROLOGY	"10488"	4.3870.01697
37	PARKINSONISM & RELATED DISORDERS	"9119"	4.360.01881
38	PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY	"10674"	4.3150.0124
39	JOURNAL OF PSYCHOPHARMACOLOGY	"6460"	4.2210.01012
40	INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY	"6551"	4.2070.01232
41	JOURNAL OF NEUROLOGY	"14910"	4.2040.02455
42	CNS DRUGS	"4602"	4.1920.00719
43	JOURNAL OF NEUROSURGERY	"36001"	4.130.02788
44	JOURNAL OF AFFECTIVE DISORDERS	"30314"	4.0840.05295
45	CNS SPECTRUMS	"2368"	3.940.00334
46	JOURNAL OF HEADACHE AND PAIN	"3308"	3.9180.00721
47	NEUROGASTROENTEROLOGY AND MOTILITY	"8314"	3.8030.01451
48	NEUROREHABILITATION AND NEURAL REPAIR	"5071"	3.7570.00848
49	JOURNAL OF NEUROTRAUMA	"14754"	3.7540.01977
50	HEADACHE	"7897"	3.7490.00993
51	CLINICAL NEUROPHYSIOLOGY	"19574"	3.6750.02142
52	Journal of Neurodevelopmental Disorders	"1253"	3.590.00342
53	Therapeutic Advances in Neurological Disorders	"1148"	3.580.00276
54	Current Treatment Options in Neurology	"1200"	3.5740.00279
55	DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY	"12256"	3.5320.01384
56	Brain Tumor Pathology	7393.5090.00147
57	PSYCHIATRY AND CLINICAL NEUROSCIENCES	"3720"	3.4890.00423
58	JOURNAL OF NEUROPATHOLOGY AND EXPERIMENTAL NEUROLOGY	"9205"	3.460.00751
59	Journal of Clinical Sleep Medicine	"6094"	3.4560.01139
60	Expert Review of Neurotherapeutics	"4057"	3.4530.00636
61	JOURNAL OF SLEEP RESEARCH	"5432"	3.4320.00745
62	Current Neurology and Neuroscience Reports	"3004"	3.40.00721
63	JOURNAL OF PAIN AND SYMPTOM MANAGEMENT	"11229"	3.3780.01575
64	SLEEP MEDICINE	"10218"	3.360.01713
65	AMERICAN JOURNAL OF NEURORADIOLOGY	"23231"	3.2560.02801
66	Current Alzheimer Research	"4026"	3.2110.00593
67	Spine Journal	"9595"	3.1960.0198
68	EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE	"4096"	3.1920.00459
69	EUROPEAN JOURNAL OF PAIN	"7263"	3.1880.01107
70	Journal of Neurogastroenterology and Motility	"1407"	3.1790.00295
71	Behavioral Sleep Medicine	"1285"	3.1710.00235
72	JOURNAL OF NEURO-ONCOLOGY	"11487"	3.1290.01682
73	BRAIN TOPOGRAPHY	"2629"	3.1040.00492
74	JOURNAL OF THE INTERNATIONAL NEUROPSYCHOLOGICAL SOCIETY	"6773"	3.0980.00738
75	Nature and Science of Sleep	5203.0540.00129
76	NEUROGENETICS	"1268"	3.0170.00232
77	JOURNAL OF NEUROSURGERY-SPINE	"7809"	2.9980.01231
78	JOURNAL OF NEUROSURGICAL ANESTHESIOLOGY	"1495"	2.9570.00171
79	Pain Physician	"4377"	2.9420.0073
80	JOURNAL OF NEURAL TRANSMISSION	"6900"	2.9030.00803
80	SPINE	"47839"	2.9030.03312
82	CLINICAL JOURNAL OF PAIN	"6940"	2.8930.00967
83	Neurosurgical Focus	"7349"	2.8910.01009
84	Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration	"3561"	2.8830.00606
85	Neurocritical Care	"4070"	2.8570.00691
86	ACTA NEUROLOGICA SCANDINAVICA	"6767"	2.8520.0072
87	NEUROLOGIC CLINICS	"2233"	2.8020.00329
88	Clinical Neuroradiology	7982.80.00225
89	Neurodegenerative Diseases	"1560"	2.7980.00245
90	Journal of Clinical Neurology	"1268"	2.7960.00274
91	Current Pain and Headache Reports	"2158"	2.7670.00369
92	SEIZURE-EUROPEAN JOURNAL OF EPILEPSY	"5557"	2.7650.01029
93	JOURNAL OF GERIATRIC PSYCHIATRY AND NEUROLOGY	"1632"	2.7470.00184
94	Multiple Sclerosis and Related Disorders	"1621"	2.7250.00569
95	NEUROEPIDEMIOLOGY	"3266"	2.6890.00498
96	CEREBROVASCULAR DISEASES	"5517"	2.6810.0074
97	JOURNAL OF HEAD TRAUMA REHABILITATION	"4388"	2.6670.00585
98	NEUROMODULATION	"2109"	2.6630.0046
99	JOURNAL OF THE NEUROLOGICAL SCIENCES	"17679"	2.6510.02332
100	Frontiers in Neurology	"6274"	2.6350.01955
101	Journal of Neurologic Physical Therapy	"1022"	2.6140.00155
102	NEUROMUSCULAR DISORDERS	"5164"	2.6120.00856
103	CHILD NEUROPSYCHOLOGY	"2296"	2.5770.00278
104	NEUROSURGERY CLINICS OF NORTH AMERICA	"1637"	2.5530.00242
105	NEUROSURGICAL REVIEW	"2434"	2.5320.00296
106	EUROPEAN SPINE JOURNAL	"16408"	2.5130.02122
107	JOURNAL OF NEURO-OPHTHALMOLOGY	"1748"	2.5090.00252
108	NEURORADIOLOGY	"5656"	2.5040.00702
109	EUROPEAN JOURNAL OF PAEDIATRIC NEUROLOGY	"2764"	2.4960.00583
110	Pain Practice	"2422"	2.4860.00452
111	CLINICAL AUTONOMIC RESEARCH	"1761"	2.4850.00195
112	NEUROLOGICAL SCIENCES	"5637"	2.4840.00999
113	JOURNAL OF NEURORADIOLOGY	9852.4670.00144
114	JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM	"1600"	2.4410.00213
115	MUSCLE & NERVE	"12279"	2.3930.01462
116	ALZHEIMER DISEASE & ASSOCIATED DISORDERS	"3166"	2.3780.00321
116	EPILEPSY & BEHAVIOR	"10335"	2.3780.01753
118	PEDIATRIC NEUROLOGY	"5398"	2.3260.00957
118	Sleep and Breathing	"3128"	2.3260.00607
120	CANADIAN JOURNAL OF NEUROLOGICAL SCIENCES	"2908"	2.2860.00359
121	PSYCHIATRY RESEARCH-NEUROIMAGING	"5503"	2.270.00833
122	HUMAN PSYCHOPHARMACOLOGY-CLINICAL AND EXPERIMENTAL	"2149"	2.2650.00232
123	DEMENTIA AND GERIATRIC COGNITIVE DISORDERS	"4583"	2.260.00383
124	Journal of Pain Research	"2171"	2.2360.00619
125	BMC Neurology	"5121"	2.2330.01246
126	Neuropsychiatric Disease and Treatment	"5337"	2.2280.01226
127	EPILEPSY RESEARCH	"6815"	2.1780.0098
128	REVUE NEUROLOGIQUE	"1943"	2.1770.0025
129	Journal of Neurosurgery-Pediatrics	"4167"	2.170.00792
130	NEUROPHYSIOLOGIE CLINIQUE-CLINICAL NEUROPHYSIOLOGY	"1230"	2.1670.00138
131	NEUROPATHOLOGY	"1783"	2.1610.00272
132	JOURNAL OF CHILD NEUROLOGY	"6113"	2.0920.00894
133	JOURNAL OF NEUROIMAGING	"2081"	2.080.00427
134	OTOLOGY & NEUROTOLOGY	"8094"	2.0630.01117
135	EPILEPTIC DISORDERS	"1305"	2.0520.0024
136	Parkinsons Disease	"1205"	2.0510.00229
137	NEUROLOGIA	"1077"	2.0380.00193
138	CLINICAL NEUROPSYCHOLOGIST	"3186"	2.0060.00322
139	JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY	"5419"	1.9940.00406
140	NEUROLOGICAL RESEARCH	"3894"	1.9830.00394
141	JOURNAL OF NEUROPSYCHIATRY AND CLINICAL NEUROSCIENCES	"3615"	1.9710.00254
142	BEHAVIOURAL NEUROLOGY	"1340"	1.9080.00243
143	SPINAL CORD	"5874"	1.8980.00574
144	Journal of Neurosurgical Sciences	8331.8830.00127
145	JOURNAL OF NERVOUS AND MENTAL DISEASE	"8182"	1.8590.00703
146	ACTA NEUROCHIRURGICA	"9486"	1.8340.00916
147	CLINICAL EEG AND NEUROSCIENCE	"1018"	1.8220.00151
148	CURRENT NEUROVASCULAR RESEARCH	"1044"	1.8110.00137
149	BRAIN & DEVELOPMENT	"3930"	1.7560.00494
150	Clinical Spine Surgery	8481.7260.00316
151	World Neurosurgery	"10159"	1.7230.02342
152	JOURNAL OF SPINAL CORD MEDICINE	"2488"	1.7110.00311
153	Pain Research & Management	"1517"	1.7010.00253
154	JOURNAL OF CLINICAL NEUROPHYSIOLOGY	"3076"	1.6730.00354
155	CLINICAL NEUROLOGY AND NEUROSURGERY	"5855"	1.6720.01053
156	APHASIOLOGY	"2862"	1.6690.00197
157	NEUROPEDIATRICS	"1674"	1.6540.00205
158	NEUROLOGIA MEDICO-CHIRURGICA	"3018"	1.6510.00267
159	ACTA NEUROLOGICA BELGICA	9911.6120.00167
160	JOURNAL OF CLINICAL NEUROSCIENCE	"8027"	1.5930.01345
161	Korean Journal of Pain	5121.5630.00092
162	Applied Neuropsychology-Adult	4261.5480.00129
163	Applied Neuropsychology-Child	2561.5280.00083
164	Seminars in Pediatric Neurology	"1143"	1.5060.00132
165	BRITISH JOURNAL OF NEUROSURGERY	"3247"	1.4810.00314
166	SEMINARS IN NEUROLOGY	"1761"	1.4730.00265
167	Operative Neurosurgery	6321.470.00145
168	American Journal of Alzheimers Disease and Other Dementias	"2062"	1.4640.00286
169	INTERVENTIONAL NEURORADIOLOGY	"1340"	1.450.00228
170	Cognitive and Behavioral Neurology	7661.3960.00079
171	CHILDS NERVOUS SYSTEM	"5817"	1.3270.00611
172	CLINICAL NEUROPHARMACOLOGY	"2110"	1.2720.00155
173	SCHMERZ	7461.2670.0009
174	Developmental Neurorehabilitation	8351.2390.00159
175	EUROPEAN NEUROLOGY	"3068"	1.2350.00316
176	Journal of Neurological Surgery Part B-Skull Base	6691.2160.00169
177	NEUROREHABILITATION	"2546"	1.1970.00399
178	Journal of Korean Neurosurgical Society	"1991"	1.1870.00278
179	NEUROCASE	"1181"	1.1080.00162
180	JOURNAL OF NEUROSCIENCE NURSING	"1071"	1.0960.00097
181	Journal of Neurological Surgery Part A-Central European Neurosurgery	5101.060.00136
182	Neurologia i Neurochirurgia Polska	8351.0060.00131
183	Brain Impairment	3570.9580.00043
184	NEUROCHIRURGIE	8490.9480.00084
185	CLINICAL NEUROPATHOLOGY	9170.9470.00086
186	Annals of Indian Academy of Neurology	"1013"	0.8980.00197
187	Turkish Neurosurgery	"1271"	0.8960.00187
188	Neurosciences	5040.8920.00076
189	Noropsikiyatri Arsivi-Archives of Neuropsychiatry	3770.8560.00074
190	NERVENARZT	"1603"	0.8290.00142
191	NEUROLOGIST	8740.8020.00046
192	PEDIATRIC NEUROSURGERY	"2001"	0.7830.00072
193	Sleep and Biological Rhythms	6000.7520.00083
194	FORTSCHRITTE DER NEUROLOGIE PSYCHIATRIE	5340.6350.00046
195	REVISTA DE NEUROLOGIA	"1755"	0.4850.00108
196	KLINISCHE NEUROPHYSIOLOGIE	400.3250.00003
197	Zeitschrift fur Neuropsychologie	780.2330.00009
