Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
1	Lancet Global Health	"6109"	15.873	0.034250
1	Lancet Global Health	"6109"	15.873	0.034250
3	MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT	"26534"	14.874	0.098040
4	Lancet Public Health	799	11.600	0.003770
4	Lancet Public Health	799	11.600	0.003770
6	Annual Review of Public Health	"6769"	10.776	0.011700
6	Annual Review of Public Health	"6769"	10.776	0.011700
8	Analytic Methods in Accident Research	669	9.333	0.002420
9	ENVIRONMENTAL HEALTH PERSPECTIVES	"42165"	8.049	0.039510
10	INTERNATIONAL JOURNAL OF EPIDEMIOLOGY	"23097"	7.339	0.050810
11	BULLETIN OF THE WORLD HEALTH ORGANIZATION	"15736"	6.818	0.018090
12	EUROPEAN JOURNAL OF EPIDEMIOLOGY	"7785"	6.529	0.016950
13	EPIDEMIOLOGIC REVIEWS	"3477"	6.455	0.003470
14	JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS	"1753"	6.436	0.001470
15	TOBACCO CONTROL	"8343"	6.221	0.019190
15	TOBACCO CONTROL	"8343"	6.221	0.019190
17	AMERICAN JOURNAL OF PUBLIC HEALTH	"39861"	5.381	0.065480
17	AMERICAN JOURNAL OF PUBLIC HEALTH	"39861"	5.381	0.065480
19	Journal of Occupational Health Psychology	"4093"	5.128	0.005410
20	CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION	"19542"	5.057	0.031380
21	ENVIRONMENTAL RESEARCH	"16339"	5.026	0.025480
22	PALLIATIVE MEDICINE	"5682"	4.956	0.009860
23	Travel Medicine and Infectious Disease	"1576"	4.868	0.004660
24	EPIDEMIOLOGY	"13114"	4.719	0.019010
24	EPIDEMIOLOGY	"13114"	4.719	0.019010
26	INDOOR AIR	"4851"	4.710	0.005620
27	JOURNAL OF CLINICAL EPIDEMIOLOGY	"27514"	4.650	0.029080
28	AMERICAN JOURNAL OF EPIDEMIOLOGY	"37816"	4.473	0.039390
29	AMERICAN JOURNAL OF PREVENTIVE MEDICINE	"22339"	4.435	0.041750
30	Environmental Health	"5272"	4.430	0.010550
31	Evolution Medicine and Public Health	373	4.400	0.001570
32	INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH	"4852"	4.379	0.007830
33	JOURNAL OF TRAVEL MEDICINE	"2229"	4.155	0.003410
34	JOURNAL OF ADOLESCENT HEALTH	"15535"	3.957	0.029260
34	JOURNAL OF ADOLESCENT HEALTH	"15535"	3.957	0.029260
36	JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH	"14305"	3.872	0.017690
36	JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH	"14305"	3.872	0.017690
38	MEDICAL CARE	"20250"	3.795	0.021130
39	NICOTINE & TOBACCO RESEARCH	"9737"	3.786	0.023650
39	NICOTINE & TOBACCO RESEARCH	"9737"	3.786	0.023650
41	Current Pollution Reports	281	3.762	0.000670
