Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
1	Journal of Statistical Software	"20	164"	11.655	0.049150
2	AMERICAN STATISTICIAN	"5	898"	5.381	0.004680
3	ECONOMETRICA	"35	295"	4.281	0.050000
4	Annual Review of Statistics and Its Application	353	3.857	0.002750
5	JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION	"36	025"	3.412	0.027860
6	JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY	"24	232"	3.278	0.016930
7	FUZZY SETS AND SYSTEMS	"17	630"	2.907	0.008500
8	ANNALS OF STATISTICS	"20	544"	2.901	0.029530
9	IEEE-ACM Transactions on Computational Biology and Bioinformatics	"2	781"	2.896	0.005850
10	STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT	"4	019"	2.807	0.006860
11	CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS	"9	266"	2.786	0.008160
12	JOURNAL OF BUSINESS & ECONOMIC STATISTICS	"5	249"	2.716	0.008850
13	R Journal	"1	117"	2.682	0.005950
14	PROBABILITY THEORY AND RELATED FIELDS	"3	513"	2.448	0.014260
15	STATISTICAL METHODS IN MEDICAL RESEARCH	"4	156"	2.388	0.012230
16	STATISTICS AND COMPUTING	"4	275"	2.383	0.010080
17	PROBABILISTIC ENGINEERING MECHANICS	"2	464"	2.329	0.002820
18	STATISTICAL SCIENCE	"6	246"	2.320	0.008260
19	INTERNATIONAL STATISTICAL REVIEW	"1	792"	2.209	0.002550
20	MULTIVARIATE BEHAVIORAL RESEARCH	"6	520"	2.141	0.006020
21	Advances in Data Analysis and Classification	470	2.098	0.002680
22	TECHNOMETRICS	"8	464"	2.089	0.003990
23	ANNALS OF PROBABILITY	"5	986"	2.085	0.018610
23	Bayesian Analysis	"1	814"	2.085	0.004270
25	BIOSTATISTICS	"3	750"	2.050	0.006060
26	BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY	"1	976"	1.930	0.004090
27	FINANCE AND STOCHASTICS	"1	288"	1.921	0.003440
28	JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS	"4	069"	1.882	0.009220
29	JOURNAL OF CHEMOMETRICS	"3	900"	1.847	0.002200
29	STATISTICS IN MEDICINE	"24	925"	1.847	0.034040
31	Stata Journal	"4	097"	1.796	0.006790
32	JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY	"2	994"	1.785	0.004550
33	Extremes	649	1.778	0.003130
34	BIOMETRICS	"21	431"	1.755	0.012350
34	JOURNAL OF QUALITY TECHNOLOGY	"2	510"	1.755	0.001650
36	ANNALS OF APPLIED PROBABILITY	"3	272"	1.703	0.012250
37	Annals of Applied Statistics	"3	062"	1.656	0.011580
38	BIOMETRIKA	"20	999"	1.641	0.012480
39	Quality Engineering	821	1.626	0.001050
40	PHARMACEUTICAL STATISTICS	"1	128"	1.584	0.002410
41	Scandinavian Actuarial Journal	796	1.523	0.001910
42	TEST	803	1.423	0.002590
43	BERNOULLI	"2	215"	1.393	0.011350
44	ENVIRONMETRICS	"1	782"	1.351	0.002660
45	STATISTICAL PAPERS	"1	033"	1.345	0.002250
46	JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS	"4	008"	1.344	0.003670
47	STOCHASTIC PROCESSES AND THEIR APPLICATIONS	"5	066"	1.342	0.014110
48	COMPUTATIONAL STATISTICS & DATA ANALYSIS	"8	301"	1.323	0.017230
49	INSURANCE MATHEMATICS & ECONOMICS	"3	518"	1.315	0.005080
50	International Journal of Biostatistics	517	1.309	0.001550
51	BIOMETRICAL JOURNAL	"2	978"	1.255	0.004360
52	ECONOMETRIC THEORY	"2	585"	1.238	0.005850
53	OPEN SYSTEMS & INFORMATION DYNAMICS	359	1.231	0.000880
54	Spatial Statistics	504	1.219	0.002830
55	JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS	952	1.203	0.001570
56	ANNALES DE L INSTITUT HENRI POINCARE-PROBABILITES ET STATISTIQUES	"1	348"	1.152	0.007490
57	Econometrics Journal	936	1.147	0.002460
58	SORT-Statistics and Operations Research Transactions	181	1.125	0.000490
59	APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY	819	1.124	0.002030
60	Econometric Reviews	"1	411"	1.070	0.004010
61	AStA-Advances in Statistical Analysis	321	1.047	0.001100
62	JOURNAL OF MULTIVARIATE ANALYSIS	"4	296"	1.029	0.012440
63	STATISTICAL MODELLING	668	1.026	0.001750
64	Astin Bulletin	868	1.017	0.001200
64	SCANDINAVIAN JOURNAL OF STATISTICS	"3	349"	1.017	0.004390
66	ELECTRONIC JOURNAL OF PROBABILITY	"1	594"	0.994	0.010030
67	OXFORD BULLETIN OF ECONOMICS AND STATISTICS	"3	098"	0.989	0.002940
68	Electronic Journal of Statistics	"1	527"	0.986	0.010800
69	COMBINATORICS PROBABILITY & COMPUTING	"1	081"	0.970	0.003890
70	LIFETIME DATA ANALYSIS	886	0.948	0.001850
71	STATISTICA SINICA	"3	020"	0.947	0.006860
72	Quality Technology and Quantitative Management	291	0.946	0.000680
73	Statistics in Biopharmaceutical Research	288	0.920	0.001340
74	Random Matrices-Theory and Applications	161	0.909	0.000920
75	JOURNAL OF TIME SERIES ANALYSIS	"1	539"	0.906	0.002580
76	JOURNAL OF COMPUTATIONAL BIOLOGY	"4	056"	0.879	0.003300
77	STOCHASTIC ANALYSIS AND APPLICATIONS	804	0.878	0.001740
78	PROBABILITY IN THE ENGINEERING AND INFORMATIONAL SCIENCES	583	0.864	0.001020
79	ALEA-Latin American Journal of Probability and Mathematical Statistics	297	0.843	0.002440
80	Journal of Official Statistics	972	0.837	0.001170
81	ADVANCES IN APPLIED PROBABILITY	"2	104"	0.822	0.002810
82	LAW PROBABILITY & RISK	206	0.821	0.000370
83	ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS	"1	713"	0.772	0.002190
84	JOURNAL OF APPLIED STATISTICS	"2	575"	0.767	0.003760
84	JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION	"2	378"	0.767	0.005700
86	ENVIRONMENTAL AND ECOLOGICAL STATISTICS	870	0.759	0.000910
87	JOURNAL OF STATISTICAL PLANNING AND INFERENCE	"4	266"	0.756	0.005560
87	Journal of Biopharmaceutical Statistics	"1	273"	0.756	0.002540
89	METHODOLOGY AND COMPUTING IN APPLIED PROBABILITY	583	0.746	0.001830
90	Statistical Analysis and Data Mining	393	0.741	0.001010
91	INFINITE DIMENSIONAL ANALYSIS QUANTUM PROBABILITY AND RELATED TOPICS	954	0.732	0.000920
92	Stochastics-An International Journal of Probability and Stochastic Processes	605	0.726	0.001760
93	Stochastics and Dynamics	489	0.708	0.001340
94	JOURNAL OF NONPARAMETRIC STATISTICS	706	0.706	0.001590
95	JOURNAL OF THEORETICAL PROBABILITY	877	0.689	0.003360
96	COMPUTATIONAL STATISTICS	978	0.680	0.003470
97	STATISTICS	724	0.675	0.002430
98	ESAIM-Probability and Statistics	329	0.652	0.001560
99	AUSTRALIAN & NEW ZEALAND JOURNAL OF STATISTICS	602	0.642	0.001200
100	METRIKA	835	0.640	0.001220
101	ELECTRONIC COMMUNICATIONS IN PROBABILITY	723	0.623	0.005090
102	INTERNATIONAL JOURNAL OF GAME THEORY	"1	422"	0.615	0.002100
102	STATISTICS & PROBABILITY LETTERS	"4	243"	0.615	0.008640
104	JOURNAL OF APPLIED PROBABILITY	"3	230"	0.610	0.003630
105	Hacettepe Journal of Mathematics and Statistics	631	0.605	0.001110
106	Probability and Mathematical Statistics-Poland	219	0.600	0.000540
107	THEORY OF PROBABILITY AND ITS APPLICATIONS	"1	840"	0.591	0.001090
108	Statistical Methods and Applications	367	0.590	0.001340
109	CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE	"1	094"	0.588	0.001870
110	Journal of the Korean Statistical Society	322	0.569	0.001160
111	Brazilian Journal of Probability and Statistics	231	0.551	0.001200
112	STOCHASTIC MODELS	456	0.536	0.000570
112	Statistical Applications in Genetics and Molecular Biology	"1	322"	0.536	0.001040
114	Sequential Analysis-Design Methods and Applications	360	0.500	0.000620
115	COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION	"1	989"	0.490	0.003540
116	Stat	176	0.470	0.001550
117	STATISTICA NEERLANDICA	680	0.433	0.000380
118	Markov Processes and Related Fields	307	0.429	0.000750
118	Survey Methodology	814	0.429	0.000730
120	COMMUNICATIONS IN STATISTICS-THEORY AND METHODS	"4	039"	0.424	0.005710
121	REVSTAT-Statistical Journal	208	0.365	0.000390
122	Mathematical Population Studies	158	0.276	0.000150
123	UTILITAS MATHEMATICA	565	0.228	0.000790
Copyright © 2019 Clarivate Analytics				
"By exporting the selected data	 you agree to the data usage policy set forth in the Terms of Use"				
