Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,NATURE REVIEWS MOLECULAR CELL BIOLOGY,"46,307",55.47,0.08232
2,CELL,"258,178",38.637,0.56497
3,NATURE MEDICINE,"85,220",36.13,0.16873
4,CANCER CELL,"41,064",26.602,0.09543
5,Annual Review of Biochemistry,"20,499",25.787,0.02482
6,Cell Metabolism,"39,581",21.567,0.09748
7,Cell Stem Cell,"26,470",20.86,0.07816
8,CELL RESEARCH,"16,237",20.507,0.0377
9,NATURE CELL BIOLOGY,"41,904",20.042,0.07722
10,Science Translational Medicine,"34,479",16.304,0.11603
11,TRENDS IN CELL BIOLOGY,"15,395",16.041,0.03477
12,MOLECULAR CELL,"69,148",15.584,0.16626
13,Molecular Cancer,"15,448",15.302,0.02399
14,PROGRESS IN LIPID RESEARCH,"6,139",15.083,0.00573
15,Journal of Extracellular Vesicles,"4,809",14.976,0.01228
16,Physics of Life Reviews,"1,627",14.789,0.00315
17,TRENDS IN BIOCHEMICAL SCIENCES,"18,416",14.732,0.03206
18,Annual Review of Cell and Developmental Biology,"10,057",14.667,0.01673
19,TRENDS IN MICROBIOLOGY,"13,604",13.546,0.02278
20,Signal Transduction and Targeted Therapy,"1,182",13.493,0.00338
21,Nature Chemical Biology,"22,084",12.587,0.06013
22,MOLECULAR PSYCHIATRY,"22,227",12.384,0.05473
23,Molecular Plant,"11,432",12.084,0.02853
24,NATURAL PRODUCT REPORTS,"11,239",12,0.01361
25,NATURE STRUCTURAL & MOLECULAR BIOLOGY,"27,178",11.98,0.0568
26,NUCLEIC ACIDS RESEARCH,"201,649",11.501,0.40347
27,TRENDS IN MOLECULAR MEDICINE,"10,618",11.099,0.01872
28,GENOME RESEARCH,"41,755",11.093,0.07694
29,MOLECULAR BIOLOGY AND EVOLUTION,"50,486",11.062,0.08481
30,CELL DEATH AND DIFFERENTIATION,"21,095",10.717,0.0296
31,BIOLOGICAL REVIEWS,"13,490",10.701,0.01944
32,AGEING RESEARCH REVIEWS,"7,291",10.616,0.01373
33,Protein & Cell,"3,772",10.164,0.00997
34,DEVELOPMENTAL CELL,"29,444",10.092,0.06556
35,Redox Biology,"10,157",9.986,0.02381
