Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
1	NATURE REVIEWS MOLECULAR CELL BIOLOGY	"46307"	55.47	0.08232
2	CELL	"258178"	38.637	0.56497
3	NATURE MEDICINE	"85220"	36.13	0.16873
4	CANCER CELL	"41064"	26.602	0.09543
5	Annual Review of Biochemistry	"20499"	25.787	0.02482
6	Cell Metabolism	"39581"	21.567	0.09748
7	Cell Stem Cell	"26470"	20.86	0.07816
8	CELL RESEARCH	"16237"	20.507	0.0377
9	NATURE CELL BIOLOGY	"41904"	20.042	0.07722
10	Science Translational Medicine	"34479"	16.304	0.11603
11	TRENDS IN CELL BIOLOGY	"15395"	16.041	0.03477
12	MOLECULAR CELL	"69148"	15.584	0.16626
13	Molecular Cancer	"15448"	15.302	0.02399
14	PROGRESS IN LIPID RESEARCH	"6139"	15.083	0.00573
15	Journal of Extracellular Vesicles	"4809"	14.976	0.01228
16	Physics of Life Reviews	"1627"	14.789	0.00315
17	TRENDS IN BIOCHEMICAL SCIENCES	"18416"	14.732	0.03206
18	Annual Review of Cell and Developmental Biology	"10057"	14.667	0.01673
19	TRENDS IN MICROBIOLOGY	"13604"	13.546	0.02278
20	Signal Transduction and Targeted Therapy	"1182"	13.493	0.00338
21	Nature Chemical Biology	"22084"	12.587	0.06013
22	MOLECULAR PSYCHIATRY	"22227"	12.384	0.05473
23	Molecular Plant	"11432"	12.084	0.02853
24	NATURAL PRODUCT REPORTS	"11239"	12	0.01361
25	NATURE STRUCTURAL & MOLECULAR BIOLOGY	"27178"	11.98	0.0568
26	NUCLEIC ACIDS RESEARCH	"201649"	11.501	0.40347
27	TRENDS IN MOLECULAR MEDICINE	"10618"	11.099	0.01872
28	GENOME RESEARCH	"41755"	11.093	0.07694
29	MOLECULAR BIOLOGY AND EVOLUTION	"50486"	11.062	0.08481
30	CELL DEATH AND DIFFERENTIATION	"21095"	10.717	0.0296
31	BIOLOGICAL REVIEWS	"13490"	10.701	0.01944
32	AGEING RESEARCH REVIEWS	"7291"	10.616	0.01373
33	Protein & Cell	"3772"	10.164	0.00997
34	DEVELOPMENTAL CELL	"29444"	10.092	0.06556
35	Redox Biology	"10157"	9.986	0.02381
