Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
Nature Reviews Cardiology,1759-5002,1759-5010,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","11,539",32.419,"Q1",4.61,1.88%,
EUROPEAN HEART JOURNAL,0195-668X,1522-9645,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","81,447",29.983,"Q1",5.87,27.55%,
CIRCULATION,0009-7322,1524-4539,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","190,210",29.690,"Q1",6.16,15.19%,
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,0735-1097,1558-3597,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","125,873",24.094,"Q1",4.75,13.55%,
CIRCULATION RESEARCH,0009-7330,1524-4571,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","65,425",17.367,"Q1",3.54,12.65%,
BASIC RESEARCH IN CARDIOLOGY,0300-8428,1435-1803,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5,629",17.165,"Q1",2.85,39.62%,
EUROPEAN JOURNAL OF HEART FAILURE,1388-9842,1879-0844,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","17,114",15.534,"Q1",3.17,26.53%,
JACC-Cardiovascular Imaging,1936-878X,1876-7591,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","14,398",14.805,"Q1",3.41,10.02%,
JAMA Cardiology,2380-6583,2380-6591,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","11,453",14.676,"Q1",3.10,6.18%,
JACC-Heart Failure,2213-1779,2213-1787,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6,212",12.035,"Q1",2.40,12.00%,
JACC-Cardiovascular Interventions,1936-8798,1876-7605,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","15,448",11.195,"Q1",2.19,6.58%,
CARDIOVASCULAR RESEARCH,0008-6363,1755-3245,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","26,765",10.787,"Q1",2.09,22.77%,
JOURNAL OF HEART AND LUNG TRANSPLANTATION,1053-2498,1557-3117,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","15,107",10.247,"Q1",2.34,4.94%,
Cardiovascular Diabetology,N/A,1475-2840,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","8,782",9.951,"Q1",1.81,100.00%,
Circulation-Heart Failure,1941-3289,1941-3297,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","9,005",8.790,"Q1",1.67,4.25%,
JACC-Basic to Translational Science,2452-302X,2452-302X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,842",8.648,"Q1",1.49,100.00%,
PROGRESS IN CARDIOVASCULAR DISEASES,0033-0620,1873-1740,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5,799",8.194,"Q1",1.21,6.01%,
European Journal of Preventive Cardiology,2047-4873,2047-4881,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","8,287",7.804,"Q1",1.49,10.12%,
Circulation-Cardiovascular Imaging,1941-9651,1942-0080,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","7,640",7.792,"Q1",1.70,9.63%,
European Heart Journal-Cardiovascular Imaging,2047-2404,2047-2412,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","8,423",6.875,"Q1",1.61,9.66%,
TRENDS IN CARDIOVASCULAR MEDICINE,1050-1738,1873-2615,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,542",6.677,"Q1",1.31,21.19%,
European Heart Journal-Cardiovascular Pharmacotherapy,2055-6837,2055-6845,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","919",6.617,"Q1",1.51,13.58%,
Circulation-Arrhythmia and Electrophysiology,1941-3149,1941-3084,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","8,834",6.568,"Q1",1.38,9.22%,
Circulation-Cardiovascular Interventions,1941-7640,1941-7632,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6,530",6.546,"Q1",1.35,7.57%,
EuroIntervention,1774-024X,1969-6213,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","7,160",6.534,"Q1",1.15,0.00%,
JACC-Clinical Electrophysiology,2405-500X,2405-5018,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,801",6.375,"Q1",1.31,10.72%,
HEART RHYTHM,1547-5271,1556-3871,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","16,459",6.343,"Q1",1.52,8.22%,
JACC: CardioOncology,2666-0873,2666-0873,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","267",6.250,"Q1",1.16,100.00%,
Circulation-Genomic and Precision Medicine,2574-8300,2574-8300,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","858",6.054,"Q1",1.19,25.26%,
Frontiers in Cardiovascular Medicine,2297-055X,2297-055X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,172",6.050,"Q1",0.92,100.00%,
HEART,1355-6037,1468-201X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","22,182",5.994,"Q1",1.33,22.22%,
JOURNAL OF NUCLEAR CARDIOLOGY,1071-3581,1532-6551,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5,882",5.952,"Q1",0.95,15.17%,
Circulation-Cardiovascular Quality and Outcomes,1941-7705,1941-7713,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6,318",5.882,"Q1",1.16,6.34%,
JOURNAL OF CARDIAC FAILURE,1071-9164,1532-8414,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6,604",5.712,"Q1",0.97,5.45%,
Journal of the American Heart Association,2047-9980,2047-9980,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","26,960",5.501,"Q1",1.14,100.00%,
Clinical Research in Cardiology,1861-0684,1861-0692,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5,218",5.460,"Q2",1.22,28.92%,
JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,1097-6647,1532-429X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6,935",5.364,"Q2",1.44,100.00%,
JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY,0894-7317,N/A,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","14,150",5.251,"Q2",1.31,5.51%,
CANADIAN JOURNAL OF CARDIOLOGY,0828-282X,1916-7075,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","8,782",5.223,"Q2",0.98,4.07%,
EUROPACE,1099-5129,1532-2092,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","12,468",5.214,"Q2",1.19,0.00%,
JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY,0022-5223,1097-685X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","33,066",5.209,"Q2",1.40,4.05%,
CURRENT PROBLEMS IN CARDIOLOGY,0146-2806,1535-6280,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","965",5.200,"Q2",0.54,2.22%,
ATHEROSCLEROSIS,0021-9150,1879-1484,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","27,929",5.162,"Q2",1.06,15.08%,
JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,0022-2828,1095-8584,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","17,399",5.000,"Q2",0.94,15.80%,
REVISTA ESPANOLA DE CARDIOLOGIA,0300-8932,1579-2242,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,507",4.753,"Q2",0.83,0.00%,
AMERICAN HEART JOURNAL,0002-8703,1097-5330,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","22,202",4.749,"Q2",1.11,12.19%,
AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,0363-6135,1522-1539,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","30,771",4.733,"Q2",1.10,3.27%,
European Heart Journal-Acute Cardiovascular Care,2048-8726,2048-8734,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,238",4.696,"Q2",1.07,6.95%,
ESC Heart Failure,2055-5822,2055-5822,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,303",4.411,"Q2",0.90,100.00%,
European Heart Journal-Quality of Care and Clinical Outcomes,2058-5225,2058-1742,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","777",4.370,"Q2",0.88,11.71%,
ANNALS OF THORACIC SURGERY,0003-4975,1552-6259,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","41,620",4.330,"Q2",1.18,0.34%,
Journal of Cardiovascular Computed Tomography,1934-5925,1934-5925,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,352",4.309,"Q2",1.00,4.62%,
NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES,0939-4753,1590-3729,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","7,701",4.222,"Q2",0.89,6.64%,
HEART FAILURE REVIEWS,1382-4147,1573-7322,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,816",4.214,"Q2",0.78,13.67%,
EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY,1010-7940,1873-734X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","18,818",4.191,"Q2",1.17,6.03%,
INTERNATIONAL JOURNAL OF CARDIOLOGY,0167-5273,1874-1754,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","37,692",4.164,"Q2",0.89,9.18%,
Journal of Cardiovascular Translational Research,1937-5387,1937-5395,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,109",4.132,"Q2",0.93,18.47%,
Annals of Cardiothoracic Surgery,2225-319X,2304-1021,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,434",4.101,"Q2",1.04,67.33%,
Journal of Cardiovascular Development and Disease,N/A,2308-3425,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","689",3.948,"Q2",0.64,100.00%,
European Journal of Cardiovascular Nursing,1474-5151,1873-1953,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,670",3.908,"Q2",1.31,6.75%,
CARDIOVASCULAR DRUGS AND THERAPY,0920-3206,1573-7241,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,744",3.727,"Q2",1.04,22.97%,
American Journal of Cardiovascular Drugs,1175-3277,1179-187X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,523",3.571,"Q2",0.76,14.51%,
Global Heart,2211-8160,2211-8179,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,287",3.426,"Q2",0.70,82.54%,
RESPIRATORY MEDICINE,0954-6111,1532-3064,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","14,459",3.415,"Q2",0.82,5.17%,
Journal of Geriatric Cardiology,1671-5411,N/A,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,835",3.327,"Q2",0.54,0.00%,
Korean Circulation Journal,1738-5520,1738-5555,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,773",3.243,"Q2",0.56,56.25%,
