Journal name	ISSN	eISSN	Category	Total Citations	2020 JIF	JIF Quartile	2020 JCI	% of OA Gold
Nature Reviews Cardiology	1759-50021759-5010	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"11539"	32.419	"Q1"	4.611.88%	
EUROPEAN HEART JOURNAL	0195-668X	1522-9645	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"81447"	29.983	"Q1"	5.8727.55%	
CIRCULATION	0009-73221524-4539	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"190210"	29.690	"Q1"	6.1615.19%	
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY	0735-10971558-3597	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"125873"	24.094	"Q1"	4.7513.55%	
CIRCULATION RESEARCH	0009-73301524-4571	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"65425"	17.367	"Q1"	3.5412.65%	
BASIC RESEARCH IN CARDIOLOGY	0300-84281435-1803	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"5629"	17.165	"Q1"	2.8539.62%	
EUROPEAN JOURNAL OF HEART FAILURE	1388-98421879-0844	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"17114"	15.534	"Q1"	3.1726.53%	
JACC-Cardiovascular Imaging	1936-878X	1876-7591	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"14398"	14.805	"Q1"	3.4110.02%	
JAMA Cardiology	2380-65832380-6591	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"11453"	14.676	"Q1"	3.106.18%	
JACC-Heart Failure	2213-17792213-1787	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"6212"	12.035	"Q1"	2.4012.00%	
JACC-Cardiovascular Interventions	1936-87981876-7605	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"15448"	11.195	"Q1"	2.196.58%	
CARDIOVASCULAR RESEARCH	0008-63631755-3245	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"26765"	10.787	"Q1"	2.0922.77%	
JOURNAL OF HEART AND LUNG TRANSPLANTATION	1053-24981557-3117	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"15107"	10.247	"Q1"	2.344.94%	
Cardiovascular Diabetology	N/A	1475-2840	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"8782"	9.951	"Q1"	1.81100.00%	
Circulation-Heart Failure	1941-32891941-3297	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"9005"	8.790	"Q1"	1.674.25%	
JACC-Basic to Translational Science	2452-302X	2452-302X	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1842"	8.648	"Q1"	1.49100.00%	
PROGRESS IN CARDIOVASCULAR DISEASES	0033-06201873-1740	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"5799"	8.194	"Q1"	1.216.01%	
European Journal of Preventive Cardiology	2047-48732047-4881	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"8287"	7.804	"Q1"	1.4910.12%	
Circulation-Cardiovascular Imaging	1941-96511942-0080	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"7640"	7.792	"Q1"	1.709.63%	
European Heart Journal-Cardiovascular Imaging	2047-24042047-2412	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"8423"	6.875	"Q1"	1.619.66%	
TRENDS IN CARDIOVASCULAR MEDICINE	1050-17381873-2615	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"3542"	6.677	"Q1"	1.3121.19%	
European Heart Journal-Cardiovascular Pharmacotherapy	2055-68372055-6845	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"919"	6.617	"Q1"	1.5113.58%	
Circulation-Arrhythmia and Electrophysiology	1941-31491941-3084	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"8834"	6.568	"Q1"	1.389.22%	
Circulation-Cardiovascular Interventions	1941-76401941-7632	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"6530"	6.546	"Q1"	1.357.57%	
EuroIntervention	1774-024X	1969-6213	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"7160"	6.534	"Q1"	1.150.00%	
JACC-Clinical Electrophysiology	2405-500X	2405-5018	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"2801"	6.375	"Q1"	1.3110.72%	
HEART RHYTHM	1547-52711556-3871	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"16459"	6.343	"Q1"	1.528.22%	
JACC: CardioOncology	2666-08732666-0873	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"267"	6.250	"Q1"	1.16100.00%	
Circulation-Genomic and Precision Medicine	2574-83002574-8300	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"858"	6.054	"Q1"	1.1925.26%	
Frontiers in Cardiovascular Medicine	2297-055X	2297-055X	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"3172"	6.050	"Q1"	0.92100.00%	
HEART	1355-60371468-201X	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"22182"	5.994	"Q1"	1.3322.22%	
JOURNAL OF NUCLEAR CARDIOLOGY	1071-35811532-6551	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"5882"	5.952	"Q1"	0.9515.17%	
Circulation-Cardiovascular Quality and Outcomes	1941-77051941-7713	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"6318"	5.882	"Q1"	1.166.34%	
JOURNAL OF CARDIAC FAILURE	1071-91641532-8414	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"6604"	5.712	"Q1"	0.975.45%	
Journal of the American Heart Association	2047-99802047-9980	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"26960"	5.501	"Q1"	1.14100.00%	
Clinical Research in Cardiology	1861-06841861-0692	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"5218"	5.460	"Q2"	1.2228.92%	
JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE	1097-66471532-429X	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"6935"	5.364	"Q2"	1.44100.00%	
JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY	0894-7317	N/A	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"14150"	5.251	"Q2"	1.315.51%	
CANADIAN JOURNAL OF CARDIOLOGY	0828-282X	1916-7075	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"8782"	5.223	"Q2"	0.984.07%	
EUROPACE	1099-51291532-2092	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"12468"	5.214	"Q2"	1.190.00%	
JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY	0022-52231097-685X	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"33066"	5.209	"Q2"	1.404.05%	
CURRENT PROBLEMS IN CARDIOLOGY	0146-28061535-6280	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"965"	5.200	"Q2"	0.542.22%	
ATHEROSCLEROSIS	0021-91501879-1484	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"27929"	5.162	"Q2"	1.0615.08%	
JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY	0022-28281095-8584	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"17399"	5.000	"Q2"	0.9415.80%	
REVISTA ESPANOLA DE CARDIOLOGIA	0300-89321579-2242	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"4507"	4.753	"Q2"	0.830.00%	
AMERICAN HEART JOURNAL	0002-87031097-5330	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"22202"	4.749	"Q2"	1.1112.19%	
AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY	0363-61351522-1539	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"30771"	4.733	"Q2"	1.103.27%	
European Heart Journal-Acute Cardiovascular Care	2048-87262048-8734	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"2238"	4.696	"Q2"	1.076.95%	
ESC Heart Failure	2055-58222055-5822	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"2303"	4.411	"Q2"	0.90100.00%	
European Heart Journal-Quality of Care and Clinical Outcomes	2058-52252058-1742	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"777"	4.370	"Q2"	0.8811.71%	
ANNALS OF THORACIC SURGERY	0003-49751552-6259	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"41620"	4.330	"Q2"	1.180.34%	
Journal of Cardiovascular Computed Tomography	1934-59251934-5925	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"2352"	4.309	"Q2"	1.004.62%	
NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES	0939-47531590-3729	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"7701"	4.222	"Q2"	0.896.64%	
HEART FAILURE REVIEWS	1382-41471573-7322	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"3816"	4.214	"Q2"	0.7813.67%	
EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY	1010-79401873-734X	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"18818"	4.191	"Q2"	1.176.03%	
INTERNATIONAL JOURNAL OF CARDIOLOGY	0167-52731874-1754	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"37692"	4.164	"Q2"	0.899.18%	
Journal of Cardiovascular Translational Research	1937-53871937-5395	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"2109"	4.132	"Q2"	0.9318.47%	
Annals of Cardiothoracic Surgery	2225-319X	2304-1021	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"2434"	4.101	"Q2"	1.0467.33%	
Journal of Cardiovascular Development and Disease	N/A	2308-3425	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"689"	3.948	"Q2"	0.64100.00%	
European Journal of Cardiovascular Nursing	1474-51511873-1953	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"2670"	3.908	"Q2"	1.316.75%	
CARDIOVASCULAR DRUGS AND THERAPY	0920-32061573-7241	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"2744"	3.727	"Q2"	1.0422.97%	
American Journal of Cardiovascular Drugs	1175-32771179-187X	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1523"	3.571	"Q2"	0.7614.51%	
Global Heart	2211-81602211-8179	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1287"	3.426	"Q2"	0.7082.54%	
RESPIRATORY MEDICINE	0954-61111532-3064	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"14459"	3.415	"Q2"	0.825.17%	
Journal of Geriatric Cardiology	1671-5411	N/A	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1835"	3.327	"Q2"	0.540.00%	
Korean Circulation Journal	1738-55201738-5555	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"1773"	3.243	"Q2"	0.5656.25%	
