Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
NATURE REVIEWS GENETICS,1471-0056,1471-0064,"GENETICS & HEREDITY - SCIE","42,803",53.242,"Q1",5.56,2.55%,
NATURE GENETICS,1061-4036,1546-1718,"GENETICS & HEREDITY - SCIE","113,066",38.330,"Q1",8.78,7.39%,
TRENDS IN ECOLOGY & EVOLUTION,0169-5347,1872-8383,"GENETICS & HEREDITY - SCIE","44,127",17.712,"Q1",1.73,19.58%,
Annual Review of Genetics,0066-4197,1545-2948,"GENETICS & HEREDITY - SCIE","9,053",16.830,"Q1",n/a,0.00%,
MOLECULAR BIOLOGY AND EVOLUTION,0737-4038,1537-1719,"GENETICS & HEREDITY - SCIE","61,557",16.240,"Q1",2.87,56.17%,
GENOME BIOLOGY,1474-760X,1474-760X,"GENETICS & HEREDITY - SCIE","54,758",13.583,"Q1",3.04,100.00%,
TRENDS IN GENETICS,0168-9525,1362-4555,"GENETICS & HEREDITY - SCIE","14,465",11.639,"Q1",1.40,15.28%,
MOLECULAR THERAPY,1525-0016,1525-0024,"GENETICS & HEREDITY - SCIE","24,333",11.454,"Q1",2.73,87.43%,
GENES & DEVELOPMENT,0890-9369,1549-5477,"GENETICS & HEREDITY - SCIE","61,885",11.361,"Q1",2.19,98.02%,
Genome Medicine,1756-994X,1756-994X,"GENETICS & HEREDITY - SCIE","8,115",11.117,"Q1",2.39,100.00%,
AMERICAN JOURNAL OF HUMAN GENETICS,0002-9297,1537-6605,"GENETICS & HEREDITY - SCIE","43,477",11.025,"Q1",2.74,17.08%,
ONCOGENE,0950-9232,1476-5594,"GENETICS & HEREDITY - SCIE","77,576",9.867,"Q1",1.88,31.02%,
GENOME RESEARCH,1088-9051,1549-5469,"GENETICS & HEREDITY - SCIE","47,141",9.043,"Q1",2.69,98.00%,
Annual Review of Genomics and Human Genetics,1527-8204,1545-293X,"GENETICS & HEREDITY - SCIE","3,238",8.929,"Q1",n/a,5.97%,
GENETICS IN MEDICINE,1098-3600,1530-0366,"GENETICS & HEREDITY - SCIE","17,957",8.822,"Q1",2.37,27.86%,
npj Genomic Medicine,N/A,2056-7944,"GENETICS & HEREDITY - SCIE","971",8.617,"Q1",1.48,100.00%,
GENOMICS PROTEOMICS & BIOINFORMATICS,1672-0229,2210-3244,"GENETICS & HEREDITY - SCIE","3,241",7.691,"Q1",1.26,100.00%,
Molecular Autism,2040-2392,2040-2392,"GENETICS & HEREDITY - SCIE","3,579",7.509,"Q1",1.65,100.00%,
Genes & Diseases,2352-4820,2352-3042,"GENETICS & HEREDITY - SCIE","1,850",7.103,"Q1",0.81,100.00%,
Horticulture Research,2662-6810,2052-7276,"GENETICS & HEREDITY - SCIE","2,607",6.793,"Q1",1.97,100.00%,
Clinical Epigenetics,1868-7075,1868-7083,"GENETICS & HEREDITY - SCIE","5,526",6.551,"Q1",1.29,100.00%,
JOURNAL OF MEDICAL GENETICS,0022-2593,1468-6244,"GENETICS & HEREDITY - SCIE","15,071",6.318,"Q1",1.53,29.14%,
HUMAN MOLECULAR GENETICS,0964-6906,1460-2083,"GENETICS & HEREDITY - SCIE","47,192",6.150,"Q1",1.28,25.05%,
CRISPR Journal,2573-1599,2573-1602,"GENETICS & HEREDITY - SCIE","453",6.071,"Q1",1.15,19.47%,
Circulation-Genomic and Precision Medicine,2574-8300,2574-8300,"GENETICS & HEREDITY - SCIE","858",6.054,"Q1",1.19,25.26%,
CANCER GENE THERAPY,0929-1903,1476-5500,"GENETICS & HEREDITY - SCIE","3,768",5.987,"Q1",1.26,15.55%,
PLoS Genetics,1553-7404,1553-7404,"GENETICS & HEREDITY - SCIE","52,461",5.917,"Q1",1.43,100.00%,
GENOMICS,0888-7543,1089-8646,"GENETICS & HEREDITY - SCIE","11,771",5.736,"Q1",1.31,6.95%,
THEORETICAL AND APPLIED GENETICS,0040-5752,1432-2242,"GENETICS & HEREDITY - SCIE","25,124",5.699,"Q1",1.84,23.46%,
