Journal name	ISSN	eISSN	Category	Total Citations	2020 JIF	JIF Quartile	2020 JCI	% of OA Gold
NATURE REVIEWS GENETICS	1471-00561471-0064	"GENETICS & HEREDITY - SCIE"	"42803"	53.242	"Q1"	5.562.55%	
NATURE GENETICS	1061-40361546-1718	"GENETICS & HEREDITY - SCIE"	"113066"	38.330	"Q1"	8.787.39%	
TRENDS IN ECOLOGY & EVOLUTION	0169-53471872-8383	"GENETICS & HEREDITY - SCIE"	"44127"	17.712	"Q1"	1.7319.58%	
Annual Review of Genetics	0066-41971545-2948	"GENETICS & HEREDITY - SCIE"	"9053"	16.830	"Q1"	n/a	0.00%	
MOLECULAR BIOLOGY AND EVOLUTION	0737-40381537-1719	"GENETICS & HEREDITY - SCIE"	"61557"	16.240	"Q1"	2.8756.17%	
GENOME BIOLOGY	1474-760X	1474-760X	"GENETICS & HEREDITY - SCIE"	"54758"	13.583	"Q1"	3.04100.00%	
TRENDS IN GENETICS	0168-95251362-4555	"GENETICS & HEREDITY - SCIE"	"14465"	11.639	"Q1"	1.4015.28%	
MOLECULAR THERAPY	1525-00161525-0024	"GENETICS & HEREDITY - SCIE"	"24333"	11.454	"Q1"	2.7387.43%	
GENES & DEVELOPMENT	0890-93691549-5477	"GENETICS & HEREDITY - SCIE"	"61885"	11.361	"Q1"	2.1998.02%	
Genome Medicine	1756-994X	1756-994X	"GENETICS & HEREDITY - SCIE"	"8115"	11.117	"Q1"	2.39100.00%	
AMERICAN JOURNAL OF HUMAN GENETICS	0002-92971537-6605	"GENETICS & HEREDITY - SCIE"	"43477"	11.025	"Q1"	2.7417.08%	
ONCOGENE	0950-92321476-5594	"GENETICS & HEREDITY - SCIE"	"77576"	9.867	"Q1"	1.8831.02%	
GENOME RESEARCH	1088-90511549-5469	"GENETICS & HEREDITY - SCIE"	"47141"	9.043	"Q1"	2.6998.00%	
Annual Review of Genomics and Human Genetics	1527-82041545-293X	"GENETICS & HEREDITY - SCIE"	"3238"	8.929	"Q1"	n/a	5.97%	
GENETICS IN MEDICINE	1098-36001530-0366	"GENETICS & HEREDITY - SCIE"	"17957"	8.822	"Q1"	2.3727.86%	
npj Genomic Medicine	N/A	2056-7944	"GENETICS & HEREDITY - SCIE"	"971"	8.617	"Q1"	1.48100.00%	
GENOMICS PROTEOMICS & BIOINFORMATICS	1672-02292210-3244	"GENETICS & HEREDITY - SCIE"	"3241"	7.691	"Q1"	1.26100.00%	
Molecular Autism	2040-23922040-2392	"GENETICS & HEREDITY - SCIE"	"3579"	7.509	"Q1"	1.65100.00%	
Genes & Diseases	2352-48202352-3042	"GENETICS & HEREDITY - SCIE"	"1850"	7.103	"Q1"	0.81100.00%	
Horticulture Research	2662-68102052-7276	"GENETICS & HEREDITY - SCIE"	"2607"	6.793	"Q1"	1.97100.00%	
Clinical Epigenetics	1868-70751868-7083	"GENETICS & HEREDITY - SCIE"	"5526"	6.551	"Q1"	1.29100.00%	
JOURNAL OF MEDICAL GENETICS	0022-25931468-6244	"GENETICS & HEREDITY - SCIE"	"15071"	6.318	"Q1"	1.5329.14%	
HUMAN MOLECULAR GENETICS	0964-69061460-2083	"GENETICS & HEREDITY - SCIE"	"47192"	6.150	"Q1"	1.2825.05%	
CRISPR Journal	2573-15992573-1602	"GENETICS & HEREDITY - SCIE"	"453"	6.071	"Q1"	1.1519.47%	
Circulation-Genomic and Precision Medicine	2574-83002574-8300	"GENETICS & HEREDITY - SCIE"	"858"	6.054	"Q1"	1.1925.26%	
CANCER GENE THERAPY	0929-19031476-5500	"GENETICS & HEREDITY - SCIE"	"3768"	5.987	"Q1"	1.2615.55%	
PLoS Genetics	1553-74041553-7404	"GENETICS & HEREDITY - SCIE"	"52461"	5.917	"Q1"	1.43100.00%	
GENOMICS	0888-75431089-8646	"GENETICS & HEREDITY - SCIE"	"11771"	5.736	"Q1"	1.316.95%	
THEORETICAL AND APPLIED GENETICS	0040-57521432-2242	"GENETICS & HEREDITY - SCIE"	"25124"	5.699	"Q1"	1.8423.46%	
