Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,NEW ENGLAND JOURNAL OF MEDICINE,"464,351",91.245,0.63118
2,LANCET,"369,601",79.321,0.44524
3,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"224,147",56.272,0.27975
4,Nature Reviews Disease Primers,"14,221",52.329,0.04355
5,BMJ-British Medical Journal,"158,747",39.89,0.15063
6,ANNALS OF INTERNAL MEDICINE,"72,588",25.391,0.08203
7,Lancet Digital Health,"1,260",24.519,0.003
8,JAMA Internal Medicine,"25,002",21.873,0.07706
9,Journal of Cachexia Sarcopenia and Muscle,"5,908",12.91,0.00944
10,PLOS MEDICINE,"42,445",11.069,0.06192
11,Cochrane Database of Systematic Reviews,"81,212",9.266,0.12183
12,JOURNAL OF INTERNAL MEDICINE,"13,801",8.989,0.01196
13,BMC Medicine,"20,511",8.775,0.04012
14,JOURNAL OF TRAVEL MEDICINE,"5,260",8.49,0.0049
15,JAMA Network Open,"12,653",8.483,0.03994
16,CANADIAN MEDICAL ASSOCIATION JOURNAL,"19,683",8.262,0.01496
17,MEDICAL JOURNAL OF AUSTRALIA,"14,127",7.738,0.01115
18,MAYO CLINIC PROCEEDINGS,"20,504",7.616,0.02582
19,AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS,"2,202",7.141,0.00328
20,Translational Research,"5,766",7.012,0.00798
21,Deutsches Arzteblatt International,"6,542",5.594,0.00755
22,MEDICAL CLINICS OF NORTH AMERICA,"4,487",5.456,0.00511
23,BRITISH JOURNAL OF GENERAL PRACTICE,"8,303",5.386,0.0093
24,JOURNAL OF THE ROYAL SOCIETY OF MEDICINE,"4,981",5.344,0.00231
25,PANMINERVA MEDICA,"1,003",5.197,0.00093
26,ANNALS OF FAMILY MEDICINE,"6,770",5.166,0.00928
27,JOURNAL OF GENERAL INTERNAL MEDICINE,"26,727",5.128,0.02895
28,Frontiers in Medicine,"6,143",5.091,0.01305
29,AMERICAN JOURNAL OF PREVENTIVE MEDICINE,"28,400",5.043,0.03731
30,AMERICAN JOURNAL OF MEDICINE,"29,186",4.965,0.02122
31,Journal of Personalized Medicine,"1,071",4.945,0.00229
32,MINERVA MEDICA,"1,338",4.806,0.00128
33,PALLIATIVE MEDICINE,"7,332",4.762,0.0091
34,ANNALS OF MEDICINE,"5,619",4.709,0.00406
35,EUROPEAN JOURNAL OF CLINICAL INVESTIGATION,"8,197",4.686,0.00598
36,AMERICAN JOURNAL OF CHINESE MEDICINE,"4,572",4.667,0.00302
37,European Journal of Internal Medicine,"7,083",4.487,0.00933
38,BRITISH MEDICAL BULLETIN,"5,494",4.291,0.00329
39,Journal of Clinical Medicine,"21,502",4.241,0.03136
