Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,AMERICAN STATISTICIAN,"9,025",8.71,0.01007
2,JOURNAL OF BUSINESS & ECONOMIC STATISTICS,"8,115",6.565,0.01338
3,Journal of Statistical Software,"35,783",6.44,0.0611
4,MULTIVARIATE BEHAVIORAL RESEARCH,"10,037",5.923,0.00946
5,BIOSTATISTICS,"4,977",5.899,0.00677
6,ECONOMETRICA,"45,506",5.844,0.04051
7,Annual Review of Statistics and Its Application,884,5.81,0.00506
8,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,"48,223",5.033,0.03643
9,Econometrics Journal,"1,449",4.571,0.00291
10,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,"31,930",4.488,0.01399
11,ANNALS OF STATISTICS,"28,123",4.028,0.02817
12,R Journal,"3,262",3.984,0.01067
13,JOURNAL OF QUALITY TECHNOLOGY,"3,543",3.946,0.00158
14,Bayesian Analysis,"2,695",3.728,0.00641
15,IEEE-ACM Transactions on Computational Biology and Bioinformatics,"4,358",3.71,0.00696
16,CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,"11,735",3.491,0.00696
17,BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,"2,807",3.38,0.00371
18,STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,"5,448",3.379,0.00599
19,PROBABILISTIC ENGINEERING MECHANICS,"3,121",3.35,0.00175
20,FUZZY SETS AND SYSTEMS,"17,883",3.343,0.00737
21,Quality Technology and Quantitative Management,794,3.134,0.00089
22,STATISTICAL METHODS IN MEDICAL RESEARCH,"6,654",3.021,0.01573
23,TECHNOMETRICS,"11,079",2.988,0.00392
24,STATISTICAL SCIENCE,"8,485",2.901,0.00715
25,Stata Journal,"6,651",2.637,0.00832
26,BIOMETRICS,"27,464",2.571,0.01369
27,STATISTICS AND COMPUTING,"5,913",2.559,0.01018
28,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY,"4,232",2.483,0.00493
29,FINANCE AND STOCHASTICS,"1,655",2.467,0.00285
29,JOURNAL OF CHEMOMETRICS,"4,639",2.467,0.00186
31,ANNALS OF PROBABILITY,"7,305",2.452,0.01403
32,BIOMETRIKA,"28,144",2.445,0.01157
33,PROBABILITY THEORY AND RELATED FIELDS,"4,638",2.391,0.01207
34,STATISTICS IN MEDICINE,"33,374",2.373,0.0312
35,TEST,"1,430",2.345,0.00276
36,JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS,"5,900",2.302,0.01076
37,STATISTICAL PAPERS,"1,925",2.234,0.00245
38,INTERNATIONAL STATISTICAL REVIEW,"2,413",2.217,0.00251
39,BIOMETRICAL JOURNAL,"4,168",2.207,0.00439
40,Advances in Data Analysis and Classification,759,2.134,0.00156
41,Quality Engineering,"1,349",2.128,0.00136
42,ECONOMETRIC THEORY,"3,424",2.099,0.00437
43,Annals of Applied Statistics,"4,580",2.083,0.01093
44,Spatial Statistics,923,2.06,0.00244
45,STATISTICAL MODELLING,954,2.039,0.00205
46,Journal of Survey Statistics and Methodology,245,1.957,0.00112
47,INSURANCE MATHEMATICS & ECONOMICS,"4,863",1.933,0.00457
48,ENVIRONMETRICS,"2,311",1.9,0.00167
49,PHARMACEUTICAL STATISTICS,"1,840",1.894,0.00235
50,ANNALS OF APPLIED PROBABILITY,"4,008",1.872,0.00965
51,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS,"5,341",1.864,0.00419
52,ANNALES DE L INSTITUT HENRI POINCARE-PROBABILITES ET STATISTIQUES,"1,879",1.851,0.00696
53,OXFORD BULLETIN OF ECONOMICS AND STATISTICS,"4,871",1.791,0.00304
54,Scandinavian Actuarial Journal,"1,082",1.741,0.00155
55,Econometric Reviews,"2,188",1.718,0.00323
56,COMPUTATIONAL STATISTICS & DATA ANALYSIS,"11,144",1.681,0.00939
57,Stochastics and Partial Differential Equations-Analysis and Computations,368,1.641,0.00155
58,BERNOULLI,"3,186",1.595,0.00942
59,LIFETIME DATA ANALYSIS,"1,182",1.588,0.00205
60,STOCHASTIC ANALYSIS AND APPLICATIONS,"1,240",1.53,0.00135
61,JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,"1,330",1.524,0.00127
62,Astin Bulletin,"1,167",1.479,0.0011
62,JOURNAL OF COMPUTATIONAL BIOLOGY,"5,823",1.479,0.00299
64,JOURNAL OF MULTIVARIATE ANALYSIS,"6,401",1.473,0.00836
65,STOCHASTIC PROCESSES AND THEIR APPLICATIONS,"6,387",1.467,0.01006
66,Statistics in Biopharmaceutical Research,609,1.452,0.00132
67,JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,"4,004",1.424,0.00579
68,Extremes,763,1.407,0.00161
69,JOURNAL OF APPLIED STATISTICS,"4,015",1.404,0.00433
70,SCANDINAVIAN JOURNAL OF STATISTICS,"4,366",1.396,0.00355
71,JOURNAL OF TIME SERIES ANALYSIS,"2,530",1.366,0.00267
72,APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY,"1,359",1.338,0.0019
73,Statistical Methods and Applications,603,1.314,0.00128
74,PROBABILITY IN THE ENGINEERING AND INFORMATIONAL SCIENCES,668,1.269,0.00073
75,ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS,"2,354",1.267,0.00174
76,STATISTICA SINICA,"4,197",1.261,0.00692
77,REVSTAT-Statistical Journal,385,1.25,0.00049
78,JOURNAL OF NONPARAMETRIC STATISTICS,"1,149",1.231,0.00155
79,STATISTICA NEERLANDICA,955,1.19,0.00081
80,SORT-Statistics and Operations Research Transactions,259,1.185,0.00062
81,AStA-Advances in Statistical Analysis,501,1.16,0.00063
82,ELECTRONIC JOURNAL OF PROBABILITY,"2,131",1.151,0.00837
83,METHODOLOGY AND COMPUTING IN APPLIED PROBABILITY,853,1.147,0.00134
84,Electronic Journal of Statistics,"2,472",1.125,0.0111
85,Random Matrices-Theory and Applications,280,1.121,0.00074
86,ENVIRONMENTAL AND ECOLOGICAL STATISTICS,"1,060",1.119,0.00052
87,COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION,"3,773",1.118,0.00443
88,JOURNAL OF STATISTICAL PLANNING AND INFERENCE,"5,619",1.111,0.00275
89,LAW PROBABILITY & RISK,284,1.059,0.00043
90,METRIKA,"1,231",1.057,0.00135
91,Journal of Biopharmaceutical Statistics,"1,663",1.051,0.00166
91,STATISTICS,"1,141",1.051,0.00194
91,Statistical Analysis and Data Mining,626,1.051,0.00095
94,JOURNAL OF APPLIED PROBABILITY,"3,700",1.042,0.00277
95,COMBINATORICS PROBABILITY & COMPUTING,"1,216",1.032,0.00335
96,COMPUTATIONAL STATISTICS,"1,603",1,0.0022
97,Brazilian Journal of Probability and Statistics,389,0.988,0.00096
98,Stochastics and Dynamics,705,0.98,0.00126
99,OPEN SYSTEMS & INFORMATION DYNAMICS,461,0.977,0.00047
100,International Journal of Biostatistics,734,0.968,0.00119
101,Stochastics-An International Journal of Probability and Stochastic Processes,910,0.935,0.0015
102,Hacettepe Journal of Mathematics and Statistics,"1,120",0.929,0.00192
103,Sequential Analysis-Design Methods and Applications,417,0.927,0.00043
104,Journal of Official Statistics,"1,326",0.92,0.00121
105,Stat,342,0.917,0.00137
106,COMMUNICATIONS IN STATISTICS-THEORY AND METHODS,"7,018",0.893,0.00718
107,JOURNAL OF THEORETICAL PROBABILITY,"1,188",0.888,0.00285
108,CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE,"1,569",0.875,0.00162
109,STATISTICS & PROBABILITY LETTERS,"5,547",0.87,0.00789
110,Journal of the Korean Statistical Society,500,0.805,0.00106
111,INFINITE DIMENSIONAL ANALYSIS QUANTUM PROBABILITY AND RELATED TOPICS,"1,004",0.793,0.00062
112,ELECTRONIC COMMUNICATIONS IN PROBABILITY,"1,005",0.782,0.00378
113,THEORY OF PROBABILITY AND ITS APPLICATIONS,"1,893",0.773,0.00079
114,ESAIM-Probability and Statistics,400,0.745,0.00065
115,ALEA-Latin American Journal of Probability and Mathematical Statistics,385,0.72,0.00166
115,Mathematical Population Studies,216,0.72,0.00011
117,ADVANCES IN APPLIED PROBABILITY,"2,331",0.69,0.0022
118,STOCHASTIC MODELS,533,0.652,0.0004
119,AUSTRALIAN & NEW ZEALAND JOURNAL OF STATISTICS,809,0.64,0.00063
120,Probability and Mathematical Statistics-Poland,345,0.56,0.00054
121,Markov Processes and Related Fields,328,0.556,0.00051
122,INTERNATIONAL JOURNAL OF GAME THEORY,"1,653",0.462,0.00129
123,Statistical Applications in Genetics and Molecular Biology,"1,718",0.419,0.00088
124,Survey Methodology,908,0.378,0.00044
125,UTILITAS MATHEMATICA,648,0.279,0.00056
