Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,Eigenfactor
AMERICAN STATISTICIAN,0003-1305,1537-2731,"STATISTICS & PROBABILITY - SCIE","9,025",8.710,0.01007,
JOURNAL OF BUSINESS & ECONOMIC STATISTICS,0735-0015,1537-2707,"STATISTICS & PROBABILITY - SCIE","8,115",6.565,0.01338,
Journal of Statistical Software,1548-7660,1548-7660,"STATISTICS & PROBABILITY - SCIE","35,783",6.440,0.06110,
MULTIVARIATE BEHAVIORAL RESEARCH,0027-3171,1532-7906,"STATISTICS & PROBABILITY - SCIE","10,037",5.923,0.00946,
BIOSTATISTICS,1465-4644,1468-4357,"STATISTICS & PROBABILITY - SCIE","4,977",5.899,0.00677,
ECONOMETRICA,0012-9682,1468-0262,"STATISTICS & PROBABILITY - SCIE","45,506",5.844,0.04051,
Annual Review of Statistics and Its Application,2326-8298,2326-831X,"STATISTICS & PROBABILITY - SCIE","884",5.810,0.00506,
JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,0162-1459,1537-274X,"STATISTICS & PROBABILITY - SCIE","48,223",5.033,0.03643,
Econometrics Journal,1368-4221,1368-423X,"STATISTICS & PROBABILITY - SCIE","1,449",4.571,0.00291,
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,1369-7412,1467-9868,"STATISTICS & PROBABILITY - SCIE","31,930",4.488,0.01399,
ANNALS OF STATISTICS,0090-5364,N/A,"STATISTICS & PROBABILITY - SCIE","28,123",4.028,0.02817,
R Journal,2073-4859,N/A,"STATISTICS & PROBABILITY - SCIE","3,262",3.984,0.01067,
JOURNAL OF QUALITY TECHNOLOGY,0022-4065,2575-6230,"STATISTICS & PROBABILITY - SCIE","3,543",3.946,0.00158,
Bayesian Analysis,1931-6690,1936-0975,"STATISTICS & PROBABILITY - SCIE","2,695",3.728,0.00641,
IEEE-ACM Transactions on Computational Biology and Bioinformatics,1545-5963,1557-9964,"STATISTICS & PROBABILITY - SCIE","4,358",3.710,0.00696,
CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,0169-7439,1873-3239,"STATISTICS & PROBABILITY - SCIE","11,735",3.491,0.00696,
BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,0007-1102,2044-8317,"STATISTICS & PROBABILITY - SCIE","2,807",3.380,0.00371,
STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,1436-3240,1436-3259,"STATISTICS & PROBABILITY - SCIE","5,448",3.379,0.00599,
PROBABILISTIC ENGINEERING MECHANICS,0266-8920,1878-4275,"STATISTICS & PROBABILITY - SCIE","3,121",3.350,0.00175,
FUZZY SETS AND SYSTEMS,0165-0114,1872-6801,"STATISTICS & PROBABILITY - SCIE","17,883",3.343,0.00737,
Quality Technology and Quantitative Management,1684-3703,1811-4857,"STATISTICS & PROBABILITY - SCIE","794",3.134,0.00089,
STATISTICAL METHODS IN MEDICAL RESEARCH,0962-2802,1477-0334,"STATISTICS & PROBABILITY - SCIE","6,654",3.021,0.01573,
TECHNOMETRICS,0040-1706,1537-2723,"STATISTICS & PROBABILITY - SCIE","11,079",2.988,0.00392,
STATISTICAL SCIENCE,0883-4237,2168-8745,"STATISTICS & PROBABILITY - SCIE","8,485",2.901,0.00715,
Stata Journal,1536-867X,1536-8734,"STATISTICS & PROBABILITY - SCIE","6,651",2.637,0.00832,
BIOMETRICS,0006-341X,1541-0420,"STATISTICS & PROBABILITY - SCIE","27,464",2.571,0.01369,
STATISTICS AND COMPUTING,0960-3174,1573-1375,"STATISTICS & PROBABILITY - SCIE","5,913",2.559,0.01018,
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY,0964-1998,1467-985X,"STATISTICS & PROBABILITY - SCIE","4,232",2.483,0.00493,
JOURNAL OF CHEMOMETRICS,0886-9383,1099-128X,"STATISTICS & PROBABILITY - SCIE","4,639",2.467,0.00186,
FINANCE AND STOCHASTICS,0949-2984,1432-1122,"STATISTICS & PROBABILITY - SCIE","1,655",2.467,0.00285,
ANNALS OF PROBABILITY,0091-1798,N/A,"STATISTICS & PROBABILITY - SCIE","7,305",2.452,0.01403,
BIOMETRIKA,0006-3444,1464-3510,"STATISTICS & PROBABILITY - SCIE","28,144",2.445,0.01157,
PROBABILITY THEORY AND RELATED FIELDS,0178-8051,1432-2064,"STATISTICS & PROBABILITY - SCIE","4,638",2.391,0.01207,
STATISTICS IN MEDICINE,0277-6715,1097-0258,"STATISTICS & PROBABILITY - SCIE","33,374",2.373,0.03120,
TEST,1133-0686,1863-8260,"STATISTICS & PROBABILITY - SCIE","1,430",2.345,0.00276,
JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS,1061-8600,1537-2715,"STATISTICS & PROBABILITY - SCIE","5,900",2.302,0.01076,
STATISTICAL PAPERS,0932-5026,1613-9798,"STATISTICS & PROBABILITY - SCIE","1,925",2.234,0.00245,
INTERNATIONAL STATISTICAL REVIEW,0306-7734,1751-5823,"STATISTICS & PROBABILITY - SCIE","2,413",2.217,0.00251,
BIOMETRICAL JOURNAL,0323-3847,1521-4036,"STATISTICS & PROBABILITY - SCIE","4,168",2.207,0.00439,
Advances in Data Analysis and Classification,1862-5347,1862-5355,"STATISTICS & PROBABILITY - SCIE","759",2.134,0.00156,
Quality Engineering,0898-2112,1532-4222,"STATISTICS & PROBABILITY - SCIE","1,349",2.128,0.00136,
ECONOMETRIC THEORY,0266-4666,1469-4360,"STATISTICS & PROBABILITY - SCIE","3,424",2.099,0.00437,
Annals of Applied Statistics,1932-6157,1941-7330,"STATISTICS & PROBABILITY - SCIE","4,580",2.083,0.01093,
Spatial Statistics,2211-6753,N/A,"STATISTICS & PROBABILITY - SCIE","923",2.060,0.00244,
STATISTICAL MODELLING,1471-082X,1477-0342,"STATISTICS & PROBABILITY - SCIE","954",2.039,0.00205,
Journal of Survey Statistics and Methodology,2325-0984,2325-0992,"STATISTICS & PROBABILITY - SCIE","245",1.957,0.00112,
INSURANCE MATHEMATICS & ECONOMICS,0167-6687,1873-5959,"STATISTICS & PROBABILITY - SCIE","4,863",1.933,0.00457,
ENVIRONMETRICS,1180-4009,1099-095X,"STATISTICS & PROBABILITY - SCIE","2,311",1.900,0.00167,
PHARMACEUTICAL STATISTICS,1539-1604,1539-1612,"STATISTICS & PROBABILITY - SCIE","1,840",1.894,0.00235,
ANNALS OF APPLIED PROBABILITY,1050-5164,N/A,"STATISTICS & PROBABILITY - SCIE","4,008",1.872,0.00965,
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS,0035-9254,1467-9876,"STATISTICS & PROBABILITY - SCIE","5,341",1.864,0.00419,
ANNALES DE L INSTITUT HENRI POINCARE-PROBABILITES ET STATISTIQUES,0246-0203,N/A,"STATISTICS & PROBABILITY - SCIE","1,879",1.851,0.00696,
OXFORD BULLETIN OF ECONOMICS AND STATISTICS,0305-9049,1468-0084,"STATISTICS & PROBABILITY - SCIE","4,871",1.791,0.00304,
Scandinavian Actuarial Journal,0346-1238,1651-2030,"STATISTICS & PROBABILITY - SCIE","1,082",1.741,0.00155,
Econometric Reviews,0747-4938,1532-4168,"STATISTICS & PROBABILITY - SCIE","2,188",1.718,0.00323,
COMPUTATIONAL STATISTICS & DATA ANALYSIS,0167-9473,1872-7352,"STATISTICS & PROBABILITY - SCIE","11,144",1.681,0.00939,
Stochastics and Partial Differential Equations-Analysis and Computations,2194-0401,2194-041X,"STATISTICS & PROBABILITY - SCIE","368",1.641,0.00155,
BERNOULLI,1350-7265,1573-9759,"STATISTICS & PROBABILITY - SCIE","3,186",1.595,0.00942,
LIFETIME DATA ANALYSIS,1380-7870,1572-9249,"STATISTICS & PROBABILITY - SCIE","1,182",1.588,0.00205,
STOCHASTIC ANALYSIS AND APPLICATIONS,0736-2994,1532-9356,"STATISTICS & PROBABILITY - SCIE","1,240",1.530,0.00135,
JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,1085-7117,1537-2693,"STATISTICS & PROBABILITY - SCIE","1,330",1.524,0.00127,
Astin Bulletin,0515-0361,1783-1350,"STATISTICS & PROBABILITY - SCIE","1,167",1.479,0.00110,
JOURNAL OF COMPUTATIONAL BIOLOGY,1066-5277,1557-8666,"STATISTICS & PROBABILITY - SCIE","5,823",1.479,0.00299,
JOURNAL OF MULTIVARIATE ANALYSIS,0047-259X,N/A,"STATISTICS & PROBABILITY - SCIE","6,401",1.473,0.00836,
STOCHASTIC PROCESSES AND THEIR APPLICATIONS,0304-4149,1879-209X,"STATISTICS & PROBABILITY - SCIE","6,387",1.467,0.01006,
Statistics in Biopharmaceutical Research,1946-6315,1946-6315,"STATISTICS & PROBABILITY - SCIE","609",1.452,0.00132,
JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,0094-9655,1563-5163,"STATISTICS & PROBABILITY - SCIE","4,004",1.424,0.00579,
Extremes,1386-1999,1572-915X,"STATISTICS & PROBABILITY - SCIE","763",1.407,0.00161,
JOURNAL OF APPLIED STATISTICS,0266-4763,1360-0532,"STATISTICS & PROBABILITY - SCIE","4,015",1.404,0.00433,
SCANDINAVIAN JOURNAL OF STATISTICS,0303-6898,1467-9469,"STATISTICS & PROBABILITY - SCIE","4,366",1.396,0.00355,
JOURNAL OF TIME SERIES ANALYSIS,0143-9782,1467-9892,"STATISTICS & PROBABILITY - SCIE","2,530",1.366,0.00267,
APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY,1524-1904,1526-4025,"STATISTICS & PROBABILITY - SCIE","1,359",1.338,0.00190,
Statistical Methods and Applications,1618-2510,1613-981X,"STATISTICS & PROBABILITY - SCIE","603",1.314,0.00128,
PROBABILITY IN THE ENGINEERING AND INFORMATIONAL SCIENCES,0269-9648,1469-8951,"STATISTICS & PROBABILITY - SCIE","668",1.269,0.00073,
ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS,0020-3157,1572-9052,"STATISTICS & PROBABILITY - SCIE","2,354",1.267,0.00174,
