Journal name	ISSN	eISSN	Category	Total Citations	2020 JIF	JIF Quartile	2020 JCI	% of OA Gold
AMERICAN STATISTICIAN	0003-13051537-2731	"STATISTICS & PROBABILITY - SCIE"	"9025"	8.710	"Q1"	2.2922.12%	
JOURNAL OF BUSINESS & ECONOMIC STATISTICS	0735-00151537-2707	"STATISTICS & PROBABILITY - SCIE"	"8115"	6.565	"Q1"	2.794.53%	
Journal of Statistical Software	1548-76601548-7660	"STATISTICS & PROBABILITY - SCIE"	"35783"	6.440	"Q1"	4.76100.00%	
MULTIVARIATE BEHAVIORAL RESEARCH	0027-31711532-7906	"STATISTICS & PROBABILITY - SCIE"	"10037"	5.923	"Q1"	1.5010.85%	
BIOSTATISTICS	1465-46441468-4357	"STATISTICS & PROBABILITY - SCIE"	"4977"	5.899	"Q1"	1.8110.14%	
ECONOMETRICA	0012-96821468-0262	"STATISTICS & PROBABILITY - SCIE"	"45506"	5.844	"Q1"	2.200.00%	
Annual Review of Statistics and Its Application	2326-82982326-831X	"STATISTICS & PROBABILITY - SCIE"	"884"	5.810	"Q1"	n/a	0.00%	
JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION	0162-14591537-274X	"STATISTICS & PROBABILITY - SCIE"	"48223"	5.033	"Q1"	1.924.03%	
Econometrics Journal	1368-42211368-423X	"STATISTICS & PROBABILITY - SCIE"	"1449"	4.571	"Q1"	1.168.47%	
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY	1369-74121467-9868	"STATISTICS & PROBABILITY - SCIE"	"31930"	4.488	"Q1"	2.0413.24%	
ANNALS OF STATISTICS	0090-5364	N/A	"STATISTICS & PROBABILITY - SCIE"	"28123"	4.028	"Q1"	1.650.00%	
R Journal	2073-4859	N/A	"STATISTICS & PROBABILITY - SCIE"	"3262"	3.984	"Q1"	1.4214.86%	
JOURNAL OF QUALITY TECHNOLOGY	0022-40652575-6230	"STATISTICS & PROBABILITY - SCIE"	"3543"	3.946	"Q1"	0.820.93%	
Bayesian Analysis	1931-66901936-0975	"STATISTICS & PROBABILITY - SCIE"	"2695"	3.728	"Q1"	1.1672.06%	
IEEE-ACM Transactions on Computational Biology and Bioinformatics	1545-59631557-9964	"STATISTICS & PROBABILITY - SCIE"	"4358"	3.710	"Q1"	1.350.17%	
CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS	0169-74391873-3239	"STATISTICS & PROBABILITY - SCIE"	"11735"	3.491	"Q1"	0.963.77%	
BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY	0007-11022044-8317	"STATISTICS & PROBABILITY - SCIE"	"2807"	3.380	"Q1"	1.099.43%	
STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT	1436-32401436-3259	"STATISTICS & PROBABILITY - SCIE"	"5448"	3.379	"Q1"	0.889.04%	
PROBABILISTIC ENGINEERING MECHANICS	0266-89201878-4275	"STATISTICS & PROBABILITY - SCIE"	"3121"	3.350	"Q1"	1.031.79%	
FUZZY SETS AND SYSTEMS	0165-01141872-6801	"STATISTICS & PROBABILITY - SCIE"	"17883"	3.343	"Q1"	1.861.18%	
Quality Technology and Quantitative Management	1684-37031811-4857	"STATISTICS & PROBABILITY - SCIE"	"794"	3.134	"Q1"	0.930.00%	
STATISTICAL METHODS IN MEDICAL RESEARCH	0962-28021477-0334	"STATISTICS & PROBABILITY - SCIE"	"6654"	3.021	"Q1"	1.0811.99%	
TECHNOMETRICS	0040-17061537-2723	"STATISTICS & PROBABILITY - SCIE"	"11079"	2.988	"Q1"	1.142.00%	
STATISTICAL SCIENCE	0883-42372168-8745	"STATISTICS & PROBABILITY - SCIE"	"8485"	2.901	"Q1"	1.610.00%	
Stata Journal	1536-867X	1536-8734	"STATISTICS & PROBABILITY - SCIE"	"6651"	2.637	"Q1"	1.225.30%	
BIOMETRICS	0006-341X	1541-0420	"STATISTICS & PROBABILITY - SCIE"	"27464"	2.571	"Q1"	0.716.45%	
STATISTICS AND COMPUTING	0960-31741573-1375	"STATISTICS & PROBABILITY - SCIE"	"5913"	2.559	"Q1"	1.3530.28%	
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY	0964-19981467-985X	"STATISTICS & PROBABILITY - SCIE"	"4232"	2.483	"Q1"	1.0827.83%	
JOURNAL OF CHEMOMETRICS	0886-93831099-128X	"STATISTICS & PROBABILITY - SCIE"	"4639"	2.467	"Q1"	0.607.21%	
FINANCE AND STOCHASTICS	0949-29841432-1122	"STATISTICS & PROBABILITY - SCIE"	"1655"	2.467	"Q1"	1.0332.26%	
ANNALS OF PROBABILITY	0091-1798	N/A	"STATISTICS & PROBABILITY - SCIE"	"7305"	2.452	"Q1"	1.110.00%	
BIOMETRIKA	0006-34441464-3510	"STATISTICS & PROBABILITY - SCIE"	"28144"	2.445	"Q2"	0.786.45%	
PROBABILITY THEORY AND RELATED FIELDS	0178-80511432-2064	"STATISTICS & PROBABILITY - SCIE"	"4638"	2.391	"Q2"	1.1423.41%	
STATISTICS IN MEDICINE	0277-67151097-0258	"STATISTICS & PROBABILITY - SCIE"	"33374"	2.373	"Q2"	0.8214.58%	
TEST	1133-06861863-8260	"STATISTICS & PROBABILITY - SCIE"	"1430"	2.345	"Q2"	0.799.68%	
JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS	1061-86001537-2715	"STATISTICS & PROBABILITY - SCIE"	"5900"	2.302	"Q2"	1.084.98%	
STATISTICAL PAPERS	0932-50261613-9798	"STATISTICS & PROBABILITY - SCIE"	"1925"	2.234	"Q2"	0.957.56%	
INTERNATIONAL STATISTICAL REVIEW	0306-77341751-5823	"STATISTICS & PROBABILITY - SCIE"	"2413"	2.217	"Q2"	1.1311.29%	
BIOMETRICAL JOURNAL	0323-38471521-4036	"STATISTICS & PROBABILITY - SCIE"	"4168"	2.207	"Q2"	0.5918.10%	
Advances in Data Analysis and Classification	1862-53471862-5355	"STATISTICS & PROBABILITY - SCIE"	"759"	2.134	"Q2"	0.9317.81%	
Quality Engineering	0898-21121532-4222	"STATISTICS & PROBABILITY - SCIE"	"1349"	2.128	"Q2"	0.584.12%	
ECONOMETRIC THEORY	0266-46661469-4360	"STATISTICS & PROBABILITY - SCIE"	"3424"	2.099	"Q2"	0.712.86%	
Annals of Applied Statistics	1932-61571941-7330	"STATISTICS & PROBABILITY - SCIE"	"4580"	2.083	"Q2"	0.860.00%	
Spatial Statistics	2211-6753	N/A	"STATISTICS & PROBABILITY - SCIE"	"923"	2.060	"Q2"	0.674.38%	
STATISTICAL MODELLING	1471-082X	1477-0342	"STATISTICS & PROBABILITY - SCIE"	"954"	2.039	"Q2"	0.856.67%	
Journal of Survey Statistics and Methodology	2325-09842325-0992	"STATISTICS & PROBABILITY - SCIE"	"245"	1.957	"Q2"	0.8512.50%	
INSURANCE MATHEMATICS & ECONOMICS	0167-66871873-5959	"STATISTICS & PROBABILITY - SCIE"	"4863"	1.933	"Q2"	0.775.37%	
ENVIRONMETRICS	1180-40091099-095X	"STATISTICS & PROBABILITY - SCIE"	"2311"	1.900	"Q2"	0.585.81%	
PHARMACEUTICAL STATISTICS	1539-16041539-1612	"STATISTICS & PROBABILITY - SCIE"	"1840"	1.894	"Q2"	0.6810.96%	
ANNALS OF APPLIED PROBABILITY	1050-5164	N/A	"STATISTICS & PROBABILITY - SCIE"	"4008"	1.872	"Q2"	0.850.00%	
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS	0035-92541467-9876	"STATISTICS & PROBABILITY - SCIE"	"5341"	1.864	"Q2"	0.9020.74%	
ANNALES DE L INSTITUT HENRI POINCARE-PROBABILITES ET STATISTIQUES	0246-0203	N/A	"STATISTICS & PROBABILITY - SCIE"	"1879"	1.851	"Q2"	0.740.00%	
OXFORD BULLETIN OF ECONOMICS AND STATISTICS	0305-90491468-0084	"STATISTICS & PROBABILITY - SCIE"	"4871"	1.791	"Q2"	0.6913.07%	
Scandinavian Actuarial Journal	0346-12381651-2030	"STATISTICS & PROBABILITY - SCIE"	"1082"	1.741	"Q2"	0.774.05%	
Econometric Reviews	0747-49381532-4168	"STATISTICS & PROBABILITY - SCIE"	"2188"	1.718	"Q2"	0.678.47%	
COMPUTATIONAL STATISTICS & DATA ANALYSIS	0167-94731872-7352	"STATISTICS & PROBABILITY - SCIE"	"11144"	1.681	"Q2"	0.574.19%	
Stochastics and Partial Differential Equations-Analysis and Computations	2194-04012194-041X	"STATISTICS & PROBABILITY - SCIE"	"368"	1.641	"Q2"	0.7226.83%	
BERNOULLI	1350-72651573-9759	"STATISTICS & PROBABILITY - SCIE"	"3186"	1.595	"Q2"	0.790.00%	
LIFETIME DATA ANALYSIS	1380-78701572-9249	"STATISTICS & PROBABILITY - SCIE"	"1182"	1.588	"Q2"	0.597.14%	
STOCHASTIC ANALYSIS AND APPLICATIONS	0736-29941532-9356	"STATISTICS & PROBABILITY - SCIE"	"1240"	1.530	"Q2"	0.643.29%	
JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS	1085-71171537-2693	"STATISTICS & PROBABILITY - SCIE"	"1330"	1.524	"Q2"	0.6419.23%	
Astin Bulletin	0515-03611783-1350	"STATISTICS & PROBABILITY - SCIE"	"1167"	1.479	"Q2"	0.595.56%	
JOURNAL OF COMPUTATIONAL BIOLOGY	1066-52771557-8666	"STATISTICS & PROBABILITY - SCIE"	"5823"	1.479	"Q2"	0.426.76%	
JOURNAL OF MULTIVARIATE ANALYSIS	0047-259X	N/A	"STATISTICS & PROBABILITY - SCIE"	"6401"	1.473	"Q3"	0.681.84%	
STOCHASTIC PROCESSES AND THEIR APPLICATIONS	0304-41491879-209X	"STATISTICS & PROBABILITY - SCIE"	"6387"	1.467	"Q3"	0.702.56%	
Statistics in Biopharmaceutical Research	1946-63151946-6315	"STATISTICS & PROBABILITY - SCIE"	"609"	1.452	"Q3"	0.433.30%	
JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION	0094-96551563-5163	"STATISTICS & PROBABILITY - SCIE"	"4004"	1.424	"Q3"	0.420.98%	
Extremes	1386-19991572-915X	"STATISTICS & PROBABILITY - SCIE"	"763"	1.407	"Q3"	0.6025.51%	
JOURNAL OF APPLIED STATISTICS	0266-47631360-0532	"STATISTICS & PROBABILITY - SCIE"	"4015"	1.404	"Q3"	0.581.67%	
SCANDINAVIAN JOURNAL OF STATISTICS	0303-68981467-9469	"STATISTICS & PROBABILITY - SCIE"	"4366"	1.396	"Q3"	0.5713.93%	
JOURNAL OF TIME SERIES ANALYSIS	0143-97821467-9892	"STATISTICS & PROBABILITY - SCIE"	"2530"	1.366	"Q3"	0.517.69%	
APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY	1524-19041526-4025	"STATISTICS & PROBABILITY - SCIE"	"1359"	1.338	"Q3"	0.502.36%	
Statistical Methods and Applications	1618-25101613-981X	"STATISTICS & PROBABILITY - SCIE"	"603"	1.314	"Q3"	0.498.61%	
PROBABILITY IN THE ENGINEERING AND INFORMATIONAL SCIENCES	0269-96481469-8951	"STATISTICS & PROBABILITY - SCIE"	"668"	1.269	"Q3"	0.353.03%	
ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS	0020-31571572-9052	"STATISTICS & PROBABILITY - SCIE"	"2354"	1.267	"Q3"	0.530.00%	
STATISTICA SINICA	1017-04051996-8507	"STATISTICS & PROBABILITY - SCIE"	"4197"	1.261	"Q3"	0.510.00%	
REVSTAT-Statistical Journal	1645-6726	N/A	"STATISTICS & PROBABILITY - SCIE"	"385"	1.250	"Q3"	0.370.00%	
JOURNAL OF NONPARAMETRIC STATISTICS	1048-52521029-0311	"STATISTICS & PROBABILITY - SCIE"	"1149"	1.231	"Q3"	0.450.76%	
STATISTICA NEERLANDICA	0039-04021467-9574	"STATISTICS & PROBABILITY - SCIE"	"955"	1.190	"Q3"	0.4723.71%	
SORT-Statistics and Operations Research Transactions	1696-22812013-8830	"STATISTICS & PROBABILITY - SCIE"	"259"	1.185	"Q3"	0.350.00%	
