Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,2022 JCI,5 Year JIF,JIF Rank,JCI Rank
"Foundations and Trends in Computer Graphics and Vision","FOUND TRENDS COMPUT","1572-2740","1572-2759","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","36.5","3.35","16.8"," N/A "," 4/163 "
"Foundations and Trends in Machine Learning","FOUND TRENDS MACH LE","1935-8237","1935-8245","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","32.8","8.76","56.7"," N/A "," 1/192 "
"Nature Machine Intelligence","NAT MACH INTELL","N/A","2522-5839","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","23.8","3.97","27.2"," 1/145 "," 4/192 "
"Nature Machine Intelligence","NAT MACH INTELL","N/A","2522-5839","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","23.8","3.97","27.2"," 1/110 "," 1/163 "
"IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE","IEEE T PATTERN ANAL","0162-8828","1939-3539","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","23.6","6.76","26.7"," 2/145 "," 3/192 "
"INTERNATIONAL JOURNAL OF COMPUTER VISION","INT J COMPUT VISION","0920-5691","1573-1405","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","19.5","2.92","16"," 3/145 "," 9/192 "
"Information Fusion","INFORM FUSION","1566-2535","1872-6305","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","18.6","3.69","17.4"," 4/145 "," 5/192 "
"Journal of Industrial Information Integration","J IND INF INTEGR","2467-964X","2452-414X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","15.7","2.05","14"," 2/110 "," 11/163 "
"ARTIFICIAL INTELLIGENCE","ARTIF INTELL","0004-3702","1872-7921","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","14.4","0.87","14.1"," 5/145 "," 61/192 "
"IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION","IEEE T EVOLUT COMPUT","1089-778X","1941-0026","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","14.3","3.29","17.4"," 6/145 "," 7/192 "
"Big Data Mining and Analytics","BIG DATA MIN ANAL","N/A","2096-0654","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","13.6","2.27","9.9"," N/A "," 14/192 "
"IEEE Transactions on Industrial Informatics","IEEE T IND INFORM","1551-3203","1941-0050","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","12.3","2.51","11.9"," 3/110 "," 7/163 "
"COMPUTERS & EDUCATION","COMPUT EDUC","0360-1315","1873-782X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","12","3.75","12.6"," 4/110 "," 2/163 "
"ARTIFICIAL INTELLIGENCE REVIEW","ARTIF INTELL REV","0269-2821","1573-7462","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","12","1.52","11.6"," 7/145 "," 28/192 "
"IEEE TRANSACTIONS ON FUZZY SYSTEMS","IEEE T FUZZY SYST","1063-6706","1941-0034","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","11.9","3.1","11.3"," 8/145 "," 8/192 "
"IEEE Transactions on Cybernetics","IEEE T CYBERNETICS","2168-2267","2168-2275","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","11.8","2.38","12.2"," 9/145 "," 13/192 "
"Nature Computational Science","NAT COMPUT SCI","N/A","2662-8457","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","11.3","2.19","11.3"," N/A "," 9/163 "
"IEEE Transactions on Affective Computing","IEEE T AFFECT COMPUT","1949-3045","1949-3045","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","11.2","1.88","11.9"," 10/145 "," 18/192 "
"Transactions of the Association for Computational Linguistics","T ASSOC COMPUT LING","N/A","2307-387X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","10.9","6.95","N/A"," 11/145 "," 2/192 "
"MEDICAL IMAGE ANALYSIS","MED IMAGE ANAL","1361-8415","1361-8423","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","10.9","2.63","13.7"," 11/145 "," 11/192 "
"MEDICAL IMAGE ANALYSIS","MED IMAGE ANAL","1361-8415","1361-8423","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","10.9","2.63","13.7"," 5/110 "," 6/163 "
"IEEE TRANSACTIONS ON MEDICAL IMAGING","IEEE T MED IMAGING","0278-0062","1558-254X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","10.6","2.36","11.7"," 6/110 "," 8/163 "
"IEEE TRANSACTIONS ON IMAGE PROCESSING","IEEE T IMAGE PROCESS","1057-7149","1941-0042","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","10.6","2.01","13.3"," 13/145 "," 16/192 "
"IEEE Transactions on Neural Networks and Learning Systems","IEEE T NEUR NET LEAR","2162-237X","2162-2388","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","10.4","2.64","11.2"," 14/145 "," 10/192 "
"ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING","ROBOT CIM-INT MANUF","0736-5845","1879-2537","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","10.4","2.06","8.7"," 7/110 "," 10/163 "
"Swarm and Evolutionary Computation","SWARM EVOL COMPUT","2210-6502","2210-6510","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","10","2.15","9.8"," 15/145 "," 15/192 "
"COMPUTERS IN INDUSTRY","COMPUT IND","0166-3615","1872-6194","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","10","1.98","10.4"," 8/110 "," 13/163 "
"Radiology-Artificial Intelligence","RADIOL-ARTIF INTELL","2638-6100","2638-6100","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","9.8","1.67","10.4"," N/A "," 23/192 "
"ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING","ARCH COMPUT METHOD E","1134-3060","1886-1784","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","9.7","1.08","9.3"," 9/110 "," 46/163 "
"COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING","COMPUT-AIDED CIV INF","1093-9687","1467-8667","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","9.6","1.86","11.5"," 10/110 "," 15/163 "
"COMPUTATIONAL LINGUISTICS","COMPUT LINGUIST","0891-2017","1530-9312","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","9.3","3.48","6.2"," 16/145 "," 6/192 "
"COMPUTATIONAL LINGUISTICS","COMPUT LINGUIST","0891-2017","1530-9312","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","9.3","3.48","6.2"," 11/110 "," 3/163 "
"IEEE Computational Intelligence Magazine","IEEE COMPUT INTELL M","1556-603X","1556-6048","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","9","1.58","15.2"," 17/145 "," 25/192 "
"IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING","IEEE T KNOWL DATA EN","1041-4347","1558-2191","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","8.9","1.82","8.9"," 18/145 "," 19/192 "
"ADVANCED ENGINEERING INFORMATICS","ADV ENG INFORM","1474-0346","1873-5320","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","8.8","1.97","8.7"," 19/145 "," 17/192 "
"KNOWLEDGE-BASED SYSTEMS","KNOWL-BASED SYST","0950-7051","1872-7409","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","8.8","1.5","8.6"," 19/145 "," 29/192 "
"ENGINEERING WITH COMPUTERS","ENG COMPUT-GERMANY","0177-0667","1435-5663","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","8.7","1.7","8.1"," 12/110 "," 19/163 "
"JOURNAL OF NETWORK AND COMPUTER APPLICATIONS","J NETW COMPUT APPL","1084-8045","1095-8592","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","8.7","1.6","7.3"," 12/110 "," 24/163 "
"APPLIED SOFT COMPUTING","APPL SOFT COMPUT","1568-4946","1872-9681","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","8.7","1.56","7.9"," 21/145 "," 27/192 "
"APPLIED SOFT COMPUTING","APPL SOFT COMPUT","1568-4946","1872-9681","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","8.7","1.56","7.9"," 12/110 "," 26/163 "
"Journal of Cheminformatics","J CHEMINFORMATICS","1758-2946","1758-2946","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","8.6","1.51","9"," 15/110 "," 27/163 "
"EXPERT SYSTEMS WITH APPLICATIONS","EXPERT SYST APPL","0957-4174","1873-6793","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","8.5","1.7","8.3"," 22/145 "," 22/192 "
"COMPUTERS AND ELECTRONICS IN AGRICULTURE","COMPUT ELECTRON AGR","0168-1699","1872-7107","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","8.3","1.94","8.3"," 16/110 "," 14/163 "
"JOURNAL OF INTELLIGENT MANUFACTURING","J INTELL MANUF","0956-5515","1572-8145","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","8.3","1.32","6.9"," 23/145 "," 35/192 "
"IEEE Transactions on Intelligent Vehicles","IEEE T INTELL VEHICL","2379-8858","2379-8904","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","8.2","1.39","8.4"," 24/145 "," 32/192 "
"ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE","ENG APPL ARTIF INTEL","0952-1976","1873-6769","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","8","1.75","7.4"," 25/145 "," 21/192 "
"PATTERN RECOGNITION","PATTERN RECOGN","0031-3203","1873-5142","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","8","1.66","8.4"," 25/145 "," 24/192 "
"International Journal of Neural Systems","INT J NEURAL SYST","0129-0657","1793-6462","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","8","1.18","6.3"," 25/145 "," 40/192 "
"Computers & Industrial Engineering","COMPUT IND ENG","0360-8352","1879-0550","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","7.9","1.31","7.3"," 17/110 "," 36/163 "
"NEURAL NETWORKS","NEURAL NETWORKS","0893-6080","1879-2782","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","7.8","1.58","8.4"," 28/145 "," 25/192 "
