Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,2022 JCI,5 Year JIF,JIF Rank,JCI Rank
"Nature Reviews Cardiology","NAT REV CARDIOL","1759-5002","1759-5010","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","49.6","6.64","45.7"," 1/142 "," 3/210 "
"EUROPEAN HEART JOURNAL","EUR HEART J","0195-668X","1522-9645","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","39.3","6.84","31.4"," 2/142 "," 2/210 "
"CIRCULATION","CIRCULATION","0009-7322","1524-4539","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","37.8","7.55","33.2"," 3/142 "," 1/210 "
"CIRCULATION","CIRCULATION","0009-7322","1524-4539","PERIPHERAL VASCULAR DISEASE - SCIE","37.8","7.55","33.2"," 1/67 "," 1/93 "
"JAMA Cardiology","JAMA CARDIOL","2380-6583","2380-6591","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","24","5.81","19.1"," 4/142 "," 4/210 "
"JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY","J AM COLL CARDIOL","0735-1097","1558-3597","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","24","4.85","25.2"," 4/142 "," 5/210 "
"CIRCULATION RESEARCH","CIRC RES","0009-7330","1524-4571","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","20.1","3.93","22.4"," 6/142 "," 6/210 "
"CIRCULATION RESEARCH","CIRC RES","0009-7330","1524-4571","PERIPHERAL VASCULAR DISEASE - SCIE","20.1","3.93","22.4"," 2/67 "," 2/93 "
"EUROPEAN JOURNAL OF HEART FAILURE","EUR J HEART FAIL","1388-9842","1879-0844","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","18.2","3.85","16.2"," 7/142 "," 7/210 "
"JACC-Cardiovascular Imaging","JACC-CARDIOVASC IMAG","1936-878X","1876-7591","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","14","3.26","14.6"," 8/142 "," 8/210 "
"JACC-Heart Failure","JACC-HEART FAIL","2213-1779","2213-1787","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","13","2.76","13.6"," 9/142 "," 9/210 "
"CLINICAL AND EXPERIMENTAL HYPERTENSION","CLIN EXP HYPERTENS","1064-1963","1525-6006","PERIPHERAL VASCULAR DISEASE - SCIE","12.3","0.61","6"," 3/67 "," 40/93 "
"JACC-Cardiovascular Interventions","JACC-CARDIOVASC INTE","1936-8798","1876-7605","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","11.3","2.44","10.6"," 10/142 "," 11/210 "
"JACC: CardioOncology","JACC-CARDIOONCOL","2666-0873","2666-0873","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","11.1","1.63","11"," 11/142 "," 23/210 "
"CARDIOVASCULAR RESEARCH","CARDIOVASC RES","0008-6363","1755-3245","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","10.8","2.58","10.6"," 12/142 "," 10/210 "
"JOURNAL OF THROMBOSIS AND HAEMOSTASIS","J THROMB HAEMOST","1538-7933","1538-7836","PERIPHERAL VASCULAR DISEASE - SCIE","10.4","2.36","7.7"," 4/67 "," 3/93 "
"ANGIOGENESIS","ANGIOGENESIS","0969-6970","1573-7209","PERIPHERAL VASCULAR DISEASE - SCIE","9.8","1.87","9.2"," 5/67 "," 5/93 "
"JACC-Basic to Translational Science","JACC-BASIC TRANSL SC","2452-302X","2452-302X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","9.7","2.05","N/A"," 13/142 "," 14/210 "
"Circulation-Heart Failure","CIRC-HEART FAIL","1941-3289","1941-3297","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","9.7","1.9","10"," 13/142 "," 17/210 "
"BASIC RESEARCH IN CARDIOLOGY","BASIC RES CARDIOL","0300-8428","1435-1803","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","9.5","2.27","8.5"," 15/142 "," 13/210 "
"TRENDS IN CARDIOVASCULAR MEDICINE","TRENDS CARDIOVAS MED","1050-1738","1873-2615","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","9.3","2.05","7.3"," 16/142 "," 14/210 "
"Cardiovascular Diabetology","CARDIOVASC DIABETOL","N/A","1475-2840","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","9.3","2.02","9.6"," 16/142 "," 16/210 "
"PROGRESS IN CARDIOVASCULAR DISEASES","PROG CARDIOVASC DIS","0033-0620","1873-1740","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","9.1","0.98","8.2"," 18/142 "," 51/210 "
"JOURNAL OF HEART AND LUNG TRANSPLANTATION","J HEART LUNG TRANSPL","1053-2498","1557-3117","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","8.9","2.32","9.3"," 19/142 "," 12/210 "
"ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY","ARTERIOSCL THROM VAS","1079-5642","1524-4636","PERIPHERAL VASCULAR DISEASE - SCIE","8.7","1.78","8.7"," 6/67 "," 7/93 "
"Circulation-Arrhythmia and Electrophysiology","CIRC-ARRHYTHMIA ELEC","1941-3149","1941-3084","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","8.4","1.66","7.4"," 20/142 "," 22/210 "
"STROKE","STROKE","0039-2499","1524-4628","PERIPHERAL VASCULAR DISEASE - SCIE","8.3","1.98","8.8"," 7/67 "," 4/93 "
"HYPERTENSION","HYPERTENSION","0194-911X","1524-4563","PERIPHERAL VASCULAR DISEASE - SCIE","8.3","1.64","9.1"," 7/67 "," 8/93 "
"European Journal of Preventive Cardiology","EUR J PREV CARDIOL","2047-4873","2047-4881","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","8.3","1.59","7.1"," 21/142 "," 26/210 "
"Journal of Stroke","J STROKE","2287-6391","2287-6405","PERIPHERAL VASCULAR DISEASE - SCIE","8.2","1.24","9"," 9/67 "," 14/93 "
"Circulation-Cardiovascular Imaging","CIRC-CARDIOVASC IMAG","1941-9651","1942-0080","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","7.5","1.6","8.6"," 22/142 "," 25/210 "
"THROMBOSIS RESEARCH","THROMB RES","0049-3848","1879-2472","PERIPHERAL VASCULAR DISEASE - SCIE","7.5","1.37","5.1"," 10/67 "," 11/93 "
"Circulation-Genomic and Precision Medicine","CIRC-GENOM PRECIS ME","2574-8300","2574-8300","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","7.4","1.49","7.4"," 23/142 "," 28/210 "
"European Heart Journal-Cardiovascular Pharmacotherapy","EUR HEART J-CARD PHA","2055-6837","2055-6845","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","7.1","1.72","6.5"," 24/142 "," 20/210 "
"JACC-Clinical Electrophysiology","JACC-CLIN ELECTROPHY","2405-500X","2405-5018","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","7","1.5","N/A"," 25/142 "," 27/210 "
"Circulation-Cardiovascular Quality and Outcomes","CIRC-CARDIOVASC QUAL","1941-7705","1941-7713","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6.9","1.34","8"," 26/142 "," 37/210 "
"International Journal of Stroke","INT J STROKE","1747-4930","1747-4949","PERIPHERAL VASCULAR DISEASE - SCIE","6.7","1.41","6.5"," 11/67 "," 10/93 "
"THROMBOSIS AND HAEMOSTASIS","THROMB HAEMOSTASIS","0340-6245","2567-689X","PERIPHERAL VASCULAR DISEASE - SCIE","6.7","1.1","5.2"," 11/67 "," 17/93 "
"JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY","J AM SOC ECHOCARDIOG","0894-7317","N/A","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6.5","1.42","6.7"," 27/142 "," 31/210 "
"JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE","J CARDIOVASC MAGN R","1097-6647","1532-429X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6.4","1.44","6.6"," 28/142 "," 29/210 "
"European Heart Journal-Cardiovascular Imaging","EUR HEART J-CARD IMG","2047-2404","2047-2412","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6.2","1.76","6.6"," 29/142 "," 19/210 "
"EuroIntervention","EUROINTERVENTION","1774-024X","1969-6213","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6.2","1.67","4.9"," 29/142 "," 21/210 "
"CANADIAN JOURNAL OF CARDIOLOGY","CAN J CARDIOL","0828-282X","1916-7075","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6.2","1.23","5.6"," 29/142 "," 41/210 "
"European Stroke Journal","EUR STROKE J","2396-9873","2396-9881","PERIPHERAL VASCULAR DISEASE - SCIE","6.1","1.56","6.4"," 13/67 "," 9/93 "
