Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,2022 JCI,5 Year JIF,JIF Rank,JCI Rank
"Lancet Diabetes & Endocrinology","LANCET DIABETES ENDO","2213-8587","2213-8595","ENDOCRINOLOGY & METABOLISM - SCIE","44.5","7.54","38.8"," 1/145 "," 1/182 ",
"Nature Reviews Endocrinology","NAT REV ENDOCRINOL","1759-5029","1759-5037","ENDOCRINOLOGY & METABOLISM - SCIE","40.5","5.09","50.2"," 2/145 "," 3/182 ",
"Cell Metabolism","CELL METAB","1550-4131","1932-7420","ENDOCRINOLOGY & METABOLISM - SCIE","29","5.13","31.3"," 3/145 "," 2/182 ",
"Nature Metabolism","NAT METAB","N/A","2522-5812","ENDOCRINOLOGY & METABOLISM - SCIE","20.8","4.18","20.9"," 4/145 "," 4/182 ",
"ENDOCRINE REVIEWS","ENDOCR REV","0163-769X","1945-7189","ENDOCRINOLOGY & METABOLISM - SCIE","20.3","2.95","25.8"," 5/145 "," 6/182 ",
"DIABETES CARE","DIABETES CARE","0149-5992","1935-5548","ENDOCRINOLOGY & METABOLISM - SCIE","16.2","3.69","16"," 6/145 "," 5/182 ",
"TRENDS IN ENDOCRINOLOGY AND METABOLISM","TRENDS ENDOCRIN MET","1043-2760","1879-3061","ENDOCRINOLOGY & METABOLISM - SCIE","10.9","1.34","13.3"," 7/145 "," 26/182 ",
"JOURNAL OF PINEAL RESEARCH","J PINEAL RES","0742-3098","1600-079X","ENDOCRINOLOGY & METABOLISM - SCIE","10.3","2.43","12.4"," 8/145 "," 7/182 ",
"METABOLISM-CLINICAL AND EXPERIMENTAL","METABOLISM","0026-0495","1532-8600","ENDOCRINOLOGY & METABOLISM - SCIE","9.8","2.27","9.9"," 9/145 "," 8/182 ",
"Cardiovascular Diabetology","CARDIOVASC DIABETOL","N/A","1475-2840","ENDOCRINOLOGY & METABOLISM - SCIE","9.3","2.02","9.6"," 10/145 "," 9/182 ",
"Obesity Reviews","OBES REV","1467-7881","1467-789X","ENDOCRINOLOGY & METABOLISM - SCIE","8.9","1.56","9.8"," 11/145 "," 17/182 ",
"Current Obesity Reports","CURR OBES REP","2162-4968","2162-4968","ENDOCRINOLOGY & METABOLISM - SCIE","8.8","1.77","9.9"," 12/145 "," 11/182 ",
"DIABETOLOGIA","DIABETOLOGIA","0012-186X","1432-0428","ENDOCRINOLOGY & METABOLISM - SCIE","8.2","1.83","9.7"," 13/145 "," 10/182 ",
"REVIEWS IN ENDOCRINE & METABOLIC DISORDERS","REV ENDOCR METAB DIS","1389-9155","1573-2606","ENDOCRINOLOGY & METABOLISM - SCIE","8.2","1.6","9.3"," 13/145 "," 14/182 ",
"Molecular Metabolism","MOL METAB","2212-8778","2212-8778","ENDOCRINOLOGY & METABOLISM - SCIE","8.1","1.58","8.2"," 15/145 "," 16/182 ",
"DIABETES-METABOLISM RESEARCH AND REVIEWS","DIABETES-METAB RES","1520-7552","1520-7560","ENDOCRINOLOGY & METABOLISM - SCIE","8","1.43","6.3"," 16/145 "," 22/182 ",
"Biology of Sex Differences","BIOL SEX DIFFER","N/A","2042-6410","ENDOCRINOLOGY & METABOLISM - SCIE","7.9","1.39","6.9"," 17/145 "," 23/182 ",
"DIABETES","DIABETES","0012-1797","1939-327X","ENDOCRINOLOGY & METABOLISM - SCIE","7.7","1.68","8.2"," 18/145 "," 12/182 ",
"FREE RADICAL BIOLOGY AND MEDICINE","FREE RADICAL BIO MED","0891-5849","1873-4596","ENDOCRINOLOGY & METABOLISM - SCIE","7.4","1.47","7.9"," 19/145 "," 19/182 ",
"BEST PRACTICE & RESEARCH CLINICAL ENDOCRINOLOGY & METABOLISM","BEST PRACT RES CL EN","1521-690X","1532-1908","ENDOCRINOLOGY & METABOLISM - SCIE","7.4","1.06","6.7"," 19/145 "," 41/182 ",
"FRONTIERS IN NEUROENDOCRINOLOGY","FRONT NEUROENDOCRIN","0091-3022","1095-6808","ENDOCRINOLOGY & METABOLISM - SCIE","7.4","0.98","9"," 19/145 "," 48/182 ",
"DIABETES & METABOLISM","DIABETES METAB","1262-3636","1878-1780","ENDOCRINOLOGY & METABOLISM - SCIE","7.2","1.59","5.8"," 22/145 "," 15/182 ",
"Obesity","OBESITY","1930-7381","1930-739X","ENDOCRINOLOGY & METABOLISM - SCIE","6.9","1.44","5.6"," 23/145 "," 21/182 ",
"THYROID","THYROID","1050-7256","1557-9077","ENDOCRINOLOGY & METABOLISM - SCIE","6.6","1.5","6.6"," 24/145 "," 18/182 ",
"ANTIOXIDANTS & REDOX SIGNALING","ANTIOXID REDOX SIGN","1523-0864","1557-7716","ENDOCRINOLOGY & METABOLISM - SCIE","6.6","1.22","8.2"," 24/145 "," 34/182 ",
"JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM","J CEREBR BLOOD F MET","0271-678X","1559-7016","ENDOCRINOLOGY & METABOLISM - SCIE","6.3","1.28","6.3"," 26/145 "," 28/182 ",
"JOURNAL OF BONE AND MINERAL RESEARCH","J BONE MINER RES","0884-0431","1523-4681","ENDOCRINOLOGY & METABOLISM - SCIE","6.2","1.38","6.3"," 27/145 "," 25/182 ",
"Nutrition & Diabetes","NUTR DIABETES","2044-4052","2044-4052","ENDOCRINOLOGY & METABOLISM - SCIE","6.1","1.06","6"," 28/145 "," 41/182 ",
"BIOFACTORS","BIOFACTORS","0951-6433","1872-8081","ENDOCRINOLOGY & METABOLISM - SCIE","6","0.9","6.1"," 29/145 "," 59/182 ",
"Diabetes & Metabolism Journal","DIABETES METAB J","2233-6079","2233-6087","ENDOCRINOLOGY & METABOLISM - SCIE","5.9","1.26","5.4"," 30/145 "," 31/182 ",
"DIABETES OBESITY & METABOLISM","DIABETES OBES METAB","1462-8902","1463-1326","ENDOCRINOLOGY & METABOLISM - SCIE","5.8","1.31","5.6"," 31/145 "," 27/182 ",
"EUROPEAN JOURNAL OF ENDOCRINOLOGY","EUR J ENDOCRINOL","0804-4643","1479-683X","ENDOCRINOLOGY & METABOLISM - SCIE","5.8","1.27","6.3"," 31/145 "," 29/182 ",
"JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM","J CLIN ENDOCR METAB","0021-972X","1945-7197","ENDOCRINOLOGY & METABOLISM - SCIE","5.8","1.27","6.1"," 31/145 "," 29/182 ",
"Diabetes Technology & Therapeutics","DIABETES TECHNOL THE","1520-9156","1557-8593","ENDOCRINOLOGY & METABOLISM - SCIE","5.4","1.46","5.6"," 34/145 "," 20/182 ",
"JOURNAL OF ENDOCRINOLOGICAL INVESTIGATION","J ENDOCRINOL INVEST","0391-4097","1720-8386","ENDOCRINOLOGY & METABOLISM - SCIE","5.4","0.97","4.6"," 34/145 "," 50/182 ",
"Frontiers in Endocrinology","FRONT ENDOCRINOL","1664-2392","1664-2392","ENDOCRINOLOGY & METABOLISM - SCIE","5.2","0.92","5.9"," 36/145 "," 56/182 ",
"AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM","AM J PHYSIOL-ENDOC M","0193-1849","1522-1555","ENDOCRINOLOGY & METABOLISM - SCIE","5.1","1.39","4.8"," 37/145 "," 23/182 ",
"DIABETES RESEARCH AND CLINICAL PRACTICE","DIABETES RES CLIN PR","0168-8227","1872-8227","ENDOCRINOLOGY & METABOLISM - SCIE","5.1","1.18","6.1"," 37/145 "," 35/182 ",
"INTERNATIONAL JOURNAL OF OBESITY","INT J OBESITY","0307-0565","1476-5497","ENDOCRINOLOGY & METABOLISM - SCIE","4.9","1.09","5"," 39/145 "," 38/182 ",
"Diabetology & Metabolic Syndrome","DIABETOL METAB SYNDR","N/A","1758-5996","ENDOCRINOLOGY & METABOLISM - SCIE","4.8","0.92","4.7"," 40/145 "," 56/182 ",
"ENDOCRINOLOGY","ENDOCRINOLOGY","0013-7227","1945-7170","ENDOCRINOLOGY & METABOLISM - SCIE","4.8","0.89","4.8"," 40/145 "," 62/182 ",
"European Thyroid Journal","EUR THYROID J","2235-0640","2235-0802","ENDOCRINOLOGY & METABOLISM - SCIE","4.7","0.95","4.9"," 42/145 "," 52/182 ",
"ENDOCRINOLOGY AND METABOLISM CLINICS OF NORTH AMERICA","ENDOCRIN METAB CLIN","0889-8529","1558-4410","ENDOCRINOLOGY & METABOLISM - SCIE","4.5","1.02","5.7"," 43/145 "," 44/182 ",
"Journal of Diabetes","J DIABETES","1753-0393","1753-0407","ENDOCRINOLOGY & METABOLISM - SCIE","4.5","0.78","4.2"," 43/145 "," 75/182 ",
