Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,2022 JCI,5 Year JIF,JIF Rank,JCI Rank
"Journal of Hematology & Oncology","J HEMATOL ONCOL","N/A","1756-8722","HEMATOLOGY - SCIE","28.5","3.54","23.1"," 1/79 "," 3/96 "
"Lancet Haematology","LANCET HAEMATOL","2352-3026","N/A","HEMATOLOGY - SCIE","24.7","4.27","19.5"," 2/79 "," 1/96 "
"BLOOD","BLOOD","0006-4971","1528-0020","HEMATOLOGY - SCIE","20.3","3.16","19.6"," 3/79 "," 4/96 "
"CIRCULATION RESEARCH","CIRC RES","0009-7330","1524-4571","HEMATOLOGY - SCIE","20.1","3.93","22.4"," 4/79 "," 2/96 "
"Blood Cancer Journal","BLOOD CANCER J","2044-5385","2044-5385","HEMATOLOGY - SCIE","12.8","1.89","11.6"," 5/79 "," 8/96 "
"AMERICAN JOURNAL OF HEMATOLOGY","AM J HEMATOL","0361-8609","1096-8652","HEMATOLOGY - SCIE","12.8","1.74","10"," 5/79 "," 10/96 "
"LEUKEMIA","LEUKEMIA","0887-6924","1476-5551","HEMATOLOGY - SCIE","11.4","1.95","10.4"," 7/79 "," 7/96 "
"Experimental Hematology & Oncology","EXP HEMATOL ONCOL","N/A","2162-3619","HEMATOLOGY - SCIE","10.9","1.41","7.2"," 8/79 "," 14/96 "
"JOURNAL OF THROMBOSIS AND HAEMOSTASIS","J THROMB HAEMOST","1538-7933","1538-7836","HEMATOLOGY - SCIE","10.4","2.36","7.7"," 9/79 "," 5/96 "
"HAEMATOLOGICA","HAEMATOLOGICA","0390-6078","1592-8721","HEMATOLOGY - SCIE","10.1","1.74","8.8"," 10/79 "," 10/96 "
"ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY","ARTERIOSCL THROM VAS","1079-5642","1524-4636","HEMATOLOGY - SCIE","8.7","1.78","8.7"," 11/79 "," 9/96 "
"Blood Advances","BLOOD ADV","2473-9529","2473-9537","HEMATOLOGY - SCIE","7.5","1.48","7.1"," 12/79 "," 12/96 "
"THROMBOSIS RESEARCH","THROMB RES","0049-3848","1879-2472","HEMATOLOGY - SCIE","7.5","1.37","5.1"," 12/79 "," 15/96 "
"BLOOD REVIEWS","BLOOD REV","0268-960X","1532-1681","HEMATOLOGY - SCIE","7.4","1.45","8"," 14/79 "," 13/96 "
"THROMBOSIS AND HAEMOSTASIS","THROMB HAEMOSTASIS","0340-6245","2567-689X","HEMATOLOGY - SCIE","6.7","1.1","5.2"," 15/79 "," 17/96 "
"HemaSphere","HEMASPHERE","N/A","2572-9241","HEMATOLOGY - SCIE","6.6","0.79","6.5"," 16/79 "," 31/96 "
"BRITISH JOURNAL OF HAEMATOLOGY","BRIT J HAEMATOL","0007-1048","1365-2141","HEMATOLOGY - SCIE","6.5","0.9","6.2"," 17/79 "," 23/96 "
"JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM","J CEREBR BLOOD F MET","0271-678X","1559-7016","HEMATOLOGY - SCIE","6.3","1.28","6.3"," 18/79 "," 16/96 "
"CRITICAL REVIEWS IN ONCOLOGY HEMATOLOGY","CRIT REV ONCOL HEMAT","1040-8428","1879-0461","HEMATOLOGY - SCIE","6.2","0.89","6.2"," 19/79 "," 25/96 "
"SEMINARS IN THROMBOSIS AND HEMOSTASIS","SEMIN THROMB HEMOST","0094-6176","1098-9064","HEMATOLOGY - SCIE","5.7","0.97","4.5"," 20/79 "," 20/96 "
"JOURNAL OF LEUKOCYTE BIOLOGY","J LEUKOCYTE BIOL","0741-5400","1938-3673","HEMATOLOGY - SCIE","5.5","0.75","5.4"," 21/79 "," 33/96 "
"STEM CELLS","STEM CELLS","1066-5099","1549-4918","HEMATOLOGY - SCIE","5.2","0.97","5.8"," 22/79 "," 20/96 "
"BONE MARROW TRANSPLANTATION","BONE MARROW TRANSPL","0268-3369","1476-5365","HEMATOLOGY - SCIE","4.8","0.88","4.7"," 23/79 "," 26/96 "
"Research and Practice in Thrombosis and Haemostasis","RES PRACT THROMB HAE","N/A","2475-0379","HEMATOLOGY - SCIE","4.6","0.79","4.4"," 24/79 "," 31/96 "
"CYTOTHERAPY","CYTOTHERAPY","1465-3249","1477-2566","HEMATOLOGY - SCIE","4.5","0.9","5"," 25/79 "," 23/96 "
"TRANSFUSION MEDICINE REVIEWS","TRANSFUS MED REV","0887-7963","1532-9496","HEMATOLOGY - SCIE","4.5","0.74","4.1"," 25/79 "," 34/96 "
"BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION","BIOL BLOOD MARROW TR","1083-8791","1523-6536","HEMATOLOGY - SCIE","4.3","1.08","4.4"," 27/79 "," 18/96 "
