Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,2022 JCI,5 Year JIF,JIF Rank,JCI Rank
"Lancet Digital Health","LANCET DIGIT HEALTH","N/A","2589-7500","MEDICAL INFORMATICS - SCIE","30.8","5.13","30.9"," 1/31 "," 1/42 "
"npj Digital Medicine","NPJ DIGIT MED","2398-6352","2398-6352","MEDICAL INFORMATICS - SCIE","15.2","3.44","15.2"," 2/31 "," 2/42 "
"IEEE Journal of Biomedical and Health Informatics","IEEE J BIOMED HEALTH","2168-2194","2168-2208","MEDICAL INFORMATICS - SCIE","7.7","1.76","7.7"," 3/31 "," 3/42 "
"Artificial Intelligence in Medicine","ARTIF INTELL MED","0933-3657","1873-2860","MEDICAL INFORMATICS - SCIE","7.5","1.25","7.4"," 4/31 "," 8/42 "
"JOURNAL OF MEDICAL INTERNET RESEARCH","J MED INTERNET RES","1438-8871","N/A","MEDICAL INFORMATICS - SCIE","7.4","1.72","7.6"," 5/31 "," 4/42 "
"JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION","J AM MED INFORM ASSN","1067-5027","1527-974X","MEDICAL INFORMATICS - SCIE","6.4","1.59","6.3"," 6/31 "," 5/42 "
"Computer Methods and Programs in Biomedicine","COMPUT METH PROG BIO","0169-2607","1872-7565","MEDICAL INFORMATICS - SCIE","6.1","1.34","6.1"," 7/31 "," 6/42 "
"Health Information Science and Systems","HEALTH INF SCI SYST","2047-2501","2047-2501","MEDICAL INFORMATICS - SCIE","6","1.25","5.7"," 8/31 "," 8/42 "
"JOURNAL OF MEDICAL SYSTEMS","J MED SYST","0148-5598","1573-689X","MEDICAL INFORMATICS - SCIE","5.3","1.2","5.2"," 9/31 "," 12/42 "
"JMIR mHealth and uHealth","JMIR MHEALTH UHEALTH","2291-5222","2291-5222","MEDICAL INFORMATICS - SCIE","5","1.22","5.7"," 10/31 "," 11/42 "
"INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS","INT J MED INFORM","1386-5056","1872-8243","MEDICAL INFORMATICS - SCIE","4.9","1.13","5.4"," 11/31 "," 13/42 "
"JOURNAL OF BIOMEDICAL INFORMATICS","J BIOMED INFORM","1532-0464","1532-0480","MEDICAL INFORMATICS - SCIE","4.5","1.23","6.9"," 12/31 "," 10/42 "
"Internet Interventions-The Application of Information Technology in Mental and Behavioural Health","INTERNET INTERV","N/A","2214-7829","MEDICAL INFORMATICS - SCIE","4.3","1.02","4.6"," 13/31 "," 15/42 "
"JMIR Serious Games","JMIR SERIOUS GAMES","2291-9279","2291-9279","MEDICAL INFORMATICS - SCIE","4","0.91","4.2"," 14/31 "," 17/42 "
