"Journal Data Filtered By:  Selected Categories: CARDIAC & CARDIOVASCULAR SYSTEMS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
"Nature Reviews Cardiology","NAT REV CARDIOL","1759-5002","1759-5010","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","15,496","49.421","Q1","5.63","3.87"%,
"CIRCULATION","CIRCULATION","0009-7322","1524-4539","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","202,844","39.918","Q1","6.47","19.83"%,
"EUROPEAN HEART JOURNAL","EUR HEART J","0195-668X","1522-9645","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","88,229","35.855","Q1","6.77","32.42"%,
"JAMA Cardiology","JAMA CARDIOL","2380-6583","2380-6591","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","15,190","30.154","Q1","6.05","7.45"%,
"JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY","J AM COLL CARDIOL","0735-1097","1558-3597","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","134,726","27.203","Q1","4.71","15.05"%,
"CIRCULATION RESEARCH","CIRC RES","0009-7330","1524-4571","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","72,814","23.213","Q1","3.8","14.43"%,
"EUROPEAN JOURNAL OF HEART FAILURE","EUR J HEART FAIL","1388-9842","1879-0844","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","19,628","17.349","Q1","3.3","36.29"%,
"CURRENT PROBLEMS IN CARDIOLOGY","CURR PROB CARDIOLOGY","0146-2806","1535-6280","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,477","16.464","Q1","1.7","2.63"%,
"JACC-Cardiovascular Imaging","JACC-CARDIOVASC IMAG","1936-878X","1876-7591","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","17,107","16.051","Q1","3.25","11.4"%,
"JOURNAL OF HEART AND LUNG TRANSPLANTATION","J HEART LUNG TRANSPL","1053-2498","1557-3117","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","15,150","13.569","Q1","2.27","8.44"%,
"CARDIOVASCULAR RESEARCH","CARDIOVASC RES","0008-6363","1755-3245","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","30,452","13.081","Q1","2.68","23.45"%,
"JACC-Heart Failure","JACC-HEART FAIL","2213-1779","2213-1787","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","7,129","12.544","Q1","2.54","17.28"%,
"BASIC RESEARCH IN CARDIOLOGY","BASIC RES CARDIOL","0300-8428","1435-1803","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6,119","12.416","Q1","2.79","52.6"%,
"PROGRESS IN CARDIOVASCULAR DISEASES","PROG CARDIOVASC DIS","0033-0620","1873-1740","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6,658","11.278","Q1","1.16","7.26"%,
"European Heart Journal-Cardiovascular Pharmacotherapy","EUR HEART J-CARD PHA","2055-6837","2055-6845","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,529","11.177","Q1","1.54","14.2"%,
"JACC-Cardiovascular Interventions","JACC-CARDIOVASC INTE","1936-8798","1876-7605","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","16,576","11.075","Q1","2.17","8.94"%,
"Circulation-Heart Failure","CIRC-HEART FAIL","1941-3289","1941-3297","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","10,063","10.447","Q1","1.89","6.38"%,
"JACC-Basic to Translational Science","JACC-BASIC TRANSL SC","2452-302X","2452-302X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,921","9.531","Q1","1.75","99.02"%,
"European Heart Journal-Cardiovascular Imaging","EUR HEART J-CARD IMG","2047-2404","2047-2412","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","10,941","9.13","Q1","1.74","13.89"%,
"Cardiovascular Diabetology","CARDIOVASC DIABETOL","N/A","1475-2840","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","10,971","8.949","Q1","1.85","99.12"%,
"Circulation-Cardiovascular Imaging","CIRC-CARDIOVASC IMAG","1941-9651","1942-0080","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","8,707","8.589","Q1","1.75","11.43"%,
"European Journal of Preventive Cardiology","EUR J PREV CARDIOL","2047-4873","2047-4881","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","9,498","8.526","Q1","1.32","10.38"%,
"JACC: CardioOncology","JACC-CARDIOONCOL","2666-0873","2666-0873","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","614","8.422","Q1","1.22","96.43"%,
"Circulation-Cardiovascular Quality and Outcomes","CIRC-CARDIOVASC QUAL","1941-7705","1941-7713","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","7,359","8.271","Q1","1.29","7.29"%,
"TRENDS IN CARDIOVASCULAR MEDICINE","TRENDS CARDIOVAS MED","1050-1738","1873-2615","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,104","8.049","Q1","1.62","21.88"%,
"EuroIntervention","EUROINTERVENTION","1774-024X","1969-6213","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","7,344","7.728","Q1","1.3","0.26"%,
"JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY","J AM SOC ECHOCARDIOG","0894-7317","N/A","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","14,901","7.722","Q1","1.28","6.72"%,
"Circulation-Arrhythmia and Electrophysiology","CIRC-ARRHYTHMIA ELEC","1941-3149","1941-3084","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","9,432","7.718","Q1","1.41","10.93"%,
"Circulation-Cardiovascular Interventions","CIRC-CARDIOVASC INTE","1941-7640","1941-7632","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","7,400","7.514","Q1","1.43","9.32"%,
"Circulation-Genomic and Precision Medicine","CIRC-GENOM PRECIS ME","2574-8300","2574-8300","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,587","7.465","Q1","1.28","28.57"%,
"HEART","HEART","1355-6037","1468-201X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","24,054","7.365","Q1","1.44","24"%,
"European Heart Journal-Quality of Care and Clinical Outcomes","EUR HEART J-QUAL CAR","2058-5225","2058-1742","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,235","7.064","Q1","1.15","16.23"%,
"REVISTA ESPANOLA DE CARDIOLOGIA","REV ESP CARDIOL","0300-8932","1579-2242","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5,123","6.975","Q1","1.82","0.4"%,
"JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE","J CARDIOVASC MAGN R","1097-6647","1532-429X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","7,408","6.903","Q1","1.49","98.96"%,
"ATHEROSCLEROSIS","ATHEROSCLEROSIS","0021-9150","1879-1484","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","29,505","6.847","Q1","1.16","20.59"%,
"HEART RHYTHM","HEART RHYTHM","1547-5271","1556-3871","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","16,671","6.779","Q2","1.46","12.73"%,
"CANADIAN JOURNAL OF CARDIOLOGY","CAN J CARDIOL","0828-282X","1916-7075","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","9,961","6.614","Q2","1.06","6.11"%,
"JOURNAL OF CARDIAC FAILURE","J CARD FAIL","1071-9164","1532-8414","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6,958","6.592","Q2","1.01","6.88"%,
"JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY","J THORAC CARDIOV SUR","0022-5223","1097-685X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","36,387","6.439","Q2","1.47","3.81"%,
"Clinical Research in Cardiology","CLIN RES CARDIOL","1861-0684","1861-0692","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5,312","6.138","Q2","1.34","44.34"%,
"JACC-Clinical Electrophysiology","JACC-CLIN ELECTROPHY","2405-500X","2405-5018","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,001","6.124","Q2","1.32","12.4"%,
"Journal of the American Heart Association","J AM HEART ASSOC","N/A","2047-9980","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","35,306","6.106","Q2","1.22","99.86"%,
"Frontiers in Cardiovascular Medicine","FRONT CARDIOVASC MED","2297-055X","2297-055X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5,978","5.846","Q2","0.9","98.57"%,
"Hellenic Journal of Cardiology","HELL J CARDIOL","1109-9666","2241-5955","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,395","5.795","Q2","0.94","98.26"%,
"JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY","J MOL CELL CARDIOL","0022-2828","1095-8584","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","18,582","5.763","Q2","1","18.51"%,
"EUROPACE","EUROPACE","1099-5129","1532-2092","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","13,808","5.486","Q2","1.18","20.2"%,
"JOURNAL OF THROMBOSIS AND THROMBOLYSIS","J THROMB THROMBOLYS","0929-5305","1573-742X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5,952","5.221","Q2","0.87","13.5"%,
"AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY","AM J PHYSIOL-HEART C","0363-6135","1522-1539","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","32,718","5.125","Q2","1.15","3.27"%,
"ANNALS OF THORACIC SURGERY","ANN THORAC SURG","0003-4975","1552-6259","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","45,127","5.102","Q2","1.27","0.78"%,
"AMERICAN HEART JOURNAL","AM HEART J","0002-8703","1097-6744","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","22,884","5.099","Q2","1.1","14.68"%,
"European Heart Journal-Acute Cardiovascular Care","EUR HEART J-ACUTE CA","2048-8726","2048-8734","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,716","4.766","Q2","1.08","10.12"%,
"NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES","NUTR METAB CARDIOVAS","0939-4753","1590-3729","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","8,961","4.666","Q2","0.95","8.57"%,
"HEART FAILURE REVIEWS","HEART FAIL REV","1382-4147","1573-7322","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,645","4.654","Q2","0.85","16.67"%,
"Annals of Cardiothoracic Surgery","ANN CARDIOTHORAC SUR","2225-319X","2304-1021","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,607","4.617","Q2","1.02","100"%,
"RESPIRATORY MEDICINE","RESP MED","0954-6111","1532-3064","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","15,365","4.582","Q2","0.87","8.28"%,
"EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY","EUR J CARDIO-THORAC","1010-7940","1873-734X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","20,574","4.534","Q2","1.17","8.24"%,
"Reviews in Cardiovascular Medicine","REV CARDIOVASC MED","1530-6550","2153-8174","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","788","4.43","Q2","0.52","100"%,
