"Journal Data Filtered By:  Selected Categories: GENETICS & HEREDITY Selected Editions: SCIE Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
"NATURE REVIEWS GENETICS","NAT REV GENET","1471-0056","1471-0064","GENETICS & HEREDITY - SCIE","46,474","59.581","Q1","6.13","3.95"%,
"NATURE GENETICS","NAT GENET","1061-4036","1546-1718","GENETICS & HEREDITY - SCIE","120,884","41.307","Q1","8.81","9.98"%,
"TRENDS IN ECOLOGY & EVOLUTION","TRENDS ECOL EVOL","0169-5347","1872-8383","GENETICS & HEREDITY - SCIE","44,895","20.589","Q1","1.8","22.69"%,
"GENOME BIOLOGY","GENOME BIOL","1474-760X","1474-760X","GENETICS & HEREDITY - SCIE","66,282","17.906","Q1","3.27","99.53"%,
"Genome Medicine","GENOME MED","1756-994X","1756-994X","GENETICS & HEREDITY - SCIE","10,220","15.266","Q1","2.66","99.42"%,
"Annual Review of Genetics","ANNU REV GENET","0066-4197","1545-2948","GENETICS & HEREDITY - SCIE","9,320","13.826","Q1","1.6","1.35"%,
"MOLECULAR THERAPY","MOL THER","1525-0016","1525-0024","GENETICS & HEREDITY - SCIE","28,047","12.91","Q1","2.6","84.62"%,
"GENES & DEVELOPMENT","GENE DEV","0890-9369","1549-5477","GENETICS & HEREDITY - SCIE","64,203","12.89","Q1","2.15","97.94"%,
"TRENDS IN GENETICS","TRENDS GENET","0168-9525","1362-4555","GENETICS & HEREDITY - SCIE","15,686","11.821","Q1","1.4","22.67"%,
"AMERICAN JOURNAL OF HUMAN GENETICS","AM J HUM GENET","0002-9297","1537-6605","GENETICS & HEREDITY - SCIE","45,295","11.043","Q1","2.51","19.26"%,
"GENOME RESEARCH","GENOME RES","1088-9051","1549-5469","GENETICS & HEREDITY - SCIE","51,169","9.438","Q1","2.05","97.49"%,
"Annual Review of Genomics and Human Genetics","ANNU REV GENOM HUM G","1527-8204","1545-293X","GENETICS & HEREDITY - SCIE","3,473","9.34","Q1","1.02","31.25"%,
"GENETICS IN MEDICINE","GENET MED","1098-3600","1530-0366","GENETICS & HEREDITY - SCIE","20,165","8.864","Q1","2.07","31.23"%,
"Biology of Sex Differences","BIOL SEX DIFFER","N/A","2042-6410","GENETICS & HEREDITY - SCIE","2,974","8.811","Q1","1.35","99.46"%,
"MOLECULAR BIOLOGY AND EVOLUTION","MOL BIOL EVOL","0737-4038","1537-1719","GENETICS & HEREDITY - SCIE","67,311","8.8","Q1","2.98","75.88"%,
"ONCOGENE","ONCOGENE","0950-9232","1476-5594","GENETICS & HEREDITY - SCIE","81,646","8.756","Q1","1.66","34.5"%,
"Circulation-Genomic and Precision Medicine","CIRC-GENOM PRECIS ME","2574-8300","2574-8300","GENETICS & HEREDITY - SCIE","1,587","7.465","Q1","1.28","28.57"%,
"Horticulture Research","HORTIC RES-ENGLAND","2662-6810","2052-7276","GENETICS & HEREDITY - SCIE","4,617","7.291","Q1","1.91","99.67"%,
"Clinical Epigenetics","CLIN EPIGENETICS","1868-7075","1868-7083","GENETICS & HEREDITY - SCIE","7,035","7.259","Q1","1.26","99.14"%,
"Genes & Diseases","GENES DIS","2352-4820","2352-3042","GENETICS & HEREDITY - SCIE","2,732","7.243","Q1","1.03","100"%,
"MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH","MUTAT RES-REV MUTAT","1383-5742","1388-2139","GENETICS & HEREDITY - SCIE","4,287","7.015","Q1","0.75","12.15"%,
"Human Genomics","HUM GENOMICS","1473-9542","1479-7364","GENETICS & HEREDITY - SCIE","2,187","6.481","Q1","0.97","100"%,
"Molecular Autism","MOL AUTISM","2040-2392","2040-2392","GENETICS & HEREDITY - SCIE","4,293","6.476","Q1","1.42","100"%,
"GENOMICS PROTEOMICS & BIOINFORMATICS","GENOM PROTEOM BIOINF","1672-0229","2210-3244","GENETICS & HEREDITY - SCIE","4,138","6.409","Q1","1.39","88.08"%,
"Environmental Microbiome","ENVIRON MICROBIOME","N/A","2524-6372","GENETICS & HEREDITY - SCIE","188","6.36","Q1","1.32","100"%,
"npj Genomic Medicine","NPJ GENOM MED","N/A","2056-7944","GENETICS & HEREDITY - SCIE","1,346","6.083","Q1","1.44","98.91"%,
"PLoS Genetics","PLOS GENET","1553-7404","1553-7404","GENETICS & HEREDITY - SCIE","56,584","6.02","Q1","1.34","99.5"%,
"JOURNAL OF MEDICAL GENETICS","J MED GENET","0022-2593","1468-6244","GENETICS & HEREDITY - SCIE","15,566","5.941","Q1","1.41","31.63"%,
"HUMAN GENETICS","HUM GENET","0340-6717","1432-1203","GENETICS & HEREDITY - SCIE","10,895","5.881","Q1","1.03","29.33"%,
"CANCER GENE THERAPY","CANCER GENE THER","0929-1903","1476-5500","GENETICS & HEREDITY - SCIE","4,649","5.854","Q1","1.28","23.03"%,
"Journal of Genetics and Genomics","J GENET GENOMICS","1673-8527","1873-5533","GENETICS & HEREDITY - SCIE","3,129","5.723","Q1","0.61","16.84"%,
"JOURNAL OF MOLECULAR MEDICINE-JMM","J MOL MED","0946-2716","1432-1440","GENETICS & HEREDITY - SCIE","10,316","5.606","Q1","1.01","34.65"%,
"THEORETICAL AND APPLIED GENETICS","THEOR APPL GENET","0040-5752","1432-2242","GENETICS & HEREDITY - SCIE","26,103","5.574","Q1","1.57","26.33"%,
"Epigenetics & Chromatin","EPIGENET CHROMATIN","N/A","1756-8935","GENETICS & HEREDITY - SCIE","2,925","5.465","Q1","1.12","100"%,
"EUROPEAN JOURNAL OF HUMAN GENETICS","EUR J HUM GENET","1018-4813","1476-5438","GENETICS & HEREDITY - SCIE","13,788","5.351","Q1","0.99","38.23"%,
"HUMAN MOLECULAR GENETICS","HUM MOL GENET","0964-6906","1460-2083","GENETICS & HEREDITY - SCIE","47,419","5.121","Q1","1.12","32.54"%,
"GENETICS SELECTION EVOLUTION","GENET SEL EVOL","0999-193X","1297-9686","GENETICS & HEREDITY - SCIE","4,796","5.1","Q1","1.61","100"%,
"MOLECULAR PHYLOGENETICS AND EVOLUTION","MOL PHYLOGENET EVOL","1055-7903","1095-9513","GENETICS & HEREDITY - SCIE","24,132","5.019","Q1","1.06","11"%,
"Microbial Genomics","MICROB GENOMICS","2057-5858","2057-5858","GENETICS & HEREDITY - SCIE","3,090","4.868","Q1","1.08","N/A",
"Epigenetics","EPIGENETICS-US","1559-2294","1559-2308","GENETICS & HEREDITY - SCIE","7,395","4.861","Q1","0.82","29.75"%,
"Briefings in Functional Genomics","BRIEF FUNCT GENOMICS","2041-2649","2041-2657","GENETICS & HEREDITY - SCIE","2,318","4.84","Q1","0.69","13.46"%,
"HUMAN GENE THERAPY","HUM GENE THER","1043-0342","1557-7422","GENETICS & HEREDITY - SCIE","7,588","4.793","Q1","1.13","12.39"%,
"Frontiers in Genetics","FRONT GENET","N/A","1664-8021","GENETICS & HEREDITY - SCIE","27,580","4.772","Q1","0.9","99.32"%,
"JOURNAL OF INHERITED METABOLIC DISEASE","J INHERIT METAB DIS","0141-8955","1573-2665","GENETICS & HEREDITY - SCIE","8,230","4.75","Q2","1.02","39.89"%,
"HUMAN MUTATION","HUM MUTAT","1059-7794","1098-1004","GENETICS & HEREDITY - SCIE","16,867","4.7","Q2","1.07","24.38"%,
"Mobile DNA","MOBILE DNA-UK","1759-8753","1759-8753","GENETICS & HEREDITY - SCIE","1,535","4.679","Q2","0.84","98.1"%,
"CURRENT GENE THERAPY","CURR GENE THER","1566-5232","1875-5631","GENETICS & HEREDITY - SCIE","1,798","4.676","Q2","0.59","0"%,
"CURRENT OPINION IN GENETICS & DEVELOPMENT","CURR OPIN GENET DEV","0959-437X","1879-0380","GENETICS & HEREDITY - SCIE","9,036","4.665","Q2","0.65","17.73"%,
"CHROMOSOME RESEARCH","CHROMOSOME RES","0967-3849","1573-6849","GENETICS & HEREDITY - SCIE","2,833","4.62","Q2","0.79","17.33"%,
"BMC GENOMICS","BMC GENOMICS","1471-2164","1471-2164","GENETICS & HEREDITY - SCIE","56,827","4.547","Q2","0.99","99.63"%,
"MITOCHONDRION","MITOCHONDRION","1567-7249","1872-8278","GENETICS & HEREDITY - SCIE","5,815","4.534","Q2","0.75","10.6"%,
"DNA RESEARCH","DNA RES","1340-2838","1756-1663","GENETICS & HEREDITY - SCIE","3,903","4.477","Q2","1.02","98.96"%,
"Molecular Diagnosis & Therapy","MOL DIAGN THER","1177-1062","1179-2000","GENETICS & HEREDITY - SCIE","1,941","4.476","Q2","0.8","19.02"%,
