Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"NATURE REVIEWS GENETICS","NAT REV GENET","1471-0056","1471-0064","GENETICS & HEREDITY - SCIE","43,862","42.7","Q1","6.25","5.84"%,
"NATURE GENETICS","NAT GENET","1061-4036","1546-1718","GENETICS & HEREDITY - SCIE","111,677","30.8","Q1","9.38","20.64"%,
"TRENDS IN ECOLOGY & EVOLUTION","TRENDS ECOL EVOL","0169-5347","1872-8383","GENETICS & HEREDITY - SCIE","39,957","16.8","Q1","1.89","27.8"%,
"MOLECULAR THERAPY","MOL THER","1525-0016","1525-0024","GENETICS & HEREDITY - SCIE","27,418","12.4","Q1","2.72","88.39"%,
"GENOME BIOLOGY","GENOME BIOL","1474-760X","1474-760X","GENETICS & HEREDITY - SCIE","68,817","12.3","Q1","3.28","99.17"%,
"Genome Medicine","GENOME MED","1756-994X","1756-994X","GENETICS & HEREDITY - SCIE","11,529","12.3","Q1","2.97","100"%,
"TRENDS IN GENETICS","TRENDS GENET","0168-9525","1362-4555","GENETICS & HEREDITY - SCIE","14,568","11.4","Q1","1.42","26.22"%,
"Annual Review of Genetics","ANNU REV GENET","0066-4197","1545-2948","GENETICS & HEREDITY - SCIE","8,530","11.1","Q1","1.34","0"%,
"MOLECULAR BIOLOGY AND EVOLUTION","MOL BIOL EVOL","0737-4038","1537-1719","GENETICS & HEREDITY - SCIE","64,994","10.7","Q1","2.19","82.48"%,
"GENES & DEVELOPMENT","GENE DEV","0890-9369","1549-5477","GENETICS & HEREDITY - SCIE","54,132","10.5","Q1","2.04","97.89"%,
"AMERICAN JOURNAL OF HUMAN GENETICS","AM J HUM GENET","0002-9297","1537-6605","GENETICS & HEREDITY - SCIE","41,181","9.8","Q1","2.59","24.17"%,
"GENOMICS PROTEOMICS & BIOINFORMATICS","GENOM PROTEOM BIOINF","1672-0229","2210-3244","GENETICS & HEREDITY - SCIE","5,050","9.5","Q1","2.08","85.51"%,
"GENETICS IN MEDICINE","GENET MED","1098-3600","1530-0366","GENETICS & HEREDITY - SCIE","20,773","8.8","Q1","2.11","29.01"%,
"Horticulture Research","HORTIC RES-ENGLAND","2662-6810","2052-7276","GENETICS & HEREDITY - SCIE","7,792","8.7","Q1","2.22","92.76"%,
"Annual Review of Genomics and Human Genetics","ANNU REV GENOM HUM G","1527-8204","1545-293X","GENETICS & HEREDITY - SCIE","3,290","8.7","Q1","1.09","42.86"%,
"ONCOGENE","ONCOGENE","0950-9232","1476-5594","GENETICS & HEREDITY - SCIE","74,751","8","Q1","1.55","34.41"%,
"Environmental Microbiome","ENVIRON MICROBIOME","N/A","2524-6372","GENETICS & HEREDITY - SCIE","457","7.9","Q1","1.55","100"%,
"Biology of Sex Differences","BIOL SEX DIFFER","N/A","2042-6410","GENETICS & HEREDITY - SCIE","3,009","7.9","Q1","1.39","99.51"%,
"Circulation-Genomic and Precision Medicine","CIRC-GENOM PRECIS ME","2574-8300","2574-8300","GENETICS & HEREDITY - SCIE","2,029","7.4","Q1","1.49","24.31"%,
"GENOME RESEARCH","GENOME RES","1088-9051","1549-5469","GENETICS & HEREDITY - SCIE","47,141","7","Q1","1.8","97.94"%,
"Genes & Diseases","GENES DIS","2352-4820","2352-3042","GENETICS & HEREDITY - SCIE","3,277","6.8","Q1","1.11","97.45"%,
"CANCER GENE THERAPY","CANCER GENE THER","0929-1903","1476-5500","GENETICS & HEREDITY - SCIE","4,880","6.4","Q1","1.23","28.03"%,
"Molecular Autism","MOL AUTISM","2040-2392","2040-2392","GENETICS & HEREDITY - SCIE","4,228","6.2","Q1","1.46","99.53"%,
"Journal of Genetics and Genomics","J GENET GENOMICS","1673-8527","1873-5533","GENETICS & HEREDITY - SCIE","3,712","5.9","Q1","0.89","22.36"%,
"Clinical Epigenetics","CLIN EPIGENETICS","1868-7075","1868-7083","GENETICS & HEREDITY - SCIE","7,724","5.7","Q1","1.24","99.3"%,
"THEORETICAL AND APPLIED GENETICS","THEOR APPL GENET","0040-5752","1432-2242","GENETICS & HEREDITY - SCIE","25,634","5.4","Q1","1.42","28.85"%,
"npj Genomic Medicine","NPJ GENOM MED","N/A","2056-7944","GENETICS & HEREDITY - SCIE","1,728","5.3","Q1","1.34","99.12"%,
"HUMAN GENETICS","HUM GENET","0340-6717","1432-1203","GENETICS & HEREDITY - SCIE","10,034","5.3","Q1","1.02","30.3"%,
"MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH","MUTAT RES-REV MUTAT","1383-5742","1388-2139","GENETICS & HEREDITY - SCIE","3,737","5.3","Q1","0.83","16.16"%,
