Journal Data Filtered By: Selected Categories: DQ Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator:Custom,

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,Eigenfactor
Nature Reviews Cardiology,1759-5002,1759-5010,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","11,539",32.419,0.02299,
EUROPEAN HEART JOURNAL,0195-668X,1522-9645,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","81,447",29.983,0.14106,
CIRCULATION,0009-7322,1524-4539,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","190,210",29.690,0.20003,
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,0735-1097,1558-3597,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","125,873",24.094,0.17700,
CIRCULATION RESEARCH,0009-7330,1524-4571,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","65,425",17.367,0.06890,
BASIC RESEARCH IN CARDIOLOGY,0300-8428,1435-1803,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5,629",17.165,0.00529,
EUROPEAN JOURNAL OF HEART FAILURE,1388-9842,1879-0844,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","17,114",15.534,0.02774,
JACC-Cardiovascular Imaging,1936-878X,1876-7591,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","14,398",14.805,0.03219,
JAMA Cardiology,2380-6583,2380-6591,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","11,453",14.676,0.03615,
JACC-Heart Failure,2213-1779,2213-1787,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6,212",12.035,0.01932,
JACC-Cardiovascular Interventions,1936-8798,1876-7605,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","15,448",11.195,0.03524,
CARDIOVASCULAR RESEARCH,0008-6363,1755-3245,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","26,765",10.787,0.01907,
JOURNAL OF HEART AND LUNG TRANSPLANTATION,1053-2498,1557-3117,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","15,107",10.247,0.02166,
Cardiovascular Diabetology,N/A,1475-2840,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","8,782",9.951,0.01228,
Circulation-Heart Failure,1941-3289,1941-3297,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","9,005",8.790,0.01649,
JACC-Basic to Translational Science,2452-302X,2452-302X,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,842",8.648,0.00514,
PROGRESS IN CARDIOVASCULAR DISEASES,0033-0620,1873-1740,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5,799",8.194,0.00687,
European Journal of Preventive Cardiology,2047-4873,2047-4881,"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","8,287",7.804,0.01425,
