"Journal Data Filtered By:  Selected JCR Year: 2020 Selected Editions: SCIE,SSCI Selected Categories: 'CLINICAL NEUROLOGY' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,LANCET NEUROLOGY,"43,457",44.182,0.05956
2,Nature Reviews Neurology,"15,738",42.937,0.02958
3,Alzheimers & Dementia,"21,824",21.566,0.04594
4,JAMA Neurology,"17,086",18.302,0.04336
5,ACTA NEUROPATHOLOGICA,"28,031",17.088,0.03697
6,BRAIN,"64,627",13.501,0.06155
7,NEURO-ONCOLOGY,"17,812",12.3,0.02921
8,SLEEP MEDICINE REVIEWS,"11,218",11.609,0.01484
9,ANNALS OF NEUROLOGY,"43,728",10.422,0.03996
10,MOVEMENT DISORDERS,"35,072",10.338,0.03079
11,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,"37,094",10.154,0.02638
12,NEUROLOGY,"109,905",9.91,0.0975
13,Brain Stimulation,"9,206",8.955,0.01596
14,Neurology-Neuroimmunology & Neuroinflammation,"3,863",8.485,0.00839
15,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY,"4,791",8.09,0.00464
16,STROKE,"78,912",7.914,0.06832
17,Neurotherapeutics,"6,764",7.62,0.0094
18,NEUROSCIENTIST,"5,949",7.519,0.00501
19,Epilepsy Currents,"1,246",7.5,0.00175
20,JOURNAL OF HEADACHE AND PAIN,"5,400",7.277,0.00814
21,Alzheimers Research & Therapy,"5,593",6.982,0.01168
22,Journal of Stroke,"1,692",6.967,0.00395
23,PAIN,"45,325",6.961,0.03103
24,Translational Stroke Research,"3,377",6.829,0.00392
25,BIPOLAR DISORDERS,"6,185",6.744,0.00751
26,Therapeutic Advances in Neurological Disorders,"2,328",6.57,0.004
27,BRAIN PATHOLOGY,"6,559",6.508,0.00622
28,Multiple Sclerosis Journal,"15,551",6.312,0.01668
29,CEPHALALGIA,"12,756",6.292,0.01194
30,EUROPEAN JOURNAL OF NEUROLOGY,"14,490",6.089,0.01673
31,HEADACHE,"10,445",5.887,0.00958
32,EPILEPSIA,"33,890",5.864,0.02603
