Journal Data Filtered By: Selected Categories: KM Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator:Custom,

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,Eigenfactor
NATURE REVIEWS GENETICS,1471-0056,1471-0064,"GENETICS & HEREDITY - SCIE","42,803",53.242,0.05893,
NATURE GENETICS,1061-4036,1546-1718,"GENETICS & HEREDITY - SCIE","113,066",38.330,0.18681,
TRENDS IN ECOLOGY & EVOLUTION,0169-5347,1872-8383,"GENETICS & HEREDITY - SCIE","44,127",17.712,0.02818,
Annual Review of Genetics,0066-4197,1545-2948,"GENETICS & HEREDITY - SCIE","9,053",16.830,0.00927,
MOLECULAR BIOLOGY AND EVOLUTION,0737-4038,1537-1719,"GENETICS & HEREDITY - SCIE","61,557",16.240,0.08227,
GENOME BIOLOGY,1474-760X,1474-760X,"GENETICS & HEREDITY - SCIE","54,758",13.583,0.09899,
TRENDS IN GENETICS,0168-9525,1362-4555,"GENETICS & HEREDITY - SCIE","14,465",11.639,0.01880,
MOLECULAR THERAPY,1525-0016,1525-0024,"GENETICS & HEREDITY - SCIE","24,333",11.454,0.03025,
GENES & DEVELOPMENT,0890-9369,1549-5477,"GENETICS & HEREDITY - SCIE","61,885",11.361,0.04866,
Genome Medicine,1756-994X,1756-994X,"GENETICS & HEREDITY - SCIE","8,115",11.117,0.02345,
AMERICAN JOURNAL OF HUMAN GENETICS,0002-9297,1537-6605,"GENETICS & HEREDITY - SCIE","43,477",11.025,0.05420,
ONCOGENE,0950-9232,1476-5594,"GENETICS & HEREDITY - SCIE","77,576",9.867,0.05918,
GENOME RESEARCH,1088-9051,1549-5469,"GENETICS & HEREDITY - SCIE","47,141",9.043,0.06469,
Annual Review of Genomics and Human Genetics,1527-8204,1545-293X,"GENETICS & HEREDITY - SCIE","3,238",8.929,0.00480,
GENETICS IN MEDICINE,1098-3600,1530-0366,"GENETICS & HEREDITY - SCIE","17,957",8.822,0.04155,
npj Genomic Medicine,N/A,2056-7944,"GENETICS & HEREDITY - SCIE","971",8.617,0.00391,
GENOMICS PROTEOMICS & BIOINFORMATICS,1672-0229,2210-3244,"GENETICS & HEREDITY - SCIE","3,241",7.691,0.00636,
Molecular Autism,2040-2392,2040-2392,"GENETICS & HEREDITY - SCIE","3,579",7.509,0.00740,
Genes & Diseases,2352-4820,2352-3042,"GENETICS & HEREDITY - SCIE","1,850",7.103,0.00317,
Horticulture Research,2662-6810,2052-7276,"GENETICS & HEREDITY - SCIE","2,607",6.793,0.00461,
Clinical Epigenetics,1868-7075,1868-7083,"GENETICS & HEREDITY - SCIE","5,526",6.551,0.01155,
JOURNAL OF MEDICAL GENETICS,0022-2593,1468-6244,"GENETICS & HEREDITY - SCIE","15,071",6.318,0.01350,
HUMAN MOLECULAR GENETICS,0964-6906,1460-2083,"GENETICS & HEREDITY - SCIE","47,192",6.150,0.04752,
CRISPR Journal,2573-1599,2573-1602,"GENETICS & HEREDITY - SCIE","453",6.071,0.00224,
Circulation-Genomic and Precision Medicine,2574-8300,2574-8300,"GENETICS & HEREDITY - SCIE","858",6.054,0.00391,
CANCER GENE THERAPY,0929-1903,1476-5500,"GENETICS & HEREDITY - SCIE","3,768",5.987,0.00272,
PLoS Genetics,1553-7404,1553-7404,"GENETICS & HEREDITY - SCIE","52,461",5.917,0.08582,
GENOMICS,0888-7543,1089-8646,"GENETICS & HEREDITY - SCIE","11,771",5.736,0.00680,
THEORETICAL AND APPLIED GENETICS,0040-5752,1432-2242,"GENETICS & HEREDITY - SCIE","25,124",5.699,0.01258,
HUMAN GENE THERAPY,1043-0342,1557-7422,"GENETICS & HEREDITY - SCIE","7,074",5.695,0.00686,
MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,1383-5742,1388-2139,"GENETICS & HEREDITY - SCIE","4,185",5.657,0.00317,
CURRENT OPINION IN GENETICS & DEVELOPMENT,0959-437X,1879-0380,"GENETICS & HEREDITY - SCIE","8,648",5.578,0.01210,
Genes and Nutrition,1555-8932,1865-3499,"GENETICS & HEREDITY - SCIE","2,090",5.523,0.00174,
Environmental Microbiome,N/A,2524-6372,"GENETICS & HEREDITY - SCIE","56",5.286,0.00010,
GENE THERAPY,0969-7128,1476-5462,"GENETICS & HEREDITY - SCIE","8,112",5.250,0.00413,
CHROMOSOME RESEARCH,0967-3849,1573-6849,"GENETICS & HEREDITY - SCIE","2,752",5.239,0.00225,
Microbial Genomics,2057-5858,2057-5858,"GENETICS & HEREDITY - SCIE","1,939",5.237,0.00644,
Biology of Sex Differences,N/A,2042-6410,"GENETICS & HEREDITY - SCIE","2,153",5.027,0.00407,
GENES CHROMOSOMES & CANCER,1045-2257,1098-2264,"GENETICS & HEREDITY - SCIE","6,108",5.006,0.00481,
JOURNAL OF INHERITED METABOLIC DISEASE,0141-8955,1573-2665,"GENETICS & HEREDITY - SCIE","8,207",4.982,0.00697,
Epigenetics & Chromatin,N/A,1756-8935,"GENETICS & HEREDITY - SCIE","2,461",4.954,0.00724,
DNA REPAIR,1568-7864,1568-7856,"GENETICS & HEREDITY - SCIE","7,382",4.913,0.01050,
Forensic Science International-Genetics,1872-4973,1878-0326,"GENETICS & HEREDITY - SCIE","6,013",4.882,0.00651,
