"Journal Data Filtered By:  Selected JCR Year: 2020 Selected Editions: SCIE,SSCI Selected Categories: 'MEDICAL INFORMATICS' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,Lancet Digital Health,"1,260",24.519,0.003
2,npj Digital Medicine,"2,406",11.653,0.00745
3,JOURNAL OF BIOMEDICAL INFORMATICS,"12,255",6.317,0.01469
4,IEEE Journal of Biomedical and Health Informatics,"7,850",5.772,0.01284
5,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,"12,277",5.428,0.01119
5,JOURNAL OF MEDICAL INTERNET RESEARCH,"26,102",5.428,0.0391
7,ARTIFICIAL INTELLIGENCE IN MEDICINE,"4,245",5.326,0.00422
8,JMIR mHealth and uHealth,"7,694",4.773,0.01552
9,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,"12,078",4.497,0.01691
10,JOURNAL OF MEDICAL SYSTEMS,"8,017",4.46,0.0095
11,Internet Interventions-The Application of Information Technology in Mental and Behavioural Health,"1,658",4.333,0.00331
12,JMIR Serious Games,641,4.143,0.00097
13,INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,"7,651",4.046,0.01044
14,Digital Health,676,3.495,0.00164
15,Health Information Management Journal,541,3.185,0.00054
16,STATISTICAL METHODS IN MEDICAL RESEARCH,"6,654",3.021,0.01573
17,JMIR Medical Informatics,"1,343",2.955,0.00369
18,BMC Medical Informatics and Decision Making,"6,015",2.796,0.00914
19,Health Informatics Journal,"1,497",2.681,0.0023
20,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,"7,019",2.602,0.00451
21,MEDICAL DECISION MAKING,"6,391",2.583,0.00724
22,Informatics for Health & Social Care,511,2.439,0.00083
23,JOURNAL OF EVALUATION IN CLINICAL PRACTICE,"5,408",2.431,0.00534
24,STATISTICS IN MEDICINE,"33,374",2.373,0.0312
25,Applied Clinical Informatics,"1,481",2.342,0.0029
26,INTERNATIONAL JOURNAL OF TECHNOLOGY ASSESSMENT IN HEALTH CARE,"2,522",2.188,0.00176
27,METHODS OF INFORMATION IN MEDICINE,"1,601",2.176,0.00134
28,CIN-COMPUTERS INFORMATICS NURSING,"1,349",1.985,0.0017
29,Therapeutic Innovation & Regulatory Science,907,1.778,0.00205
30,Biomedical Engineering-Biomedizinische Technik,"1,292",1.411,0.00102
Copyright © 2021 Clarivate,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,
