Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,BLOOD,"165,117",17.543,0.205320
2,CIRCULATION RESEARCH,"51,539",14.467,0.071470
3,Journal of Hematology & Oncology,"6,732",11.059,0.015550
4,Lancet Haematology,"2,446",10.406,0.011070
5,LEUKEMIA,"25,819",8.665,0.048640
6,Blood Cancer Journal,"2,800",8.023,0.010400
7,HAEMATOLOGICA,"17,314",7.116,0.034660
8,AMERICAN JOURNAL OF HEMATOLOGY,"10,629",6.973,0.023080
9,ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,"32,385",6.604,0.032080
10,STEM CELLS,"20,554",6.022,0.024110
11,CRITICAL REVIEWS IN ONCOLOGY HEMATOLOGY,"8,477",5.833,0.014250
12,BLOOD REVIEWS,"3,040",5.823,0.005280
13,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,"19,492",5.681,0.024230
14,BRITISH JOURNAL OF HAEMATOLOGY,"23,759",5.518,0.033130
15,BONE MARROW TRANSPLANTATION,"13,085",4.725,0.015830
16,Blood Advances,"3,312",4.584,0.015930
17,SEMINARS IN HEMATOLOGY,"2,234",4.379,0.003270
17,THROMBOSIS AND HAEMOSTASIS,"15,589",4.379,0.020570
19,CYTOTHERAPY,"6,557",4.218,0.008100
20,JOURNAL OF THROMBOSIS AND HAEMOSTASIS,"17,598",4.157,0.025190
21,BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION,"12,667",3.853,0.023760
22,JOURNAL OF LEUKOCYTE BIOLOGY,"16,995",3.757,0.017010
23,Blood Transfusion,"1,905",3.662,0.003730
24,Experimental Hematology & Oncology,633,3.492,0.001420
25,Therapeutic Advances in Hematology,679,3.456,0.001500
26,PLATELETS,"3,276",3.378,0.005580
27,TRANSFUSION MEDICINE REVIEWS,"1,409",3.328,0.002980
28,HEMATOLOGY-ONCOLOGY CLINICS OF NORTH AMERICA,"2,581",3.107,0.004920
29,CURRENT OPINION IN HEMATOLOGY,"2,701",3.097,0.004850
30,STEM CELLS AND DEVELOPMENT,"7,874",3.082,0.010280
31,Hematology-American Society of Hematology Education Program,"2,981",3.000,0.006680
32,HAEMOPHILIA,"5,450",2.990,0.006390
33,LEUKEMIA & LYMPHOMA,"8,640",2.969,0.013770
34,SHOCK,"7,919",2.960,0.010370
35,ANNALS OF HEMATOLOGY,"5,734",2.904,0.010750
36,SEMINARS IN THROMBOSIS AND HEMOSTASIS,"4,074",2.892,0.005260
37,THROMBOSIS RESEARCH,"10,616",2.869,0.017410
38,HEMATOLOGICAL ONCOLOGY,"1,372",2.832,0.003500
39,EXPERIMENTAL HEMATOLOGY,"5,153",2.820,0.005650
40,TRANSFUSION,"13,708",2.800,0.020860
41,BEST PRACTICE & RESEARCH CLINICAL HAEMATOLOGY,"1,342",2.792,0.001600
42,Expert Review of Hematology,"1,459",2.573,0.004060
43,Current Hematologic Malignancy Reports,899,2.531,0.002580
44,BLOOD CELLS MOLECULES AND DISEASES,"3,020",2.460,0.003180
45,PEDIATRIC BLOOD & CANCER,"11,805",2.355,0.023440
46,VOX SANGUINIS,"3,368",2.347,0.005020
47,Clinical Lymphoma Myeloma & Leukemia,"2,374",2.298,0.005580
48,Thrombosis Journal,773,2.295,0.001890
49,INTERNATIONAL JOURNAL OF HEMATOLOGY,"4,046",2.245,0.006200
50,EUROPEAN JOURNAL OF HAEMATOLOGY,"4,515",2.220,0.006720
51,LEUKEMIA RESEARCH,"5,918",2.214,0.006910
52,TRANSFUSION MEDICINE,"1,433",2.159,0.002390
53,International Journal of Laboratory Hematology,"1,844",2.141,0.003750
54,BLOOD PURIFICATION,"2,062",2.116,0.003080
55,MICROCIRCULATION,"2,462",2.110,0.002700
56,JOURNAL OF THROMBOSIS AND THROMBOLYSIS,"2,794",2.054,0.005740
57,TRANSFUSION MEDICINE AND HEMOTHERAPY,"1,223",1.937,0.002610
58,CLINICAL HEMORHEOLOGY AND MICROCIRCULATION,"2,147",1.741,0.002180
59,Turkish Journal of Hematology,452,1.685,0.000690
60,Hematology,"1,373",1.650,0.002050
61,JOURNAL OF CLINICAL APHERESIS,"1,365",1.629,0.001670
62,Indian Journal of Hematology and Blood Transfusion,717,1.615,0.001230
63,Mediterranean Journal of Hematology and Infectious Diseases,867,1.600,0.001350
64,CLINICAL AND APPLIED THROMBOSIS-HEMOSTASIS,"1,945",1.374,0.003400
65,TRANSFUSION AND APHERESIS SCIENCE,"1,947",1.285,0.003040
66,PEDIATRIC HEMATOLOGY AND ONCOLOGY,"1,298",1.232,0.001440
67,BLOOD COAGULATION & FIBRINOLYSIS,"2,388",1.203,0.002600
68,TRANSFUSION CLINIQUE ET BIOLOGIQUE,535,1.200,0.000720
69,ACTA HAEMATOLOGICA,"1,562",1.196,0.001440
70,THERAPEUTIC APHERESIS AND DIALYSIS,"1,488",1.041,0.001700
71,JOURNAL OF PEDIATRIC HEMATOLOGY ONCOLOGY,"3,720",1.016,0.004920
72,BIORHEOLOGY,"1,411",0.889,0.000350
73,Hamostaseologie,523,0.873,0.000670
74,Journal of Hematopathology,112,0.657,0.000110
75,HEMOGLOBIN,917,0.526,0.000970
76,GEMATOLOGIYA I TRANSFUZIOLOGIYA,46,0.125,0.000020
