Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,NATURE REVIEWS MOLECULAR CELL BIOLOGY,"58,477",94.444,0.07548
2,NATURE MEDICINE,"114,401",53.44,0.18405
3,CELL,"320,407",41.582,0.52696
4,PHYSIOLOGICAL REVIEWS,"35,633",37.312,0.02338
5,CANCER CELL,"50,839",31.743,0.08104
6,NATURE CELL BIOLOGY,"52,554",28.824,0.07095
7,Molecular Cancer,"24,931",27.401,0.03003
8,Cell Metabolism,"52,192",27.287,0.091
9,Journal of Extracellular Vesicles,"8,485",25.841,0.01182
10,CELL RESEARCH,"24,108",25.617,0.0344
11,Cell Stem Cell,"32,147",24.633,0.06278
12,Annual Review of Biochemistry,"24,394",23.643,0.02145
13,TRENDS IN CELL BIOLOGY,"19,007",20.808,0.03012
14,Annual Review of Physiology,"11,515",19.318,0.00994
15,Signal Transduction and Targeted Therapy,"3,848",18.187,0.00573
16,MOLECULAR CELL,"86,299",17.97,0.16184
17,Science Translational Medicine,"45,509",17.956,0.10378
18,TRENDS IN MICROBIOLOGY,"17,553",17.079,0.02282
19,NUCLEIC ACIDS RESEARCH,"248,139",16.971,0.38707
20,MOLECULAR BIOLOGY AND EVOLUTION,"61,557",16.24,0.08227
21,PROGRESS IN LIPID RESEARCH,"7,328",16.195,0.00453
22,Autophagy,"25,343",16.016,0.02797
23,MOLECULAR PSYCHIATRY,"28,622",15.992,0.04622
24,CELL DEATH AND DIFFERENTIATION,"27,701",15.828,0.02873
25,NATURE STRUCTURAL & MOLECULAR BIOLOGY,"32,038",15.369,0.05121
26,Nature Chemical Biology,"27,428",15.04,0.04788
27,Protein & Cell,"5,352",14.87,0.0095
28,MOLECULAR ASPECTS OF MEDICINE,"8,136",14.235,0.00664
29,Annual Review of Cell and Developmental Biology,"11,884",13.827,0.0111
30,TRENDS IN BIOCHEMICAL SCIENCES,"22,003",13.807,0.02576
31,Bone Research,"2,665",13.567,0.00441
32,NATURAL PRODUCT REPORTS,"13,293",13.423,0.01116
33,Molecular Plant,"15,778",13.164,0.02686
34,JOURNAL OF PINEAL RESEARCH,"12,492",13.007,0.00817
35,BIOLOGICAL REVIEWS,"17,047",12.82,0.01975
36,DEVELOPMENTAL CELL,"36,177",12.27,0.05835
37,Advances in Carbohydrate Chemistry and Biochemistry,752,12.2,0.0002
38,TRENDS IN MOLECULAR MEDICINE,"13,213",11.951,0.01472
39,Redox Biology,"15,982",11.799,0.02493
40,EMBO JOURNAL,"76,189",11.598,0.055
41,MATRIX BIOLOGY,"8,972",11.583,0.01101
42,Molecular Systems Biology,"10,149",11.429,0.0163
43,GENES & DEVELOPMENT,"61,885",11.361,0.04866
44,PLANT CELL,"64,794",11.277,0.03626
45,Physics of Life Reviews,"1,942",11.025,0.00328
46,AGEING RESEARCH REVIEWS,"10,264",10.895,0.01351
47,Cell Discovery,"3,492",10.849,0.00677
48,CURRENT BIOLOGY,"78,289",10.834,0.1161
49,BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,"7,025",10.68,0.007
50,JOURNAL OF CELL BIOLOGY,"79,173",10.539,0.05707
51,npj Regenerative Medicine,831,10.364,0.00218
52,Cell Systems,"5,813",10.304,0.03533
53,Cold Spring Harbor Perspectives in Biology,"22,738",10.005,0.03046
54,Wiley Interdisciplinary Reviews-RNA,"3,743",9.957,0.00822
55,ONCOGENE,"77,576",9.867,0.05918
56,Cell Reports,"73,442",9.423,0.2544
57,AGING CELL,"13,890",9.304,0.01795
58,CELLULAR AND MOLECULAR LIFE SCIENCES,"34,003",9.261,0.03379
59,Comprehensive Physiology,"6,720",9.09,0.00825
60,GENOME RESEARCH,"47,141",9.043,0.06469
61,PHYSIOLOGY,"4,651",8.831,0.00506
62,CURRENT OPINION IN CHEMICAL BIOLOGY,"12,240",8.822,0.01419
63,EMBO REPORTS,"19,502",8.807,0.02749
64,EXPERIMENTAL AND MOLECULAR MEDICINE,"8,780",8.718,0.01326
65,BIOSCIENCE,"22,560",8.589,0.01247
66,Cell Death & Disease,"40,835",8.469,0.06377
67,JOURNAL OF BIOMEDICAL SCIENCE,"6,621",8.41,0.00733
68,ANTIOXIDANTS & REDOX SIGNALING,"26,971",8.401,0.0167
69,CURRENT OPINION IN CELL BIOLOGY,"15,784",8.382,0.01975
70,CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY,"4,576",8.25,0.00537
71,Science Signaling,"15,954",8.192,0.02391
72,eLife,"68,113",8.14,0.28782
73,Cell Chemical Biology,"5,236",8.116,0.01805
74,PLOS BIOLOGY,"39,598",8.029,0.05992
75,Essays in Biochemistry,"3,629",8,0.00645
76,Journal of Tissue Engineering,"1,442",7.813,0.00176
77,BIOINORGANIC CHEMISTRY AND APPLICATIONS,"1,406",7.778,0.00089
78,Stem Cell Reports,"10,762",7.765,0.02929
79,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY,"14,105",7.727,0.02144
80,Acta Crystallographica Section D-Structural Biology,"23,670",7.652,0.02019
81,CYTOKINE & GROWTH FACTOR REVIEWS,"7,650",7.638,0.00585
82,BMC BIOLOGY,"8,577",7.431,0.01575
83,FREE RADICAL BIOLOGY AND MEDICINE,"52,714",7.376,0.03418
84,Computational and Structural Biotechnology Journal,"3,620",7.271,0.00677
85,AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS,"2,202",7.141,0.00328
86,Cell and Bioscience,"3,184",7.133,0.00432
87,Genes & Diseases,"1,850",7.103,0.00317
88,Molecular Ecology Resources,"13,390",7.09,0.01669
89,Journal of Integrative Plant Biology,"6,749",7.061,0.00643
90,BIOMACROMOLECULES,"45,724",6.988,0.02602
91,INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,"79,246",6.953,0.07372
92,Stem Cells Translational Medicine,"7,964",6.94,0.01192
93,AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,"15,280",6.914,0.01505
94,DEVELOPMENT,"63,735",6.868,0.06186
95,Stem Cell Research & Therapy,"13,356",6.832,0.0189
96,CELL PROLIFERATION,"5,130",6.831,0.00513
97,CELL CALCIUM,"6,842",6.817,0.00625
