Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,2022 JCI,5 Year JIF,JIF Rank,JCI Rank
"LANCET NEUROLOGY","LANCET NEUROL","1474-4422","1474-4465","CLINICAL NEUROLOGY - SCIE","48","12.81","51.3"," 1/212 "," 1/267 "
"Nature Reviews Neurology","NAT REV NEUROL","1759-4758","1759-4766","CLINICAL NEUROLOGY - SCIE","38.1","6.27","44.3"," 2/212 "," 3/267 "
"JAMA Neurology","JAMA NEUROL","2168-6149","2168-6157","CLINICAL NEUROLOGY - SCIE","29","7.28","22.2"," 3/212 "," 2/267 "
"NEURO-ONCOLOGY","NEURO-ONCOLOGY","1522-8517","1523-5866","CLINICAL NEUROLOGY - SCIE","15.9","3.21","15.1"," 4/212 "," 7/267 "
"BRAIN","BRAIN","0006-8950","1460-2156","CLINICAL NEUROLOGY - SCIE","14.5","3.32","14.6"," 5/212 "," 6/267 "
"Alzheimers & Dementia","ALZHEIMERS DEMENT","1552-5260","1552-5279","CLINICAL NEUROLOGY - SCIE","14","3.74","18"," 6/212 "," 4/267 "
"ACTA NEUROPATHOLOGICA","ACTA NEUROPATHOL","0001-6322","1432-0533","CLINICAL NEUROLOGY - SCIE","12.7","3.45","16.2"," 7/212 "," 5/267 "
"PSYCHIATRY AND CLINICAL NEUROSCIENCES","PSYCHIAT CLIN NEUROS","1323-1316","1440-1819","CLINICAL NEUROLOGY - SCIE","11.9","0.99","7.6"," 8/212 "," 77/267 "
"ANNALS OF NEUROLOGY","ANN NEUROL","0364-5134","1531-8249","CLINICAL NEUROLOGY - SCIE","11.2","2.77","11.4"," 9/212 "," 8/267 "
"JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY","J NEUROL NEUROSUR PS","0022-3050","1468-330X","CLINICAL NEUROLOGY - SCIE","11","2.77","10.7"," 10/212 "," 8/267 "
"SLEEP MEDICINE REVIEWS","SLEEP MED REV","1087-0792","1532-2955","CLINICAL NEUROLOGY - SCIE","10.5","1.7","13.6"," 11/212 "," 19/267 "
"NEUROLOGY","NEUROLOGY","0028-3878","1526-632X","CLINICAL NEUROLOGY - SCIE","9.9","2.58","10.3"," 12/212 "," 10/267 "
"Alzheimers Research & Therapy","ALZHEIMERS RES THER","N/A","1758-9193","CLINICAL NEUROLOGY - SCIE","9","2.06","9.2"," 13/212 "," 12/267 "
"Neurology-Neuroimmunology & Neuroinflammation","NEUROL-NEUROIMMUNOL","2332-7812","2332-7812","CLINICAL NEUROLOGY - SCIE","8.8","2.16","8.6"," 14/212 "," 11/267 "
"MOVEMENT DISORDERS","MOVEMENT DISORD","0885-3185","1531-8257","CLINICAL NEUROLOGY - SCIE","8.6","1.97","9.5"," 15/212 "," 14/267 "
"STROKE","STROKE","0039-2499","1524-4628","CLINICAL NEUROLOGY - SCIE","8.3","1.98","8.8"," 16/212 "," 13/267 "
"Journal of Stroke","J STROKE","2287-6391","2287-6405","CLINICAL NEUROLOGY - SCIE","8.2","1.24","9"," 17/212 "," 49/267 "
"Brain Stimulation","BRAIN STIMUL","1935-861X","1876-4754","CLINICAL NEUROLOGY - SCIE","7.7","1.78","8.3"," 18/212 "," 18/267 "
"PAIN","PAIN","0304-3959","1872-6623","CLINICAL NEUROLOGY - SCIE","7.4","1.92","7.7"," 19/212 "," 15/267 "
"JOURNAL OF HEADACHE AND PAIN","J HEADACHE PAIN","1129-2369","1129-2377","CLINICAL NEUROLOGY - SCIE","7.4","1.61","7.1"," 19/212 "," 20/267 "
"Translational Stroke Research","TRANSL STROKE RES","1868-4483","1868-601X","CLINICAL NEUROLOGY - SCIE","6.9","1.51","6.5"," 21/212 "," 27/267 "
"International Journal of Stroke","INT J STROKE","1747-4930","1747-4949","CLINICAL NEUROLOGY - SCIE","6.7","1.41","6.5"," 22/212 "," 33/267 "
"JOURNAL OF AFFECTIVE DISORDERS","J AFFECT DISORDERS","0165-0327","1573-2517","CLINICAL NEUROLOGY - SCIE","6.6","1.49","6.3"," 23/212 "," 28/267 "
"BRAIN PATHOLOGY","BRAIN PATHOL","1015-6305","1750-3639","CLINICAL NEUROLOGY - SCIE","6.4","1.82","6.5"," 24/212 "," 17/267 "
"JPAD-Journal of Prevention of Alzheimers Disease","JPAD-J PREV ALZHEIM","2274-5807","2426-0266","CLINICAL NEUROLOGY - SCIE","6.4","1.41","5.9"," 24/212 "," 33/267 "
"European Stroke Journal","EUR STROKE J","2396-9873","2396-9881","CLINICAL NEUROLOGY - SCIE","6.1","1.56","6.4"," 26/212 "," 25/267 "
"JOURNAL OF NEUROLOGY","J NEUROL","0340-5354","1432-1459","CLINICAL NEUROLOGY - SCIE","6","1.37","5.6"," 27/212 "," 35/267 "
"CNS DRUGS","CNS DRUGS","1172-7047","1179-1934","CLINICAL NEUROLOGY - SCIE","6","1.26","6.2"," 27/212 "," 42/267 "
"Stroke and Vascular Neurology","STROKE VASC NEUROL","2059-8688","2059-8696","CLINICAL NEUROLOGY - SCIE","5.9","1.61","7.3"," 29/212 "," 20/267 "
"Therapeutic Advances in Neurological Disorders","THER ADV NEUROL DISO","1756-2856","1756-2864","CLINICAL NEUROLOGY - SCIE","5.9","1.46","5.8"," 29/212 "," 31/267 "
"Multiple Sclerosis Journal","MULT SCLER J","1352-4585","1477-0970","CLINICAL NEUROLOGY - SCIE","5.8","1.3","5.6"," 31/212 "," 40/267 "
"CLINICAL AUTONOMIC RESEARCH","CLIN AUTON RES","0959-9851","1619-1560","CLINICAL NEUROLOGY - SCIE","5.8","0.98","4.8"," 31/212 "," 78/267 "
"Neurotherapeutics","NEUROTHERAPEUTICS","1933-7213","1878-7479","CLINICAL NEUROLOGY - SCIE","5.7","1.23","7.5"," 33/212 "," 51/267 "
"NEUROEPIDEMIOLOGY","NEUROEPIDEMIOLOGY","0251-5350","1423-0208","CLINICAL NEUROLOGY - SCIE","5.7","1.1","4.6"," 33/212 "," 62/267 "
"EPILEPSIA","EPILEPSIA","0013-9580","1528-1167","CLINICAL NEUROLOGY - SCIE","5.6","1.58","6.5"," 35/212 "," 24/267 "
"PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY","PROG NEURO-PSYCHOPH","0278-5846","1878-4216","CLINICAL NEUROLOGY - SCIE","5.6","1.48","5.3"," 35/212 "," 29/267 "
"SLEEP","SLEEP","0161-8105","1550-9109","CLINICAL NEUROLOGY - SCIE","5.6","1.33","6"," 35/212 "," 37/267 "
"EUROPEAN NEUROPSYCHOPHARMACOLOGY","EUR NEUROPSYCHOPHARM","0924-977X","1873-7862","CLINICAL NEUROLOGY - SCIE","5.6","1.13","5.2"," 35/212 "," 56/267 "
"NEUROSCIENTIST","NEUROSCIENTIST","1073-8584","1089-4098","CLINICAL NEUROLOGY - SCIE","5.6","1.12","7.3"," 35/212 "," 59/267 "
"Current Neurology and Neuroscience Reports","CURR NEUROL NEUROSCI","1528-4042","1534-6293","CLINICAL NEUROLOGY - SCIE","5.6","0.8","6.1"," 35/212 "," 105/267 "
"BIPOLAR DISORDERS","BIPOLAR DISORD","1398-5647","1399-5618","CLINICAL NEUROLOGY - SCIE","5.4","0.97","5.8"," 41/212 "," 80/267 "
"Annals of Clinical and Translational Neurology","ANN CLIN TRANSL NEUR","2328-9503","2328-9503","CLINICAL NEUROLOGY - SCIE","5.3","1.26","5"," 42/212 "," 42/267 "
"EUROPEAN JOURNAL OF NEUROLOGY","EUR J NEUROL","1351-5101","1468-1331","CLINICAL NEUROLOGY - SCIE","5.1","1.26","5.4"," 43/212 "," 42/267 "
"HEADACHE","HEADACHE","0017-8748","1526-4610","CLINICAL NEUROLOGY - SCIE","5","1.25","4.8"," 44/212 "," 47/267 "
"NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY","NEUROPATH APPL NEURO","0305-1846","1365-2990","CLINICAL NEUROLOGY - SCIE","5","1.24","6.3"," 44/212 "," 49/267 "
"CEPHALALGIA","CEPHALALGIA","0333-1024","1468-2982","CLINICAL NEUROLOGY - SCIE","4.9","1.26","5.7"," 46/212 "," 42/267 "
"Journal of Neurodevelopmental Disorders","J NEURODEV DISORD","1866-1947","1866-1955","CLINICAL NEUROLOGY - SCIE","4.9","1.02","5.2"," 46/212 "," 72/267 "
"NEUROSURGERY","NEUROSURGERY","0148-396X","1524-4040","CLINICAL NEUROLOGY - SCIE","4.8","1.59","5"," 48/212 "," 23/267 "
"SLEEP MEDICINE","SLEEP MED","1389-9457","1878-5506","CLINICAL NEUROLOGY - SCIE","4.8","1.25","4.6"," 48/212 "," 47/267 "
"INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY","INT J NEUROPSYCHOPH","1461-1457","1469-5111","CLINICAL NEUROLOGY - SCIE","4.8","1.21","5.1"," 48/212 "," 53/267 "
"CURRENT OPINION IN NEUROLOGY","CURR OPIN NEUROL","1350-7540","1473-6551","CLINICAL NEUROLOGY - SCIE","4.8","0.81","5.8"," 48/212 "," 103/267 "
"JOURNAL OF PAIN AND SYMPTOM MANAGEMENT","J PAIN SYMPTOM MANAG","0885-3924","1873-6513","CLINICAL NEUROLOGY - SCIE","4.7","1.36","4.8"," 52/212 "," 36/267 "
"EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE","EUR ARCH PSY CLIN N","0940-1334","1433-8491","CLINICAL NEUROLOGY - SCIE","4.7","1.13","4.4"," 52/212 "," 56/267 "
"CLINICAL NEUROPHYSIOLOGY","CLIN NEUROPHYSIOL","1388-2457","1872-8952","CLINICAL NEUROLOGY - SCIE","4.7","1.04","4.5"," 52/212 "," 69/267 "
"Spine Journal","SPINE J","1529-9430","1878-1632","CLINICAL NEUROLOGY - SCIE","4.5","1.54","4.6"," 55/212 "," 26/267 "
"JOURNAL OF SLEEP RESEARCH","J SLEEP RES","0962-1105","1365-2869","CLINICAL NEUROLOGY - SCIE","4.4","1.02","4.5"," 56/212 "," 72/267 "
"JOURNAL OF THE NEUROLOGICAL SCIENCES","J NEUROL SCI","0022-510X","1878-5883","CLINICAL NEUROLOGY - SCIE","4.4","0.85","3.8"," 56/212 "," 95/267 "
"Journal of Clinical Sleep Medicine","J CLIN SLEEP MED","1550-9389","1550-9397","CLINICAL NEUROLOGY - SCIE","4.3","1.14","5.3"," 58/212 "," 55/267 "
