Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,2022 JCI,5 Year JIF,JIF Rank,JCI Rank
"NATURE REVIEWS GENETICS","NAT REV GENET","1471-0056","1471-0064","GENETICS & HEREDITY - SCIE","42.7","6.25","53.1"," 1/171 "," 2/189 "
"NATURE GENETICS","NAT GENET","1061-4036","1546-1718","GENETICS & HEREDITY - SCIE","30.8","9.38","37.4"," 2/171 "," 1/189 "
"TRENDS IN ECOLOGY & EVOLUTION","TRENDS ECOL EVOL","0169-5347","1872-8383","GENETICS & HEREDITY - SCIE","16.8","1.89","18.1"," 3/171 "," 12/189 "
"MOLECULAR THERAPY","MOL THER","1525-0016","1525-0024","GENETICS & HEREDITY - SCIE","12.4","2.72","12.6"," 4/171 "," 5/189 "
"GENOME BIOLOGY","GENOME BIOL","1474-760X","1474-760X","GENETICS & HEREDITY - SCIE","12.3","3.28","17.4"," 5/171 "," 3/189 "
"Genome Medicine","GENOME MED","1756-994X","1756-994X","GENETICS & HEREDITY - SCIE","12.3","2.97","13.8"," 5/171 "," 4/189 "
"TRENDS IN GENETICS","TRENDS GENET","0168-9525","1362-4555","GENETICS & HEREDITY - SCIE","11.4","1.42","12.1"," 7/171 "," 20/189 "
"Annual Review of Genetics","ANNU REV GENET","0066-4197","1545-2948","GENETICS & HEREDITY - SCIE","11.1","1.34","15.1"," 8/171 "," 23/189 "
"MOLECULAR BIOLOGY AND EVOLUTION","MOL BIOL EVOL","0737-4038","1537-1719","GENETICS & HEREDITY - SCIE","10.7","2.19","15.1"," 9/171 "," 8/189 "
"GENES & DEVELOPMENT","GENE DEV","0890-9369","1549-5477","GENETICS & HEREDITY - SCIE","10.5","2.04","11.7"," 10/171 "," 11/189 "
"AMERICAN JOURNAL OF HUMAN GENETICS","AM J HUM GENET","0002-9297","1537-6605","GENETICS & HEREDITY - SCIE","9.8","2.59","11.8"," 11/171 "," 6/189 "
"GENOMICS PROTEOMICS & BIOINFORMATICS","GENOM PROTEOM BIOINF","1672-0229","2210-3244","GENETICS & HEREDITY - SCIE","9.5","2.08","10.1"," 12/171 "," 10/189 "
"GENETICS IN MEDICINE","GENET MED","1098-3600","1530-0366","GENETICS & HEREDITY - SCIE","8.8","2.11","8.9"," 13/171 "," 9/189 "
"Horticulture Research","HORTIC RES-ENGLAND","2662-6810","2052-7276","GENETICS & HEREDITY - SCIE","8.7","2.22","9"," 14/171 "," 7/189 "
"Annual Review of Genomics and Human Genetics","ANNU REV GENOM HUM G","1527-8204","1545-293X","GENETICS & HEREDITY - SCIE","8.7","1.09","9.9"," 14/171 "," 33/189 "
"ONCOGENE","ONCOGENE","0950-9232","1476-5594","GENETICS & HEREDITY - SCIE","8","1.55","8.8"," 16/171 "," 14/189 "
"Environmental Microbiome","ENVIRON MICROBIOME","N/A","2524-6372","GENETICS & HEREDITY - SCIE","7.9","1.55","7.8"," 17/171 "," 14/189 "
"Biology of Sex Differences","BIOL SEX DIFFER","N/A","2042-6410","GENETICS & HEREDITY - SCIE","7.9","1.39","6.9"," 17/171 "," 22/189 "
"Circulation-Genomic and Precision Medicine","CIRC-GENOM PRECIS ME","2574-8300","2574-8300","GENETICS & HEREDITY - SCIE","7.4","1.49","7.4"," 19/171 "," 16/189 "
"GENOME RESEARCH","GENOME RES","1088-9051","1549-5469","GENETICS & HEREDITY - SCIE","7","1.8","11.8"," 20/171 "," 13/189 "
"Genes & Diseases","GENES DIS","2352-4820","2352-3042","GENETICS & HEREDITY - SCIE","6.8","1.11","7.8"," 21/171 "," 30/189 "
"CANCER GENE THERAPY","CANCER GENE THER","0929-1903","1476-5500","GENETICS & HEREDITY - SCIE","6.4","1.23","6.1"," 22/171 "," 28/189 "
"Molecular Autism","MOL AUTISM","2040-2392","2040-2392","GENETICS & HEREDITY - SCIE","6.2","1.46","7.2"," 23/171 "," 18/189 "
"Journal of Genetics and Genomics","J GENET GENOMICS","1673-8527","1873-5533","GENETICS & HEREDITY - SCIE","5.9","0.89","5.9"," 24/171 "," 54/189 "
"Clinical Epigenetics","CLIN EPIGENETICS","1868-7075","1868-7083","GENETICS & HEREDITY - SCIE","5.7","1.24","6.7"," 25/171 "," 27/189 "
"THEORETICAL AND APPLIED GENETICS","THEOR APPL GENET","0040-5752","1432-2242","GENETICS & HEREDITY - SCIE","5.4","1.42","5.7"," 26/171 "," 20/189 "
"npj Genomic Medicine","NPJ GENOM MED","N/A","2056-7944","GENETICS & HEREDITY - SCIE","5.3","1.34","6"," 27/171 "," 23/189 "
"HUMAN GENETICS","HUM GENET","0340-6717","1432-1203","GENETICS & HEREDITY - SCIE","5.3","1.02","5.2"," 27/171 "," 41/189 "
"MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH","MUTAT RES-REV MUTAT","1383-5742","1388-2139","GENETICS & HEREDITY - SCIE","5.3","0.83","6.1"," 27/171 "," 66/189 "
"EUROPEAN JOURNAL OF HUMAN GENETICS","EUR J HUM GENET","1018-4813","1476-5438","GENETICS & HEREDITY - SCIE","5.2","1.04","4.6"," 30/171 "," 38/189 "
"GENE THERAPY","GENE THER","0969-7128","1476-5462","GENETICS & HEREDITY - SCIE","5.1","0.96","4.9"," 31/171 "," 45/189 "
"GENES AND IMMUNITY","GENES IMMUN","1466-4879","1476-5470","GENETICS & HEREDITY - SCIE","5","0.68","3.6"," 32/171 "," 92/189 "
"Mobile DNA","MOBILE DNA-UK","1759-8753","1759-8753","GENETICS & HEREDITY - SCIE","4.9","1.16","4.5"," 33/171 "," 29/189 "
"JOURNAL OF MOLECULAR MEDICINE-JMM","J MOL MED","0946-2716","1432-1440","GENETICS & HEREDITY - SCIE","4.7","0.93","5.1"," 34/171 "," 50/189 "
"PHYSIOLOGICAL GENOMICS","PHYSIOL GENOMICS","1094-8341","1531-2267","GENETICS & HEREDITY - SCIE","4.6","0.7","4.1"," 35/171 "," 90/189 "
"PLoS Genetics","PLOS GENET","1553-7404","1553-7404","GENETICS & HEREDITY - SCIE","4.5","1.31","5.5"," 36/171 "," 25/189 "
"Human Genomics","HUM GENOMICS","1473-9542","1479-7364","GENETICS & HEREDITY - SCIE","4.5","1.04","4.9"," 36/171 "," 38/189 "
"GENOMICS","GENOMICS","0888-7543","1089-8646","GENETICS & HEREDITY - SCIE","4.4","1.11","4.2"," 38/171 "," 30/189 "
"BMC GENOMICS","BMC GENOMICS","1471-2164","1471-2164","GENETICS & HEREDITY - SCIE","4.4","1.01","4.7"," 38/171 "," 42/189 "
"MITOCHONDRION","MITOCHONDRION","1567-7249","1872-8278","GENETICS & HEREDITY - SCIE","4.4","0.73","4.3"," 38/171 "," 88/189 "
"Plant Genome","PLANT GENOME-US","N/A","1940-3372","GENETICS & HEREDITY - SCIE","4.2","1.09","4.7"," 41/171 "," 33/189 "
"JOURNAL OF INHERITED METABOLIC DISEASE","J INHERIT METAB DIS","0141-8955","1573-2665","GENETICS & HEREDITY - SCIE","4.2","1.03","4.6"," 41/171 "," 40/189 "
"HUMAN GENE THERAPY","HUM GENE THER","1043-0342","1557-7422","GENETICS & HEREDITY - SCIE","4.2","0.96","4.7"," 41/171 "," 45/189 "
"GENETICS SELECTION EVOLUTION","GENET SEL EVOL","0999-193X","1297-9686","GENETICS & HEREDITY - SCIE","4.1","1.49","4.7"," 44/171 "," 16/189 "
"MOLECULAR PHYLOGENETICS AND EVOLUTION","MOL PHYLOGENET EVOL","1055-7903","1095-9513","GENETICS & HEREDITY - SCIE","4.1","1.08","4"," 44/171 "," 36/189 "
"DNA RESEARCH","DNA RES","1340-2838","1756-1663","GENETICS & HEREDITY - SCIE","4.1","0.96","4.4"," 44/171 "," 45/189 "
"JOURNAL OF MEDICAL GENETICS","J MED GENET","0022-2593","1468-6244","GENETICS & HEREDITY - SCIE","4","1.3","4.9"," 47/171 "," 26/189 "
"Molecular Diagnosis & Therapy","MOL DIAGN THER","1177-1062","1179-2000","GENETICS & HEREDITY - SCIE","4","0.79","3.9"," 47/171 "," 72/189 "
"Briefings in Functional Genomics","BRIEF FUNCT GENOMICS","2041-2649","2041-2657","GENETICS & HEREDITY - SCIE","4","0.66","4.3"," 47/171 "," 96/189 "
"CURRENT OPINION IN GENETICS & DEVELOPMENT","CURR OPIN GENET DEV","0959-437X","1879-0380","GENETICS & HEREDITY - SCIE","4","0.63","4.9"," 47/171 "," 102/189 "
"Epigenetics & Chromatin","EPIGENET CHROMATIN","N/A","1756-8935","GENETICS & HEREDITY - SCIE","3.9","1.08","5.1"," 51/171 "," 36/189 "
"HUMAN MUTATION","HUM MUTAT","1059-7794","1098-1004","GENETICS & HEREDITY - SCIE","3.9","0.98","4.5"," 51/171 "," 43/189 "
