Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,2022 JCI,5 Year JIF,JIF Rank,JCI Rank
"AGEING RESEARCH REVIEWS","AGEING RES REV","1568-1637","1872-9649","GERIATRICS & GERONTOLOGY - SCIE","13.1","1.53","14.5"," 1/54 "," 7/69 ",
"Journal of Cachexia Sarcopenia and Muscle","J CACHEXIA SARCOPENI","2190-5991","2190-6009","GERIATRICS & GERONTOLOGY - SCIE","8.9","1.92","10.7"," 2/54 "," 5/69 ",
"Immunity & Ageing","IMMUN AGEING","1742-4933","1742-4933","GERIATRICS & GERONTOLOGY - SCIE","7.9","1.41","6.9"," 3/54 "," 12/69 ",
"AGING CELL","AGING CELL","1474-9718","1474-9726","GERIATRICS & GERONTOLOGY - SCIE","7.8","1.53","9.2"," 4/54 "," 7/69 ",
"Journal of the American Medical Directors Association","J AM MED DIR ASSOC","1525-8610","1538-9375","GERIATRICS & GERONTOLOGY - SCIE","7.6","1.44","6.9"," 5/54 "," 11/69 ",
"Aging and Disease","AGING DIS","2152-5250","2152-5250","GERIATRICS & GERONTOLOGY - SCIE","7.4","1.36","7.7"," 6/54 "," 14/69 ",
"AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY","AM J GERIAT PSYCHIAT","1064-7481","1545-7214","GERIATRICS & GERONTOLOGY - SCIE","7.2","1.57","5.7"," 7/54 "," 6/69 ",
"INTERNATIONAL PSYCHOGERIATRICS","INT PSYCHOGERIATR","1041-6102","1741-203X","GERIATRICS & GERONTOLOGY - SCIE","7","1.24","5.1"," 8/54 "," 16/69 ",
"Innovation in Aging","INNOV AGING","N/A","2399-5300","GERIATRICS & GERONTOLOGY - SCIE","7","0.86","8.7"," 8/54 "," 27/69 ",
"AGE AND AGEING","AGE AGEING","0002-0729","1468-2834","GERIATRICS & GERONTOLOGY - SCIE","6.7","1.97","9"," 10/54 "," 4/69 ",
"JOURNAL OF THE AMERICAN GERIATRICS SOCIETY","J AM GERIATR SOC","0002-8614","1532-5415","GERIATRICS & GERONTOLOGY - SCIE","6.3","1.47","6.1"," 11/54 "," 10/69 ",
"European Review of Aging and Physical Activity","EUR REV AGING PHYS A","1813-7253","1861-6909","GERIATRICS & GERONTOLOGY - SCIE","6.3","1.11","5.5"," 11/54 "," 19/69 ",
"JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES","J GERONTOL B-PSYCHOL","1079-5014","1758-5368","GERIATRICS & GERONTOLOGY - SCIE","6.2","2.1","5.7"," 13/54 "," 3/69 ",
"Journal of Nutrition Health & Aging","J NUTR HEALTH AGING","1279-7707","1760-4788","GERIATRICS & GERONTOLOGY - SCIE","5.8","1.14","5.1"," 14/54 "," 18/69 ",
"GeroScience","GEROSCIENCE","2509-2715","2509-2723","GERIATRICS & GERONTOLOGY - SCIE","5.6","1.26","5.7"," 15/54 "," 15/69 ",
"MECHANISMS OF AGEING AND DEVELOPMENT","MECH AGEING DEV","0047-6374","1872-6216","GERIATRICS & GERONTOLOGY - SCIE","5.3","1.01","5.2"," 16/54 "," 23/69 ",
"Aging-US","AGING-US","1945-4589","N/A","GERIATRICS & GERONTOLOGY - SCIE","5.2","0.97","5.8"," 17/54 "," 25/69 ",
"JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES","J GERONTOL A-BIOL","1079-5006","1758-535X","GERIATRICS & GERONTOLOGY - SCIE","5.1","1.5","5.6"," 18/54 "," 9/69 ",
"MATURITAS","MATURITAS","0378-5122","1873-4111","GERIATRICS & GERONTOLOGY - SCIE","4.9","1.24","5.2"," 19/54 "," 16/69 ",
"Frontiers in Aging Neuroscience","FRONT AGING NEUROSCI","1663-4365","1663-4365","GERIATRICS & GERONTOLOGY - SCIE","4.8","0.97","5.7"," 20/54 "," 25/69 ",
"BIOGERONTOLOGY","BIOGERONTOLOGY","1389-5729","1573-6768","GERIATRICS & GERONTOLOGY - SCIE","4.5","0.82","4.8"," 21/54 "," 31/69 ",
"NEUROBIOLOGY OF AGING","NEUROBIOL AGING","0197-4580","1558-1497","GERIATRICS & GERONTOLOGY - SCIE","4.2","1.08","4.7"," 22/54 "," 21/69 ",
"BMC Geriatrics","BMC GERIATR","N/A","1471-2318","GERIATRICS & GERONTOLOGY - SCIE","4.1","1","4.9"," 23/54 "," 24/69 ",
"INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY","INT J GERIATR PSYCH","0885-6230","1099-1166","GERIATRICS & GERONTOLOGY - SCIE","4","0.84","4.1"," 24/54 "," 29/69 ",
"AGING CLINICAL AND EXPERIMENTAL RESEARCH","AGING CLIN EXP RES","1594-0667","1720-8319","GERIATRICS & GERONTOLOGY - SCIE","4","0.83","4"," 24/54 "," 30/69 ",
"ARCHIVES OF GERONTOLOGY AND GERIATRICS","ARCH GERONTOL GERIAT","0167-4943","1872-6976","GERIATRICS & GERONTOLOGY - SCIE","4","0.82","4"," 24/54 "," 31/69 ",
"EXPERIMENTAL GERONTOLOGY","EXP GERONTOL","0531-5565","1873-6815","GERIATRICS & GERONTOLOGY - SCIE","3.9","0.85","4.3"," 27/54 "," 28/69 ",
"European Geriatric Medicine","EUR GERIATR MED","1878-7649","1878-7657","GERIATRICS & GERONTOLOGY - SCIE","3.8","0.64","2.8"," 28/54 "," 44/69 ",
"Clinical Interventions in Aging","CLIN INTERV AGING","N/A","1178-1998","GERIATRICS & GERONTOLOGY - SCIE","3.6","0.79","5.1"," 29/54 "," 35/69 ",
"GERONTOLOGY","GERONTOLOGY","0304-324X","1423-0003","GERIATRICS & GERONTOLOGY - SCIE","3.5","0.82","4.9"," 30/54 "," 31/69 ",
"AGING & MENTAL HEALTH","AGING MENT HEALTH","1360-7863","1364-6915","GERIATRICS & GERONTOLOGY - SCIE","3.4","0.78","3.8"," 31/54 "," 36/69 ",
"American Journal of Alzheimers Disease and Other Dementias","AM J ALZHEIMERS DIS","1533-3175","1938-2731","GERIATRICS & GERONTOLOGY - SCIE","3.4","0.59","3"," 31/54 "," 47/69 ",
"Geriatrics & Gerontology International","GERIATR GERONTOL INT","1444-1586","1447-0594","GERIATRICS & GERONTOLOGY - SCIE","3.3","0.69","3.3"," 33/54 "," 40/69 ",
"CLINICS IN GERIATRIC MEDICINE","CLIN GERIATR MED","0749-0690","1879-8853","GERIATRICS & GERONTOLOGY - SCIE","3.3","0.67","4.9"," 33/54 "," 42/69 ",
"Journal of Geriatric Oncology","J GERIATR ONCOL","1879-4068","1879-4076","GERIATRICS & GERONTOLOGY - SCIE","3","0.7","3.2"," 35/54 "," 39/69 ",
"Clinical Gerontologist","CLIN GERONTOLOGIST","0731-7115","1545-2301","GERIATRICS & GERONTOLOGY - SCIE","2.8","0.72","3"," 36/54 "," 37/69 ",
"DRUGS & AGING","DRUG AGING","1170-229X","1179-1969","GERIATRICS & GERONTOLOGY - SCIE","2.8","0.67","3.4"," 36/54 "," 42/69 ",
"Geriatric Nursing","GERIATR NURS","0197-4572","1528-3984","GERIATRICS & GERONTOLOGY - SCIE","2.7","0.82","2.8"," 38/54 "," 31/69 ",
"REJUVENATION RESEARCH","REJUV RES","1549-1684","1557-8577","GERIATRICS & GERONTOLOGY - SCIE","2.6","0.58","3.5"," 39/54 "," 48/69 ",
"JOURNAL OF GERIATRIC PSYCHIATRY AND NEUROLOGY","J GERIATR PSYCH NEUR","0891-9887","1552-5708","GERIATRICS & GERONTOLOGY - SCIE","2.6","0.57","3"," 39/54 "," 50/69 ",
"Journal of Geriatric Cardiology","J GERIATR CARDIOL","1671-5411","N/A","GERIATRICS & GERONTOLOGY - SCIE","2.5","0.45","3.6"," 41/54 "," 54/69 ",
"Journal of Geriatric Physical Therapy","J GERIATR PHYS THER","1539-8412","2152-0895","GERIATRICS & GERONTOLOGY - SCIE","2.4","1.05","4"," 42/54 "," 22/69 ",
"DEMENTIA AND GERIATRIC COGNITIVE DISORDERS","DEMENT GERIATR COGN","1420-8008","1421-9824","GERIATRICS & GERONTOLOGY - SCIE","2.4","0.58","3"," 42/54 "," 48/69 ",
"International Journal of Older People Nursing","INT J OLDER PEOPLE N","1748-3735","1748-3743","GERIATRICS & GERONTOLOGY - SCIE","2.2","0.63","2.5"," 44/54 "," 45/69 ",
"GERODONTOLOGY","GERODONTOLOGY","0734-0664","1741-2358","GERIATRICS & GERONTOLOGY - SCIE","2","0.68","2.4"," 45/54 "," 41/69 ",
"Psychogeriatrics","PSYCHOGERIATRICS","1346-3500","1479-8301","GERIATRICS & GERONTOLOGY - SCIE","2","0.44","2.3"," 45/54 "," 55/69 ",
"EXPERIMENTAL AGING RESEARCH","EXP AGING RES","0361-073X","1096-4657","GERIATRICS & GERONTOLOGY - SCIE","1.8","0.42","1.7"," 47/54 "," 57/69 ",
"Geriatric Orthopaedic Surgery & Rehabilitation","GERIATR ORTHOP SURG","2151-4585","2151-4593","GERIATRICS & GERONTOLOGY - SCIE","1.6","0.6","2"," 48/54 "," 46/69 ",
"AUSTRALASIAN JOURNAL ON AGEING","AUSTRALAS J AGEING","1440-6381","1741-6612","GERIATRICS & GERONTOLOGY - SCIE","1.6","0.38","1.8"," 48/54 "," 59/69 ",
"JOURNAL OF AGING AND PHYSICAL ACTIVITY","J AGING PHYS ACTIV","1063-8652","1543-267X","GERIATRICS & GERONTOLOGY - SCIE","1.5","0.51","2.2"," 50/54 "," 53/69 ",
"Journal of Gerontological Nursing","J GERONTOL NURS","0098-9134","1938-243X","GERIATRICS & GERONTOLOGY - SCIE","1.3","0.4","1.7"," 51/54 "," 58/69 ",
"ZEITSCHRIFT FUR GERONTOLOGIE UND GERIATRIE","Z GERONTOL GERIATR","0948-6704","1435-1269","GERIATRICS & GERONTOLOGY - SCIE","1.2","0.33","1.1"," 52/54 "," 60/69 ",
"International Journal of Gerontology","INT J GERONTOL","1873-9598","1873-958X","GERIATRICS & GERONTOLOGY - SCIE","0.3","0.08","0.7"," 53/54 "," 67/69 ",
"Turkish Journal of Geriatrics-Turk Geriatri Dergisi","TURK J GERIATR","1304-2947","1307-9948","GERIATRICS & GERONTOLOGY - SCIE","0.3","0.08","0.3"," 53/54 "," 67/69 ",
