Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,2022 JCI,5 Year JIF,JIF Rank,JCI Rank
"NATURE REVIEWS IMMUNOLOGY","NAT REV IMMUNOL","1474-1733","1474-1741","IMMUNOLOGY - SCIE","100.3","8.14","85.4"," 1/161 "," 1/177 ",
"Immunity","IMMUNITY","1074-7613","1097-4180","IMMUNOLOGY - SCIE","32.4","5.25","36.3"," 2/161 "," 2/177 ",
"NATURE IMMUNOLOGY","NAT IMMUNOL","1529-2908","1529-2916","IMMUNOLOGY - SCIE","30.5","4.8","29.6"," 3/161 "," 3/177 ",
"Annual Review of Immunology","ANNU REV IMMUNOL","0732-0582","1545-3278","IMMUNOLOGY - SCIE","29.7","2.88","33.5"," 4/161 "," 6/177 ",
"Science Immunology","SCI IMMUNOL","2470-9468","2470-9468","IMMUNOLOGY - SCIE","24.8","4.25","22"," 5/161 "," 4/177 ",
"Cellular & Molecular Immunology","CELL MOL IMMUNOL","1672-7681","2042-0226","IMMUNOLOGY - SCIE","24.1","1.99","19.1"," 6/161 "," 13/177 ",
"TRENDS IN IMMUNOLOGY","TRENDS IMMUNOL","1471-4906","1471-4981","IMMUNOLOGY - SCIE","16.8","1.44","18.2"," 7/161 "," 26/177 ",
"Lancet HIV","LANCET HIV","2352-3018","2352-3018","IMMUNOLOGY - SCIE","16.1","2.39","14.1"," 8/161 "," 11/177 ",
"JOURNAL OF EXPERIMENTAL MEDICINE","J EXP MED","0022-1007","1540-9538","IMMUNOLOGY - SCIE","15.3","3.07","15.1"," 9/161 "," 5/177 ",
"BRAIN BEHAVIOR AND IMMUNITY","BRAIN BEHAV IMMUN","0889-1591","1090-2139","IMMUNOLOGY - SCIE","15.1","2.55","11.5"," 10/161 "," 8/177 ",
"JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY","J ALLERGY CLIN IMMUN","0091-6749","1097-6825","IMMUNOLOGY - SCIE","14.2","2.44","11.4"," 11/161 "," 10/177 ",
"AUTOIMMUNITY REVIEWS","AUTOIMMUN REV","1568-9972","1873-0183","IMMUNOLOGY - SCIE","13.6","1.32","10.2"," 12/161 "," 30/177 ",
"Emerging Microbes & Infections","EMERG MICROBES INFEC","N/A","2222-1751","IMMUNOLOGY - SCIE","13.2","2.56","9.9"," 13/161 "," 7/177 ",
"JOURNAL OF AUTOIMMUNITY","J AUTOIMMUN","0896-8411","1095-9157","IMMUNOLOGY - SCIE","12.8","1.93","9.8"," 14/161 "," 14/177 ",
"ALLERGY","ALLERGY","0105-4538","1398-9995","IMMUNOLOGY - SCIE","12.4","1.9","10.4"," 15/161 "," 15/177 ",
"CLINICAL INFECTIOUS DISEASES","CLIN INFECT DIS","1058-4838","1537-6591","IMMUNOLOGY - SCIE","11.8","2.52","10.1"," 16/161 "," 9/177 ",
"EMERGING INFECTIOUS DISEASES","EMERG INFECT DIS","1080-6040","1080-6059","IMMUNOLOGY - SCIE","11.8","1.72","8.7"," 16/161 "," 18/177 ",
"Journal for ImmunoTherapy of Cancer","J IMMUNOTHER CANCER","N/A","2051-1426","IMMUNOLOGY - SCIE","10.9","1.87","12.6"," 18/161 "," 16/177 ",
"Cancer Immunology Research","CANCER IMMUNOL RES","2326-6066","2326-6074","IMMUNOLOGY - SCIE","10.1","2.05","12.1"," 19/161 "," 12/177 ",
"Journal of Allergy and Clinical Immunology-In Practice","J ALLER CL IMM-PRACT","2213-2198","2213-2201","IMMUNOLOGY - SCIE","9.4","1.46","8.7"," 20/161 "," 24/177 ",
"Journal of Neuroinflammation","J NEUROINFLAMM","N/A","1742-2094","IMMUNOLOGY - SCIE","9.3","1.69","9.8"," 21/161 "," 19/177 ",
"npj Vaccines","NPJ VACCINES","N/A","2059-0105","IMMUNOLOGY - SCIE","9.2","1.73","8.5"," 22/161 "," 17/177 ",
"CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY","CLIN REV ALLERG IMMU","1080-0549","1559-0267","IMMUNOLOGY - SCIE","9.1","1.55","9.2"," 23/161 "," 20/177 ",
"JOURNAL OF CLINICAL IMMUNOLOGY","J CLIN IMMUNOL","0271-9142","1573-2592","IMMUNOLOGY - SCIE","9.1","1.17","7.8"," 23/161 "," 37/177 ",
"Seminars in Immunopathology","SEMIN IMMUNOPATHOL","1863-2297","1863-2300","IMMUNOLOGY - SCIE","9","1.38","12"," 25/161 "," 28/177 ",
"IMMUNOLOGICAL REVIEWS","IMMUNOL REV","0105-2896","1600-065X","IMMUNOLOGY - SCIE","8.7","0.85","14.2"," 26/161 "," 54/177 ",
"CLINICAL IMMUNOLOGY","CLIN IMMUNOL","1521-6616","1521-7035","IMMUNOLOGY - SCIE","8.6","1.02","5.7"," 27/161 "," 43/177 ",
"Inflammation and Regeneration","INFLAMM REGEN","N/A","1880-8190","IMMUNOLOGY - SCIE","8.1","0.91","8.2"," 28/161 "," 46/177 ",
"Mucosal Immunology","MUCOSAL IMMUNOL","1933-0219","1935-3456","IMMUNOLOGY - SCIE","8","1.22","8.6"," 29/161 "," 34/177 ",
"HLA","HLA","2059-2302","2059-2310","IMMUNOLOGY - SCIE","8","0.72","4.3"," 29/161 "," 78/177 ",
"Immunity & Ageing","IMMUN AGEING","1742-4933","1742-4933","IMMUNOLOGY - SCIE","7.9","1.41","6.9"," 31/161 "," 27/177 ",
"Vaccines","VACCINES-BASEL","N/A","2076-393X","IMMUNOLOGY - SCIE","7.8","1.45","7.4"," 32/161 "," 25/177 ",
