Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,2022 JCI,5 Year JIF,JIF Rank,JCI Rank
"LANCET","LANCET","0140-6736","1474-547X","MEDICINE, GENERAL & INTERNAL - SCIE","168.9","21.23","118.1"," 1/167 "," 2/322 "
"NEW ENGLAND JOURNAL OF MEDICINE","NEW ENGL J MED","0028-4793","1533-4406","MEDICINE, GENERAL & INTERNAL - SCIE","158.5","24.74","115.7"," 2/167 "," 1/322 "
"JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION","JAMA-J AM MED ASSOC","0098-7484","1538-3598","MEDICINE, GENERAL & INTERNAL - SCIE","120.7","11.43","81.4"," 3/167 "," 4/322 "
"BMJ-British Medical Journal","BMJ-BRIT MED J","0959-535X","1756-1833","MEDICINE, GENERAL & INTERNAL - SCIE","105.7","9.28","68.5"," 4/167 "," 5/322 "
"NATURE MEDICINE","NAT MED","1078-8956","1546-170X","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","82.9","14.13","69.4"," 1/136 "," 1/189 "
"Nature Reviews Disease Primers","NAT REV DIS PRIMERS","2056-676X","2056-676X","MEDICINE, GENERAL & INTERNAL - SCIE","81.5","17.5","94.8"," 5/167 "," 3/322 "
"ANNALS OF INTERNAL MEDICINE","ANN INTERN MED","0003-4819","1539-3704","MEDICINE, GENERAL & INTERNAL - SCIE","39.2","4.91","35.1"," 6/167 "," 7/322 "
"JAMA Internal Medicine","JAMA INTERN MED","2168-6106","2168-6114","MEDICINE, GENERAL & INTERNAL - SCIE","39","4.8","27.3"," 7/167 "," 8/322 "
"Lancet Digital Health","LANCET DIGIT HEALTH","N/A","2589-7500","MEDICINE, GENERAL & INTERNAL - SCIE","30.8","5.13","30.9"," 8/167 "," 6/322 "
"JOURNAL OF TRAVEL MEDICINE","J TRAVEL MED","1195-1982","1708-8305","MEDICINE, GENERAL & INTERNAL - SCIE","25.7","1.69","13"," 9/167 "," 22/322 "
"Military Medical Research","MILITARY MED RES","2095-7467","2054-9369","MEDICINE, GENERAL & INTERNAL - SCIE","21.1","2.24","12.7"," 10/167 "," 14/322 "
"JOURNAL OF THE ROYAL SOCIETY OF MEDICINE","J ROY SOC MED","0141-0768","1758-1095","MEDICINE, GENERAL & INTERNAL - SCIE","17.3","1.38","11.2"," 11/167 "," 30/322 "
"Science Translational Medicine","SCI TRANSL MED","1946-6234","1946-6242","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","17.1","3.37","19"," 2/136 "," 4/189 "
"JOURNAL OF CLINICAL INVESTIGATION","J CLIN INVEST","0021-9738","1558-8238","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","15.9","3.69","16.7"," 3/136 "," 3/189 "
"PLOS MEDICINE","PLOS MED","1549-1277","1549-1676","MEDICINE, GENERAL & INTERNAL - SCIE","15.8","2.41","14.3"," 12/167 "," 11/322 "
"JOURNAL OF EXPERIMENTAL MEDICINE","J EXP MED","0022-1007","1540-9538","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","15.3","3.07","15.1"," 4/136 "," 5/189 "
"EClinicalMedicine","ECLINICALMEDICINE","N/A","2589-5370","MEDICINE, GENERAL & INTERNAL - SCIE","15.1","2.73","13.8"," 13/167 "," 9/322 "
"CANADIAN MEDICAL ASSOCIATION JOURNAL","CAN MED ASSOC J","0820-3946","1488-2329","MEDICINE, GENERAL & INTERNAL - SCIE","14.6","2.19","12.2"," 14/167 "," 15/322 "
"Cell Reports Medicine","CELL REP MED","2666-3791","2666-3791","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","14.3","2.87","14.3"," 5/136 "," 6/189 "
"JAMA Network Open","JAMA NETW OPEN","2574-3805","2574-3805","MEDICINE, GENERAL & INTERNAL - SCIE","13.8","2.7","13"," 15/167 "," 10/322 "
"TRENDS IN MOLECULAR MEDICINE","TRENDS MOL MED","1471-4914","1471-499X","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","13.6","1.41","14.5"," 6/136 "," 27/189 "
"QJM-AN INTERNATIONAL JOURNAL OF MEDICINE","QJM-INT J MED","1460-2725","1460-2393","MEDICINE, GENERAL & INTERNAL - SCIE","13.3","1.08","7.2"," 16/167 "," 44/322 "
"EXPERIMENTAL AND MOLECULAR MEDICINE","EXP MOL MED","1226-3613","2092-6413","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","12.8","1.56","11.7"," 7/136 "," 18/189 "
"MOLECULAR THERAPY","MOL THER","1525-0016","1525-0024","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","12.4","2.72","12.6"," 8/136 "," 7/189 "
"Theranostics","THERANOSTICS","1838-7640","1838-7640","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","12.4","2.55","12.3"," 8/136 "," 8/189 "
"MEDICAL JOURNAL OF AUSTRALIA","MED J AUSTRALIA","0025-729X","1326-5377","MEDICINE, GENERAL & INTERNAL - SCIE","11.4","1.31","9.2"," 17/167 "," 35/322 "
"EMBO Molecular Medicine","EMBO MOL MED","1757-4676","1757-4684","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","11.1","2.34","11.4"," 10/136 "," 9/189 "
"EBioMedicine","EBIOMEDICINE","2352-3964","2352-3964","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","11.1","2.31","10"," 10/136 "," 10/189 "
"JOURNAL OF INTERNAL MEDICINE","J INTERN MED","0954-6820","1365-2796","MEDICINE, GENERAL & INTERNAL - SCIE","11.1","1.93","10.5"," 18/167 "," 18/322 "
"Biomarker Research","BIOMARK RES","N/A","2050-7771","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","11.1","1.44","9.6"," 10/136 "," 25/189 "
"JOURNAL OF BIOMEDICAL SCIENCE","J BIOMED SCI","1021-7770","1423-0127","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","11","1.37","10.9"," 13/136 "," 29/189 "
"Clinical and Translational Medicine","CLIN TRANSL MED","2001-1326","2001-1326","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","10.6","1.6","10.4"," 14/136 "," 17/189 "
"MOLECULAR ASPECTS OF MEDICINE","MOL ASPECTS MED","0098-2997","1872-9452","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","10.6","1.52","13.6"," 14/136 "," 20/189 "
"Annual Review of Medicine","ANNU REV MED","0066-4219","1545-326X","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","10.5","1.71","13"," 16/136 "," 15/189 "
"BMC Medicine","BMC MED","1741-7015","1741-7015","MEDICINE, GENERAL & INTERNAL - SCIE","9.3","2.09","10.4"," 19/167 "," 17/322 "
"npj Vaccines","NPJ VACCINES","N/A","2059-0105","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","9.2","1.73","8.5"," 17/136 "," 14/189 "
"Journal of Cachexia Sarcopenia and Muscle","J CACHEXIA SARCOPENI","2190-5991","2190-6009","MEDICINE, GENERAL & INTERNAL - SCIE","8.9","1.92","10.7"," 20/167 "," 19/322 "
"MAYO CLINIC PROCEEDINGS","MAYO CLIN PROC","0025-6196","1942-5546","MEDICINE, GENERAL & INTERNAL - SCIE","8.9","1.68","9.4"," 20/167 "," 23/322 "
"Molecular Therapy-Nucleic Acids","MOL THER-NUCL ACIDS","2162-2531","2162-2531","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","8.8","2.08","8.4"," 18/136 "," 12/189 "
"Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology","WIRES NANOMED NANOBI","1939-5116","1939-0041","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","8.6","0.74","9.1"," 19/136 "," 76/189 "
"Cochrane Database of Systematic Reviews","COCHRANE DB SYST REV","1469-493X","1361-6137","MEDICINE, GENERAL & INTERNAL - SCIE","8.4","1.34","10.9"," 22/167 "," 34/322 "
"Inflammation and Regeneration","INFLAMM REGEN","N/A","1880-8190","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","8.1","0.91","8.2"," 20/136 "," 56/189 "
"Frontiers of Medicine","FRONT MED-PRC","2095-0217","2095-0225","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","8.1","0.84","6.4"," 20/136 "," 65/189 "
"JCI Insight","JCI INSIGHT","N/A","2379-3708","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","8","1.97","8.5"," 22/136 "," 13/189 "
"European Journal of Internal Medicine","EUR J INTERN MED","0953-6205","1879-0828","MEDICINE, GENERAL & INTERNAL - SCIE","8","1.13","5.7"," 23/167 "," 40/322 "
"Wiley Interdisciplinary Reviews-Systems Biology and Medicine","WIRES SYST BIOL MED","1939-5094","1939-005X","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","7.9","1.09","5.6"," 23/136 "," 43/189 "
"Translational Research","TRANSL RES","1931-5244","1878-1810","MEDICINE, GENERAL & INTERNAL - SCIE","7.8","2.14","7.7"," 24/167 "," 16/322 "
"Translational Research","TRANSL RES","1931-5244","1878-1810","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","7.8","2.14","7.7"," 24/136 "," 11/189 "
"Vaccines","VACCINES-BASEL","N/A","2076-393X","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","7.8","1.45","7.4"," 24/136 "," 24/189 "
"Deutsches Arzteblatt International","DTSCH ARZTEBL INT","1866-0452","1866-0452","MEDICINE, GENERAL & INTERNAL - SCIE","7.7","1.47","8"," 25/167 "," 28/322 "
"ARCHIVES OF MEDICAL RESEARCH","ARCH MED RES","0188-4409","1873-5487","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","7.7","1.11","5.1"," 26/136 "," 41/189 "
"BIOMEDICINE & PHARMACOTHERAPY","BIOMED PHARMACOTHER","0753-3322","1950-6007","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","7.5","1.62","6.8"," 27/136 "," 16/189 "
"Stem Cell Research & Therapy","STEM CELL RES THER","N/A","1757-6512","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","7.5","1.36","8"," 27/136 "," 30/189 "
"Journal of Translational Medicine","J TRANSL MED","N/A","1479-5876","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","7.4","1.49","6.9"," 29/136 "," 22/189 "
"Journal of Evidence Based Medicine","J EVID-BASED MED","1756-5383","1756-5391","MEDICINE, GENERAL & INTERNAL - SCIE","7.3","0.97","N/A"," 26/167 "," 51/322 "
"BRITISH MEDICAL BULLETIN","BRIT MED BULL","0007-1420","1471-8391","MEDICINE, GENERAL & INTERNAL - SCIE","6.7","1.15","6.5"," 27/167 "," 39/322 "
"JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE","J URBAN HEALTH","1099-3460","1468-2869","MEDICINE, GENERAL & INTERNAL - SCIE","6.6","1.6","5.2"," 28/167 "," 25/322 "
"EPMA Journal","EPMA J","1878-5077","1878-5085","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","6.5","1.27","5.3"," 30/136 "," 34/189 "
"CANCER GENE THERAPY","CANCER GENE THER","0929-1903","1476-5500","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","6.4","1.23","6.1"," 31/136 "," 36/189 "
"EXPERT REVIEWS IN MOLECULAR MEDICINE","EXPERT REV MOL MED","1462-3994","1462-3994","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","6.2","0.65","6.3"," 32/136 "," 89/189 "
"LIFE SCIENCES","LIFE SCI","0024-3205","1879-0631","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","6.1","1.43","5.8"," 33/136 "," 26/189 "
"CHINESE MEDICAL JOURNAL","CHINESE MED J-PEKING","0366-6999","2542-5641","MEDICINE, GENERAL & INTERNAL - SCIE","6.1","0.89","3.9"," 29/167 "," 56/322 "
"CLEVELAND CLINIC JOURNAL OF MEDICINE","CLEV CLIN J MED","0891-1150","1939-2869","MEDICINE, GENERAL & INTERNAL - SCIE","6.1","0.53","4.2"," 29/167 "," 100/322 "
"CLINICAL SCIENCE","CLIN SCI","0143-5221","1470-8736","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","6","1.24","6.6"," 34/136 "," 35/189 "
"BRITISH JOURNAL OF GENERAL PRACTICE","BRIT J GEN PRACT","0960-1643","1478-5242","MEDICINE, GENERAL & INTERNAL - SCIE","5.9","2.31","6.4"," 31/167 "," 13/322 "
"MEDICAL CLINICS OF NORTH AMERICA","MED CLIN N AM","0025-7125","1557-9859","MEDICINE, GENERAL & INTERNAL - SCIE","5.9","1.57","6.8"," 31/167 "," 26/322 "
"American Journal of Medicine","AM J MED","0002-9343","1555-7162","MEDICINE, GENERAL & INTERNAL - SCIE","5.9","1","5.4"," 31/167 "," 45/322 "
"BMJ Evidence-Based Medicine","BMJ EVID-BASED MED","2515-446X","2515-4478","MEDICINE, GENERAL & INTERNAL - SCIE","5.8","1.1","7.5"," 34/167 "," 42/322 "
"AMERICAN JOURNAL OF CHINESE MEDICINE","AM J CHINESE MED","0192-415X","1793-6853","MEDICINE, GENERAL & INTERNAL - SCIE","5.7","1.64","5"," 35/167 "," 24/322 "
"JOURNAL OF GENERAL INTERNAL MEDICINE","J GEN INTERN MED","0884-8734","1525-1497","MEDICINE, GENERAL & INTERNAL - SCIE","5.7","1.35","6.2"," 35/167 "," 33/322 "
"Molecular Therapy-Oncolytics","MOL THER-ONCOLYTICS","2372-7705","2372-7705","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","5.7","1.2","5.6"," 35/136 "," 37/189 "
"MOLECULAR MEDICINE","MOL MED","1076-1551","1528-3658","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","5.7","0.95","6.3"," 35/136 "," 52/189 "
"ALTEX-Alternatives to Animal Experimentation","ALTEX-ALTERN ANIM EX","1868-596X","1868-8551","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","5.6","1.1","5.8"," 37/136 "," 42/189 "
"AMERICAN JOURNAL OF PREVENTIVE MEDICINE","AM J PREV MED","0749-3797","1873-2607","MEDICINE, GENERAL & INTERNAL - SCIE","5.5","1.46","5.9"," 37/167 "," 29/322 "
"EUROPEAN JOURNAL OF CLINICAL INVESTIGATION","EUR J CLIN INVEST","0014-2972","1365-2362","MEDICINE, GENERAL & INTERNAL - SCIE","5.5","0.99","5"," 37/167 "," 46/322 "
"EUROPEAN JOURNAL OF CLINICAL INVESTIGATION","EUR J CLIN INVEST","0014-2972","1365-2362","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","5.5","0.99","5"," 38/136 "," 46/189 "
"Vaccine","VACCINE","0264-410X","1873-2518","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","5.5","0.96","4.3"," 38/136 "," 48/189 "
"Biomedical Journal","BIOMED J","2319-4170","2320-2890","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","5.5","0.92","6.1"," 38/136 "," 54/189 "
"AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS","AMYLOID","1350-6129","1744-2818","MEDICINE, GENERAL & INTERNAL - SCIE","5.5","0.89","5.8"," 37/167 "," 56/322 "
"AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS","AMYLOID","1350-6129","1744-2818","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","5.5","0.89","5.8"," 38/136 "," 60/189 "
"Cancer Biology & Medicine","CANCER BIOL MED","2095-3941","2095-3941","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","5.5","0.88","6.1"," 38/136 "," 61/189 "
"Cold Spring Harbor Perspectives in Medicine","CSH PERSPECT MED","2157-1422","2157-1422","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","5.4","1.52","9.2"," 43/136 "," 20/189 "
"Drug Delivery and Translational Research","DRUG DELIV TRANSL RE","2190-393X","2190-3948","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","5.4","1.34","5"," 43/136 "," 32/189 "
"INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE","INT J MOL MED","1107-3756","1791-244X","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","5.4","1.14","4.8"," 43/136 "," 39/189 "
"Nanomedicine-Nanotechnology Biology and Medicine","NANOMED-NANOTECHNOL","1549-9634","1549-9642","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","5.4","1.07","5.9"," 43/136 "," 44/189 "
"mAbs","MABS-AUSTIN","1942-0862","1942-0870","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","5.3","1.35","5.3"," 47/136 "," 31/189 "
"JOURNAL OF CELLULAR AND MOLECULAR MEDICINE","J CELL MOL MED","1582-1838","1582-4934","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","5.3","0.91","5.5"," 47/136 "," 56/189 "
"ANNALS ACADEMY OF MEDICINE SINGAPORE","ANN ACAD MED SINGAP","0304-4602","N/A","MEDICINE, GENERAL & INTERNAL - SCIE","5.2","0.57","4.2"," 40/167 "," 91/322 "
"Preventive Medicine","PREV MED","0091-7435","1096-0260","MEDICINE, GENERAL & INTERNAL - SCIE","5.1","1.28","5"," 41/167 "," 36/322 "
"GENE THERAPY","GENE THER","0969-7128","1476-5462","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","5.1","0.96","4.9"," 49/136 "," 48/189 "
"POSTGRADUATE MEDICAL JOURNAL","POSTGRAD MED J","0032-5473","1469-0756","MEDICINE, GENERAL & INTERNAL - SCIE","5.1","0.81","4"," 41/167 "," 66/322 "
"Journal of Zhejiang University-SCIENCE B","J ZHEJIANG UNIV-SC B","1673-1581","1862-1783","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","5.1","0.64","4.1"," 49/136 "," 93/189 "
"LABORATORY INVESTIGATION","LAB INVEST","0023-6837","1530-0307","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","5","1.39","5.5"," 51/136 "," 28/189 "
"MOLECULAR PHARMACEUTICS","MOL PHARMACEUT","1543-8384","1543-8392","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","4.9","1.29","5"," 52/136 "," 33/189 "
"Journal of Translational Internal Medicine","J TRANSL INTERN MED","2450-131X","2224-4018","MEDICINE, GENERAL & INTERNAL - SCIE","4.9","0.59","4.1"," 43/167 "," 87/322 "
"Stem Cell Reviews and Reports","STEM CELL REV REP","2629-3269","2629-3277","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","4.8","0.98","4.7"," 53/136 "," 47/189 "
"Polish Archives of Internal Medicine-Polskie Archiwum Medycyny Wewnetrznej","POL ARCH INTERN MED","0032-3772","1897-9483","MEDICINE, GENERAL & INTERNAL - SCIE","4.8","0.79","3.5"," 44/167 "," 70/322 "
"JOURNAL OF PAIN AND SYMPTOM MANAGEMENT","J PAIN SYMPTOM MANAG","0885-3924","1873-6513","MEDICINE, GENERAL & INTERNAL - SCIE","4.7","1.36","4.8"," 45/167 "," 32/322 "
