Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,2022 JCI,5 Year JIF,JIF Rank,JCI Rank
"NATURE REVIEWS MOLECULAR CELL BIOLOGY","NAT REV MOL CELL BIO","1471-0072","1471-0080","CELL BIOLOGY - SCIE","112.7","8.72","111.7"," 1/191 "," 3/203 "
"NATURE MEDICINE","NAT MED","1078-8956","1546-170X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","82.9","14.13","69.4"," 1/285 "," 1/315 "
"NATURE MEDICINE","NAT MED","1078-8956","1546-170X","CELL BIOLOGY - SCIE","82.9","14.13","69.4"," 2/191 "," 1/203 "
"CELL","CELL","0092-8674","1097-4172","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","64.5","9.55","57.5"," 2/285 "," 2/315 "
"CELL","CELL","0092-8674","1097-4172","CELL BIOLOGY - SCIE","64.5","9.55","57.5"," 3/191 "," 2/203 "
"CANCER CELL","CANCER CELL","1535-6108","1878-3686","CELL BIOLOGY - SCIE","50.3","6.37","43.9"," 4/191 "," 4/203 "
"CELL RESEARCH","CELL RES","1001-0602","1748-7838","CELL BIOLOGY - SCIE","44.1","3.47","39.3"," 5/191 "," 8/203 "
"Signal Transduction and Targeted Therapy","SIGNAL TRANSDUCT TAR","2095-9907","2059-3635","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","39.3","3.71","37.2"," 3/285 "," 5/315 "
"Signal Transduction and Targeted Therapy","SIGNAL TRANSDUCT TAR","2095-9907","2059-3635","CELL BIOLOGY - SCIE","39.3","3.71","37.2"," 6/191 "," 7/203 "
"Molecular Cancer","MOL CANCER","N/A","1476-4598","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","37.3","5.39","33.1"," 4/285 "," 3/315 "
"Cell Discovery","CELL DISCOV","N/A","2056-5968","CELL BIOLOGY - SCIE","33.5","2.06","21.9"," 7/191 "," 18/203 "
"Cell Metabolism","CELL METAB","1550-4131","1932-7420","CELL BIOLOGY - SCIE","29","5.13","31.3"," 8/191 "," 5/203 "
"Molecular Plant","MOL PLANT","1674-2052","1752-9867","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","27.5","4.32","22.6"," 5/285 "," 4/315 "
"Cell Stem Cell","CELL STEM CELL","1934-5909","1875-9777","CELL BIOLOGY - SCIE","23.9","4.18","24.9"," 9/191 "," 6/203 "
"NATURE CELL BIOLOGY","NAT CELL BIOL","1465-7392","1476-4679","CELL BIOLOGY - SCIE","21.3","3.34","26.6"," 10/191 "," 10/203 "
"Protein & Cell","PROTEIN CELL","1674-800X","1674-8018","CELL BIOLOGY - SCIE","21.1","1.33","16.7"," 11/191 "," 36/203 "
