Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Nature Reviews Cardiology","NAT REV CARDIOL","1759-5002","1759-5010","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","17,301","49.6","Q1","6.64","2.98"%,
"EUROPEAN HEART JOURNAL","EUR HEART J","0195-668X","1522-9645","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","87,861","39.3","Q1","6.84","37.12"%,
"CIRCULATION","CIRCULATION","0009-7322","1524-4539","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","187,648","37.8","Q1","7.55","21.35"%,
"JAMA Cardiology","JAMA CARDIOL","2380-6583","2380-6591","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","14,230","24","Q1","5.81","9.3"%,
"JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY","J AM COLL CARDIOL","0735-1097","1558-3597","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","124,650","24","Q1","4.85","15.95"%,
"CIRCULATION RESEARCH","CIRC RES","0009-7330","1524-4571","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","66,672","20.1","Q1","3.93","13.49"%,
"EUROPEAN JOURNAL OF HEART FAILURE","EUR J HEART FAIL","1388-9842","1879-0844","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","22,408","18.2","Q1","3.85","31.95"%,
"Archives of Cardiovascular Diseases Supplements","ARCH CARDIOVAS DIS S","1878-6480","1878-6502","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","85","18","N/A","0","0"%,
"JACC-Cardiovascular Imaging","JACC-CARDIOVASC IMAG","1936-878X","1876-7591","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","16,914","14","Q1","3.26","14.73"%,
"JACC-Heart Failure","JACC-HEART FAIL","2213-1779","2213-1787","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","8,297","13","Q1","2.76","21.36"%,
"JACC-Cardiovascular Interventions","JACC-CARDIOVASC INTE","1936-8798","1876-7605","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","16,877","11.3","Q1","2.44","9.63"%,
"JACC: CardioOncology","JACC-CARDIOONCOL","2666-0873","2666-0873","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,345","11.1","Q1","1.63","89.05"%,
"CARDIOVASCULAR RESEARCH","CARDIOVASC RES","0008-6363","1755-3245","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","28,181","10.8","Q1","2.58","31.55"%,
"JACC-Basic to Translational Science","JACC-BASIC TRANSL SC","2452-302X","2452-302X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,425","9.7","Q1","2.05","100"%,
"Circulation-Heart Failure","CIRC-HEART FAIL","1941-3289","1941-3297","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","10,698","9.7","Q1","1.9","8.59"%,
"BASIC RESEARCH IN CARDIOLOGY","BASIC RES CARDIOL","0300-8428","1435-1803","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","5,402","9.5","Q1","2.27","64.67"%,
"TRENDS IN CARDIOVASCULAR MEDICINE","TRENDS CARDIOVAS MED","1050-1738","1873-2615","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,090","9.3","Q1","2.05","25.48"%,
"Cardiovascular Diabetology","CARDIOVASC DIABETOL","N/A","1475-2840","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","12,596","9.3","Q1","2.02","99.57"%,
"PROGRESS IN CARDIOVASCULAR DISEASES","PROG CARDIOVASC DIS","0033-0620","1873-1740","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","6,224","9.1","Q1","0.98","7.17"%,
"JOURNAL OF HEART AND LUNG TRANSPLANTATION","J HEART LUNG TRANSPL","1053-2498","1557-3117","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","14,893","8.9","Q1","2.32","10.66"%,
"Circulation-Arrhythmia and Electrophysiology","CIRC-ARRHYTHMIA ELEC","1941-3149","1941-3084","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","9,269","8.4","Q1","1.66","12.55"%,
"European Journal of Preventive Cardiology","EUR J PREV CARDIOL","2047-4873","2047-4881","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","10,142","8.3","Q1","1.59","18.27"%,
