"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE,SSCI Selected Categories: 'CARDIAC & CARDIOVASCULAR SYSTEMS','MEDICINE, GENERAL & INTERNAL','PERIPHERAL VASCULAR DISEASE' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,NEW ENGLAND JOURNAL OF MEDICINE,"347,451",74.699,0.6608
2,LANCET,"256,199",60.392,0.4373
3,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"158,632",45.54,0.29005
4,Nature Reviews Disease Primers,"7,567",40.689,0.03231
5,BMJ-British Medical Journal,"118,586",30.223,0.14517
6,CIRCULATION,"158,218",23.603,0.20502
7,EUROPEAN HEART JOURNAL,"59,968",22.673,0.14062
8,ANNALS OF INTERNAL MEDICINE,"58,033",21.317,0.09121
9,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,"101,927",20.589,0.19028
10,Nature Reviews Cardiology,"7,100",20.26,0.02113
11,JAMA Internal Medicine,"17,260",18.652,0.08618
12,CIRCULATION RESEARCH,"51,539",14.467,0.07147
13,JAMA Cardiology,"4,740",12.794,0.03011
14,JACC-Cardiovascular Imaging,"10,110",12.74,0.02755
15,BASIC RESEARCH IN CARDIOLOGY,"4,704",11.981,0.00638
16,EUROPEAN JOURNAL OF HEART FAILURE,"12,784",11.627,0.0287
17,PLOS MEDICINE,"32,312",10.5,0.06599
18,Journal of Cachexia Sarcopenia and Muscle,"3,553",9.802,0.00786
19,ANGIOGENESIS,"3,571",9.78,0.00548
20,JACC-Heart Failure,"4,117",8.75,0.01918
21,JACC-Cardiovascular Interventions,"11,371",8.432,0.03733
22,CARDIOVASCULAR RESEARCH,"21,526",8.168,0.01995
23,Cochrane Database of Systematic Reviews,"67,763",7.89,0.13436
24,JOURNAL OF HEART AND LUNG TRANSPLANTATION,"12,465",7.865,0.02814
25,CANADIAN MEDICAL ASSOCIATION JOURNAL,"15,212",7.744,0.01616
26,HYPERTENSION,"36,242",7.713,0.04684
27,Journal of Stroke,"1,247",7.47,0.00424
28,Cardiovascular Diabetology,"6,179",7.332,0.01139
29,STROKE,"66,466",7.19,0.07801
30,JOURNAL OF TRAVEL MEDICINE,"2,659",7.089,0.00636
31,MAYO CLINIC PROCEEDINGS,"15,627",6.942,0.02499
32,JOURNAL OF INTERNAL MEDICINE,"10,912",6.871,0.01418
33,BMC Medicine,"15,204",6.782,0.0425
34,PROGRESS IN CARDIOVASCULAR DISEASES,"4,193",6.763,0.00834
35,European Heart Journal-Cardiovascular Pharmacotherapy,521,6.696,0.00164
36,ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,"32,385",6.604,0.03208
37,MEDICAL JOURNAL OF AUSTRALIA,"11,075",6.112,0.01107
38,Circulation-Heart Failure,"6,773",6.033,0.01849
39,European Journal of Preventive Cardiology,"5,589",5.864,0.01537
40,HEART RHYTHM,"12,246",5.731,0.02862
41,Circulation-Cardiovascular Imaging,"5,574",5.691,0.01632
42,JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY,"11,347",5.508,0.01823
43,Circulation-Cardiovascular Interventions,"5,012",5.493,0.01814
44,Translational Research,"4,043",5.411,0.00835
45,JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,"5,205",5.361,0.01112
46,EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY,"9,932",5.328,0.01351
47,Clinical Research in Cardiology,"3,321",5.268,0.00728
48,JOURNAL OF THE ROYAL SOCIETY OF MEDICINE,"4,214",5.238,0.00258
49,HEART,"18,108",5.213,0.03014
50,Circulation-Cardiovascular Quality and Outcomes,"4,728",5.071,0.01435
51,JAMA Network Open,"2,239",5.032,0.00766
52,CANADIAN JOURNAL OF CARDIOLOGY,"6,980",5,0.01763
53,International Journal of Stroke,"4,853",4.882,0.01556
54,European Heart Journal-Cardiovascular Imaging,"6,359",4.841,0.02311
55,Deutsches Arzteblatt International,"4,817",4.796,0.00738
56,TRENDS IN CARDIOVASCULAR MEDICINE,"2,695",4.755,0.00392
57,ANNALS OF FAMILY MEDICINE,"5,567",4.686,0.01088
58,REVISTA ESPANOLA DE CARDIOLOGIA,"3,672",4.642,0.00461
59,Current Atherosclerosis Reports,"2,586",4.608,0.00455
60,Journal of the American Heart Association,"17,149",4.605,0.07062
61,JOURNAL OF GENERAL INTERNAL MEDICINE,"20,229",4.597,0.02696
62,Circulation-Cardiovascular Genetics,"3,090",4.534,0.0086
63,AMERICAN JOURNAL OF MEDICINE,"24,975",4.529,0.02423
64,JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY,"28,491",4.451,0.0343
65,Journal of Personalized Medicine,617,4.433,0.00195
66,AMERICAN JOURNAL OF PREVENTIVE MEDICINE,"23,547",4.42,0.04018
67,Circulation-Arrhythmia and Electrophysiology,"6,344",4.393,0.01663
68,THROMBOSIS AND HAEMOSTASIS,"15,589",4.379,0.02057
69,European Journal of Internal Medicine,"4,933",4.329,0.01028
