"Journal Data Filtered By:  Selected JCR Year: 2020 Selected Editions: SCIE,SSCI Selected Categories: 'COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,"59,682",16.389,0.06319
2,Nature Machine Intelligence,"1,212",15.508,0.00321
3,Information Fusion,"9,059",12.975,0.0126
4,IEEE TRANSACTIONS ON FUZZY SYSTEMS,"20,515",12.029,0.02316
5,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,"16,918",11.554,0.01153
6,IEEE Transactions on Cybernetics,"24,753",11.448,0.05214
7,IEEE Computational Intelligence Magazine,"2,039",11.356,0.00285
8,IEEE TRANSACTIONS ON IMAGE PROCESSING,"58,008",10.856,0.07583
9,IEEE Transactions on Affective Computing,"3,197",10.506,0.00417
10,IEEE Transactions on Neural Networks and Learning Systems,"36,361",10.451,0.04868
11,ARTIFICIAL INTELLIGENCE,"10,734",9.088,0.00934
12,INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,"6,227",8.709,0.0046
13,MEDICAL IMAGE ANALYSIS,"11,568",8.545,0.01836
14,ARTIFICIAL INTELLIGENCE REVIEW,"4,715",8.139,0.00408
15,NEURAL NETWORKS,"18,837",8.05,0.01942
16,KNOWLEDGE-BASED SYSTEMS,"22,261",8.038,0.02794
17,PATTERN RECOGNITION,"33,363",7.74,0.03271
18,INTERNATIONAL JOURNAL OF COMPUTER VISION,"18,124",7.41,0.02081
19,Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,"1,770",7.25,0.00233
20,Swarm and Evolutionary Computation,"5,442",7.177,0.00662
21,Journal of Ambient Intelligence and Humanized Computing,"6,280",7.104,0.00421
22,IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,"16,660",6.977,0.01721
23,EXPERT SYSTEMS WITH APPLICATIONS,"55,444",6.954,0.04053
24,APPLIED SOFT COMPUTING,"32,910",6.725,0.03644
25,JOURNAL OF INTELLIGENT MANUFACTURING,"6,905",6.485,0.00546
26,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,"10,577",6.212,0.01024
27,Memetic Computing,777,5.9,0.00103
28,International Journal of Neural Systems,"2,607",5.866,0.00265
29,DECISION SUPPORT SYSTEMS,"13,580",5.795,0.0081
30,NEUROCOMPUTING,"46,751",5.719,0.06669
31,NEURAL COMPUTING & APPLICATIONS,"18,417",5.606,0.01651
32,ADVANCED ENGINEERING INFORMATICS,"4,432",5.603,0.00428
33,Cognitive Computation,"2,407",5.418,0.00287
34,ARTIFICIAL INTELLIGENCE IN MEDICINE,"4,245",5.326,0.00422
35,APPLIED INTELLIGENCE,"5,870",5.086,0.00653
36,Complex & Intelligent Systems,676,4.927,0.00101
37,INTEGRATED COMPUTER-AIDED ENGINEERING,792,4.827,0.00095
38,International Journal of Fuzzy Systems,"3,236",4.673,0.00399
39,ACM Transactions on Intelligent Systems and Technology,"4,104",4.654,0.00463
40,Fuzzy Optimization and Decision Making,"1,251",4.128,0.00077
