"Journal Data Filtered By:  Selected JCR Year: 2020 Selected Editions: SCIE,SSCI Selected Categories: 'CARDIAC & CARDIOVASCULAR SYSTEMS','PERIPHERAL VASCULAR DISEASE' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,Nature Reviews Cardiology,"11,539",32.419,0.022990
2,EUROPEAN HEART JOURNAL,"81,447",29.983,0.141060
3,CIRCULATION,"190,210",29.690,0.200030
4,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,"125,873",24.094,0.177000
5,CIRCULATION RESEARCH,"65,425",17.367,0.068900
6,BASIC RESEARCH IN CARDIOLOGY,"5,629",17.165,0.005290
7,EUROPEAN JOURNAL OF HEART FAILURE,"17,114",15.534,0.027740
8,JACC-Cardiovascular Imaging,"14,398",14.805,0.032190
9,JAMA Cardiology,"11,453",14.676,0.036150
10,JACC-Heart Failure,"6,212",12.035,0.019320
11,JACC-Cardiovascular Interventions,"15,448",11.195,0.035240
12,CARDIOVASCULAR RESEARCH,"26,765",10.787,0.019070
13,JOURNAL OF HEART AND LUNG TRANSPLANTATION,"15,107",10.247,0.021660
14,HYPERTENSION,"44,350",10.190,0.040210
15,Cardiovascular Diabetology,"8,782",9.951,0.012280
16,ANGIOGENESIS,"4,305",9.596,0.004140
17,Circulation-Heart Failure,"9,005",8.790,0.016490
18,JACC-Basic to Translational Science,"1,842",8.648,0.005140
19,ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,"38,412",8.311,0.027830
20,PROGRESS IN CARDIOVASCULAR DISEASES,"5,799",8.194,0.006870
21,STROKE,"78,912",7.914,0.068320
22,European Journal of Preventive Cardiology,"8,287",7.804,0.014250
23,Circulation-Cardiovascular Imaging,"7,640",7.792,0.015510
24,EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY,"12,166",7.069,0.013270
25,Journal of Stroke,"1,692",6.967,0.003950
26,European Heart Journal-Cardiovascular Imaging,"8,423",6.875,0.020790
27,TRENDS IN CARDIOVASCULAR MEDICINE,"3,542",6.677,0.004230
28,European Heart Journal-Cardiovascular Pharmacotherapy,919,6.617,0.002480
29,Circulation-Arrhythmia and Electrophysiology,"8,834",6.568,0.015230
30,Circulation-Cardiovascular Interventions,"6,530",6.546,0.014270
31,EuroIntervention,"7,160",6.534,0.014970
32,JACC-Clinical Electrophysiology,"2,801",6.375,0.009790
33,HEART RHYTHM,"16,459",6.343,0.025740
34,JACC: CardioOncology,267,6.250,0.000230
35,Circulation-Genomic and Precision Medicine,858,6.054,0.003910
36,Frontiers in Cardiovascular Medicine,"3,172",6.050,0.007630
37,HEART,"22,182",5.994,0.028490
38,JOURNAL OF NUCLEAR CARDIOLOGY,"5,882",5.952,0.005390
39,Circulation-Cardiovascular Quality and Outcomes,"6,318",5.882,0.013260
40,JOURNAL OF THROMBOSIS AND HAEMOSTASIS,"29,353",5.824,0.023130
41,JOURNAL OF CARDIAC FAILURE,"6,604",5.712,0.008690
42,Journal of the American Heart Association,"26,960",5.501,0.075700
43,Thrombosis Journal,"1,137",5.500,0.002070
44,Clinical Research in Cardiology,"5,218",5.460,0.007940
45,CURRENT HYPERTENSION REPORTS,"4,458",5.369,0.006260
46,JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,"6,935",5.364,0.010460
47,International Journal of Stroke,"6,321",5.266,0.014130
48,JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY,"14,150",5.251,0.018650
49,THROMBOSIS AND HAEMOSTASIS,"19,924",5.249,0.018270
50,CANADIAN JOURNAL OF CARDIOLOGY,"8,782",5.223,0.015090
51,EUROPACE,"12,468",5.214,0.021850
52,JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY,"33,066",5.209,0.026550
53,CURRENT PROBLEMS IN CARDIOLOGY,965,5.200,0.001010
54,ATHEROSCLEROSIS,"27,929",5.162,0.028370
55,Current Atherosclerosis Reports,"3,215",5.113,0.004310
56,JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,"17,399",5.000,0.015690
57,Journal of Atherosclerosis and Thrombosis,"4,282",4.928,0.005210
58,JOURNAL OF HYPERTENSION,"19,652",4.844,0.016690
59,CURRENT OPINION IN LIPIDOLOGY,"4,741",4.776,0.005120
60,REVISTA ESPANOLA DE CARDIOLOGIA,"4,507",4.753,0.004890
61,AMERICAN HEART JOURNAL,"22,202",4.749,0.023500
62,AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,"30,771",4.733,0.016970
63,European Heart Journal-Acute Cardiovascular Care,"2,238",4.696,0.004840
64,ESC Heart Failure,"2,303",4.411,0.004680
65,European Heart Journal-Quality of Care and Clinical Outcomes,777,4.370,0.002770
66,ANNALS OF THORACIC SURGERY,"41,620",4.330,0.035100
67,Journal of Cardiovascular Computed Tomography,"2,352",4.309,0.004610
68,JOURNAL OF VASCULAR SURGERY,"31,991",4.268,0.024580
69,NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES,"7,701",4.222,0.007190
70,HEART FAILURE REVIEWS,"3,816",4.214,0.004960
71,EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY,"18,818",4.191,0.020200
72,SEMINARS IN THROMBOSIS AND HEMOSTASIS,"5,313",4.180,0.005370
73,INTERNATIONAL JOURNAL OF CARDIOLOGY,"37,692",4.164,0.059790
74,Journal of Cardiovascular Translational Research,"2,109",4.132,0.002380
75,Annals of Cardiothoracic Surgery,"2,434",4.101,0.004750
76,Journal of Cardiovascular Development and Disease,689,3.948,0.001770
77,THROMBOSIS RESEARCH,"16,275",3.944,0.015600
78,European Journal of Cardiovascular Nursing,"2,670",3.908,0.003260
79,HYPERTENSION RESEARCH,"6,915",3.872,0.005290
80,Journal of Clinical Hypertension,"5,391",3.738,0.006430
81,CARDIOVASCULAR DRUGS AND THERAPY,"2,744",3.727,0.003280
82,ANGIOLOGY,"3,724",3.619,0.003060
83,American Journal of Cardiovascular Drugs,"1,523",3.571,0.002020
84,MICROVASCULAR RESEARCH,"4,877",3.514,0.003050
85,JOURNAL OF ENDOVASCULAR THERAPY,"4,318",3.487,0.004840
86,JOURNAL OF VASCULAR AND INTERVENTIONAL RADIOLOGY,"11,063",3.464,0.010780
87,SHOCK,"9,489",3.454,0.009910
88,Global Heart,"1,287",3.426,0.002720
89,RESPIRATORY MEDICINE,"14,459",3.415,0.013520
90,Journal of Geriatric Cardiology,"1,835",3.327,0.003720
91,Diabetes & Vascular Disease Research,"1,761",3.291,0.002770
92,Korean Circulation Journal,"1,773",3.243,0.002630
93,VASCULAR MEDICINE,"2,270",3.239,0.002910
94,ATHEROSCLEROSIS SUPPLEMENTS,849,3.235,0.001080
95,Cardiovascular Toxicology,"1,772",3.231,0.001690
96,Heart Failure Clinics,"1,324",3.179,0.001750
97,Journal of Cardiology,"4,161",3.159,0.005870
98,Kardiologia Polska,"2,307",3.108,0.002610
99,JOURNAL OF CARDIOVASCULAR PHARMACOLOGY,"6,305",3.105,0.003520
100,Cardiovascular Therapeutics,"1,723",3.023,0.001710
101,Pulmonary Circulation,"2,397",3.017,0.003900
102,JOURNAL OF HUMAN HYPERTENSION,"5,414",3.012,0.004060
103,CIRCULATION JOURNAL,"11,622",2.993,0.012760
104,Heart Lung and Circulation,"4,050",2.975,0.007300
105,Current Cardiology Reports,"3,221",2.931,0.006260
106,Reviews in Cardiovascular Medicine,464,2.930,0.000510
107,Pregnancy Hypertension-An International Journal of Womens Cardiovascular Health,"1,981",2.899,0.003580
108,CURRENT OPINION IN NEPHROLOGY AND HYPERTENSION,"3,953",2.894,0.004460
109,CLINICAL CARDIOLOGY,"5,571",2.882,0.007610
110,Journal of Vascular Surgery-Venous and Lymphatic Disorders,"1,769",2.859,0.002710
111,Cardiovascular Diagnosis and Therapy,"1,785",2.845,0.003970
112,BLOOD PRESSURE,"1,390",2.835,0.001410
113,INTERNATIONAL ANGIOLOGY,"1,623",2.789,0.001230
114,AMERICAN JOURNAL OF CARDIOLOGY,"40,641",2.778,0.033300
115,CEREBROVASCULAR DISEASES,"6,560",2.762,0.004800
116,CARDIOVASCULAR AND INTERVENTIONAL RADIOLOGY,"7,145",2.740,0.007570
117,Cardiology Journal,"1,603",2.737,0.001840
118,Current Vascular Pharmacology,"2,357",2.719,0.002160
119,CATHETERIZATION AND CARDIOVASCULAR INTERVENTIONS,"11,415",2.692,0.014660
120,AMERICAN JOURNAL OF HYPERTENSION,"10,492",2.689,0.008290
121,KIDNEY & BLOOD PRESSURE RESEARCH,"2,671",2.687,0.003840
122,Acta Cardiologica Sinica,836,2.672,0.001090
123,Cardiology in Review,"1,384",2.644,0.001680
124,JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA,"7,080",2.628,0.008380
124,MICROCIRCULATION,"2,997",2.628,0.002430
126,Cardiovascular Engineering and Technology,783,2.495,0.001320
127,JOURNAL OF CARDIOVASCULAR PHARMACOLOGY AND THERAPEUTICS,"1,644",2.457,0.002030
128,International Journal of Hypertension,"1,219",2.420,0.001060
129,CLINICAL AND APPLIED THROMBOSIS-HEMOSTASIS,"2,708",2.389,0.004010
130,Netherlands Heart Journal,"1,745",2.380,0.002040
131,CLINICAL HEMORHEOLOGY AND MICROCIRCULATION,"2,695",2.375,0.002220
132,INTERNATIONAL JOURNAL OF CARDIOVASCULAR IMAGING,"4,056",2.357,0.006700
133,Archives of Cardiovascular Diseases,"2,077",2.340,0.003240
134,JOURNAL OF THROMBOSIS AND THROMBOLYSIS,"4,446",2.300,0.005880
135,BMC Cardiovascular Disorders,"5,150",2.298,0.009040
136,Journal of Vascular Access,"2,249",2.283,0.002870
137,JOURNAL OF INTERVENTIONAL CARDIOLOGY,"1,653",2.279,0.002450
138,Annals of Thoracic Medicine,"1,050",2.219,0.001290
139,CARDIOLOGY CLINICS,"1,478",2.213,0.001940
140,HEART & LUNG,"3,080",2.210,0.002890
141,CARDIOVASCULAR PATHOLOGY,"2,501",2.185,0.002060
142,CURRENT OPINION IN CARDIOLOGY,"2,496",2.161,0.003600
143,Journal of Cardiovascular Medicine,"2,073",2.160,0.002700
144,Journal of Stroke & Cerebrovascular Diseases,"9,223",2.136,0.015690
145,HYPERTENSION IN PREGNANCY,"1,515",2.108,0.001290
146,Journal of Cardiovascular Nursing,"2,462",2.083,0.002510
147,Journal of Cardiopulmonary Rehabilitation and Prevention,"2,097",2.081,0.002040
148,Cardiovascular Ultrasound,"1,327",2.062,0.001230
149,CardioRenal Medicine,652,2.041,0.000930
150,HEART AND VESSELS,"2,953",2.037,0.004240
151,JOURNAL OF INVASIVE CARDIOLOGY,"2,124",2.022,0.002270
152,Congenital Heart Disease,"2,153",2.007,0.004580
153,Seminars in Thoracic and Cardiovascular Surgery,"1,828",2.006,0.002720
154,Arquivos Brasileiros de Cardiologia,"3,975",2.000,0.003170
155,PACE-PACING AND CLINICAL ELECTROPHYSIOLOGY,"6,080",1.976,0.005170
156,PERFUSION-UK,"1,949",1.972,0.002500
157,Vasa-European Journal of Vascular Medicine,"1,141",1.961,0.001130
158,JOURNAL OF VASCULAR RESEARCH,"1,824",1.934,0.000860
159,Interactive Cardiovascular and Thoracic Surgery,"6,701",1.905,0.008390
160,JOURNAL OF INTERVENTIONAL CARDIAC ELECTROPHYSIOLOGY,"2,285",1.900,0.002980
161,JOURNAL OF CARDIOVASCULAR SURGERY,"2,091",1.888,0.002010
162,CARDIOLOGY,"2,852",1.869,0.002480
163,Cardiology Research and Practice,"1,119",1.866,0.000840
164,International Heart Journal,"2,247",1.862,0.003510
165,THORACIC AND CARDIOVASCULAR SURGEON,"2,225",1.827,0.002190
166,EUROPEAN HEART JOURNAL SUPPLEMENTS,874,1.803,0.001340
167,CLINICAL AND EXPERIMENTAL HYPERTENSION,"2,292",1.749,0.002230
168,PHLEBOLOGY,"1,900",1.740,0.001560
169,ECHOCARDIOGRAPHY-A JOURNAL OF CARDIOVASCULAR ULTRASOUND AND ALLIED TECHNIQUES,"4,061",1.724,0.005520
170,ACTA CARDIOLOGICA,"1,229",1.718,0.001050
171,PEDIATRIC CARDIOLOGY,"5,507",1.655,0.006600
172,Journal of Cardiothoracic Surgery,"2,757",1.637,0.003630
173,JOURNAL OF THE RENIN-ANGIOTENSIN-ALDOSTERONE SYSTEM,"1,273",1.636,0.001340
174,JOURNAL OF CARDIAC SURGERY,"3,035",1.620,0.002960
175,Anatolian Journal of Cardiology,"1,635",1.596,0.002130
176,SCANDINAVIAN CARDIOVASCULAR JOURNAL,"1,030",1.589,0.001340
177,Annals of Thoracic and Cardiovascular Surgery,"1,322",1.520,0.001120
178,General Thoracic and Cardiovascular Surgery,"1,831",1.517,0.002490
179,ANNALS OF NONINVASIVE ELECTROCARDIOLOGY,"1,666",1.468,0.001460
180,ANNALS OF VASCULAR SURGERY,"7,121",1.466,0.009160
181,TEXAS HEART INSTITUTE JOURNAL,"2,217",1.455,0.001230
182,BLOOD PRESSURE MONITORING,"1,536",1.444,0.001130
183,HERZ,"1,529",1.443,0.001570
184,CORONARY ARTERY DISEASE,"1,943",1.439,0.001800
185,JOURNAL OF ELECTROCARDIOLOGY,"3,308",1.438,0.003630
186,Postepy w Kardiologii Interwencyjnej,403,1.426,0.000630
187,Revista Portuguesa de Cardiologia,"1,022",1.374,0.000900
188,MINERVA CARDIOANGIOLOGICA,593,1.347,0.000610
189,Brazilian Journal of Cardiovascular Surgery,"1,136",1.312,0.001240
190,Vascular,"1,110",1.285,0.001560
191,Cardiovascular Journal of Africa,"1,331",1.167,0.002160
192,CARDIOLOGY IN THE YOUNG,"3,295",1.093,0.005090
193,Vascular and Endovascular Surgery,"1,619",1.089,0.001590
194,Seminars in Vascular Surgery,734,1.000,0.000650
195,HEART SURGERY FORUM,696,0.676,0.000700
196,Artery Research,301,0.597,0.000370
197,KARDIOLOGIYA,585,0.395,0.000370
Copyright © 2021 Clarivate,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,
