"Journal Data Filtered By:  Selected JCR Year: 2020 Selected Editions: SCIE,SSCI Selected Categories: 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,MMWR Surveillance Summaries,"3,806",58.769,0.01298
2,MMWR Recommendations and Reports,"3,288",55.857,0.01123
3,Lancet Global Health,"16,662",26.763,0.05165
3,Lancet Global Health,"16,662",26.763,0.05165
5,Annual Review of Public Health,"9,927",21.981,0.01356
5,Annual Review of Public Health,"9,927",21.981,0.01356
7,Lancet Public Health,"5,793",21.648,0.01484
7,Lancet Public Health,"5,793",21.648,0.01484
9,Lancet Planetary Health,"2,540",19.173,0.00859
9,Lancet Planetary Health,"2,540",19.173,0.00859
11,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,"31,127",17.586,0.07808
12,Analytic Methods in Accident Research,"1,445",11.806,0.00268
13,BULLETIN OF THE WORLD HEALTH ORGANIZATION,"19,297",9.408,0.01598
14,AMERICAN JOURNAL OF PUBLIC HEALTH,"51,398",9.308,0.05687
14,AMERICAN JOURNAL OF PUBLIC HEALTH,"51,398",9.308,0.05687
16,ENVIRONMENTAL HEALTH PERSPECTIVES,"48,245",9.031,0.02838
17,JOURNAL OF TRAVEL MEDICINE,"5,260",8.49,0.0049
18,EUROPEAN JOURNAL OF EPIDEMIOLOGY,"11,622",8.082,0.01784
19,TOBACCO CONTROL,"10,279",7.552,0.01538
19,TOBACCO CONTROL,"10,279",7.552,0.01538
21,Journal of Occupational Health Psychology,"7,085",7.25,0.00715
22,INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,"30,944",7.196,0.04559
23,Current Environmental Health Reports,"1,967",7.122,0.00472
23,Current Environmental Health Reports,"1,967",7.122,0.00472
25,ENVIRONMENTAL RESEARCH,"28,576",6.498,0.03426
26,JOURNAL OF CLINICAL EPIDEMIOLOGY,"36,224",6.437,0.02836
27,JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,"2,226",6.393,0.00141
28,Current Pollution Reports,"1,107",6.373,0.00194
29,EPIDEMIOLOGIC REVIEWS,"3,938",6.222,0.00279
30,Travel Medicine and Infectious Disease,"5,034",6.211,0.00343
31,Environmental Health,"7,567",5.984,0.00926
32,INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH,"7,425",5.84,0.00811
33,INDOOR AIR,"7,488",5.77,0.00576
34,DRUG SAFETY,"6,817",5.606,0.00684
35,Journal of Exposure Science and Environmental Epidemiology,"5,227",5.563,0.0045
36,BMJ Global Health,"4,992",5.558,0.01806
36,BMJ Global Health,"4,992",5.558,0.01806
38,Evolution Medicine and Public Health,758,5.425,0.00186
39,International Journal of Transgenderism,"1,381",5.333,0.00213
39,International Journal of Transgenderism,"1,381",5.333,0.00213
41,AIDS PATIENT CARE AND STDS,"4,231",5.078,0.00541
42,AMERICAN JOURNAL OF PREVENTIVE MEDICINE,"28,400",5.043,0.03731
42,AMERICAN JOURNAL OF PREVENTIVE MEDICINE,"28,400",5.043,0.03731
44,SCANDINAVIAN JOURNAL OF WORK ENVIRONMENT & HEALTH,"6,700",5.024,0.00453
44,SCANDINAVIAN JOURNAL OF WORK ENVIRONMENT & HEALTH,"6,700",5.024,0.00453
46,JOURNAL OF ADOLESCENT HEALTH,"20,914",5.012,0.02487
46,JOURNAL OF ADOLESCENT HEALTH,"20,914",5.012,0.02487
48,ACCIDENT ANALYSIS AND PREVENTION,"25,323",4.993,0.0204
49,Perspectives in Public Health,"1,115",4.94,0.00191
50,AMERICAN JOURNAL OF EPIDEMIOLOGY,"43,617",4.897,0.03167
51,Antimicrobial Resistance and Infection Control,"3,629",4.887,0.00817
52,EPIDEMIOLOGY,"16,437",4.822,0.01674
52,EPIDEMIOLOGY,"16,437",4.822,0.01674
54,Health Reports,"1,781",4.796,0.00177
54,Health Reports,"1,781",4.796,0.00177
56,Clinical Epidemiology,"4,754",4.79,0.01076
