"Journal Data Filtered By:  Selected JCR Year: 2020 Selected Editions: SCIE,SSCI Selected Categories: 'HEMATOLOGY' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,BLOOD,"200,027",22.113,0.18725
2,Lancet Haematology,"5,140",18.959,0.01502
3,Journal of Hematology & Oncology,"10,615",17.388,0.01836
4,CIRCULATION RESEARCH,"65,425",17.367,0.0689
5,LEUKEMIA,"34,181",11.528,0.04594
6,Blood Cancer Journal,"4,691",11.037,0.01144
7,AMERICAN JOURNAL OF HEMATOLOGY,"15,239",10.047,0.02287
8,HAEMATOLOGICA,"23,612",9.941,0.03379
9,ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,"38,412",8.311,0.02783
10,BLOOD REVIEWS,"4,171",8.25,0.00536
11,Therapeutic Advances in Hematology,"1,000",7.167,0.00224
12,BRITISH JOURNAL OF HAEMATOLOGY,"31,000",6.998,0.03003
13,Blood Advances,"8,118",6.686,0.02717
14,CRITICAL REVIEWS IN ONCOLOGY HEMATOLOGY,"10,934",6.312,0.01409
15,STEM CELLS,"23,967",6.277,0.01786
16,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,"22,732",6.2,0.01964
17,JOURNAL OF THROMBOSIS AND HAEMOSTASIS,"29,353",5.824,0.02313
18,BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION,"17,149",5.742,0.02639
19,Thrombosis Journal,"1,137",5.5,0.00207
20,BONE MARROW TRANSPLANTATION,"16,801",5.483,0.0152
21,CYTOTHERAPY,"7,694",5.414,0.00694
22,HEMATOLOGICAL ONCOLOGY,"2,224",5.271,0.00466
23,THROMBOSIS AND HAEMOSTASIS,"19,924",5.249,0.01827
24,Experimental Hematology & Oncology,891,5.133,0.0013
25,JOURNAL OF LEUKOCYTE BIOLOGY,"21,186",4.962,0.01637
26,TRANSFUSION MEDICINE REVIEWS,"1,922",4.724,0.00216
27,HAEMOPHILIA,"7,988",4.287,0.00712
28,SEMINARS IN THROMBOSIS AND HEMOSTASIS,"5,313",4.18,0.00537
29,Current Hematologic Malignancy Reports,"1,281",3.952,0.00306
30,THROMBOSIS RESEARCH,"16,275",3.944,0.0156
31,PLATELETS,"4,438",3.862,0.00561
32,SEMINARS IN HEMATOLOGY,"2,608",3.851,0.00247
33,TRANSFUSION MEDICINE AND HEMOTHERAPY,"1,625",3.747,0.00199
34,HEMATOLOGY-ONCOLOGY CLINICS OF NORTH AMERICA,"3,117",3.722,0.00391
35,ANNALS OF HEMATOLOGY,"7,813",3.673,0.01036
36,SHOCK,"9,489",3.454,0.00991
37,Blood Transfusion,"2,553",3.443,0.00347
38,CURRENT OPINION IN HEMATOLOGY,"3,293",3.284,0.00442
39,LEUKEMIA & LYMPHOMA,"10,904",3.28,0.01232
40,STEM CELLS AND DEVELOPMENT,"9,332",3.272,0.00688
41,Clinical Lymphoma Myeloma & Leukemia,"3,593",3.231,0.00628
42,PEDIATRIC BLOOD & CANCER,"16,078",3.167,0.02088
43,TRANSFUSION,"15,763",3.157,0.01437
44,LEUKEMIA RESEARCH,"7,027",3.156,0.00578
45,EXPERIMENTAL HEMATOLOGY,"5,972",3.084,0.0053
46,Hematology-American Society of Hematology Education Program,"3,842",3.061,0.00588
47,BLOOD CELLS MOLECULES AND DISEASES,"3,541",3.039,0.00301
48,BEST PRACTICE & RESEARCH CLINICAL HAEMATOLOGY,"1,576",3.02,0.00187
49,EUROPEAN JOURNAL OF HAEMATOLOGY,"5,815",2.997,0.00594
50,Expert Review of Hematology,"1,981",2.929,0.00355
51,International Journal of Laboratory Hematology,"2,940",2.877,0.00376
52,JOURNAL OF CLINICAL APHERESIS,"1,556",2.821,0.00194
53,MICROCIRCULATION,"2,997",2.628,0.00243
54,BLOOD PURIFICATION,"2,718",2.614,0.00305
55,Mediterranean Journal of Hematology and Infectious Diseases,"1,321",2.576,0.00157
56,INTERNATIONAL JOURNAL OF HEMATOLOGY,"5,051",2.49,0.00556
57,CLINICAL AND APPLIED THROMBOSIS-HEMOSTASIS,"2,708",2.389,0.00401
58,CLINICAL HEMORHEOLOGY AND MICROCIRCULATION,"2,695",2.375,0.00222
59,JOURNAL OF THROMBOSIS AND THROMBOLYSIS,"4,446",2.3,0.00588
60,Hematology,"1,936",2.269,0.00226
61,ACTA HAEMATOLOGICA,"2,175",2.195,0.00158
62,VOX SANGUINIS,"4,025",2.144,0.0033
63,TRANSFUSION MEDICINE,"1,622",2.019,0.00153
64,PEDIATRIC HEMATOLOGY AND ONCOLOGY,"1,718",1.969,0.0016
65,BIORHEOLOGY,"1,622",1.875,0.0003
66,Turkish Journal of Hematology,605,1.831,0.00075
67,Hamostaseologie,702,1.778,0.00065
68,TRANSFUSION AND APHERESIS SCIENCE,"2,682",1.764,0.00293
69,THERAPEUTIC APHERESIS AND DIALYSIS,"1,882",1.762,0.0015
70,TRANSFUSION CLINIQUE ET BIOLOGIQUE,589,1.406,0.00081
71,JOURNAL OF PEDIATRIC HEMATOLOGY ONCOLOGY,"4,840",1.289,0.00432
72,BLOOD COAGULATION & FIBRINOLYSIS,"2,941",1.276,0.00222
73,Indian Journal of Hematology and Blood Transfusion,826,0.9,0.00125
74,HEMOGLOBIN,"1,325",0.849,0.00073
75,Journal of Hematopathology,145,0.196,0.00011
76,GEMATOLOGIYA I TRANSFUZIOLOGIYA,48,0.172,0.00001
Copyright © 2021 Clarivate,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,
